currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 19:47",05.06.2026,"Aeroport Henri Coandă",65
"07.06.2026 04:02",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 08:17",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 10:57",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 12:24",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 14:34",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 17:38",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 19:43",06.06.2026,"Aeroport Henri Coandă",56
"07.06.2026 21:21",07.06.2026,"Aeroport Henri Coandă",84
"07.06.2026 23:14",07.06.2026,"Aeroport Henri Coandă",84
"08.06.2026 04:49",07.06.2026,"Aeroport Henri Coandă",84
"08.06.2026 21:59",08.06.2026,"Aeroport Henri Coandă",68
"08.06.2026 21:59",08.06.2026,"Aeroport Henri Coandă",68
"08.06.2026 21:59",08.06.2026,"Aeroport Henri Coandă",68
"08.06.2026 21:59",08.06.2026,"Aeroport Henri Coandă",68
"08.06.2026 21:59",08.06.2026,"Aeroport Henri Coandă",68
"09.06.2026 22:28",09.06.2026,"Aeroport Henri Coandă",92
"09.06.2026 22:28",09.06.2026,"Aeroport Henri Coandă",92
"09.06.2026 22:28",09.06.2026,"Aeroport Henri Coandă",92
"09.06.2026 22:28",09.06.2026,"Aeroport Henri Coandă",92
"10.06.2026 22:55",10.06.2026,"Aeroport Henri Coandă",94
"10.06.2026 22:55",10.06.2026,"Aeroport Henri Coandă",94
"10.06.2026 22:55",10.06.2026,"Aeroport Henri Coandă",94
"11.06.2026 22:53",11.06.2026,"Aeroport Henri Coandă",223
"11.06.2026 22:53",11.06.2026,"Aeroport Henri Coandă",223
"11.06.2026 22:53",11.06.2026,"Aeroport Henri Coandă",223
"11.06.2026 22:53",11.06.2026,"Aeroport Henri Coandă",223
"12.06.2026 22:29",12.06.2026,"Aeroport Henri Coandă",105
"12.06.2026 22:29",12.06.2026,"Aeroport Henri Coandă",105
"12.06.2026 22:29",12.06.2026,"Aeroport Henri Coandă",105
"12.06.2026 22:29",12.06.2026,"Aeroport Henri Coandă",105
"13.06.2026 22:10",13.06.2026,"Aeroport Henri Coandă",93
"13.06.2026 22:10",13.06.2026,"Aeroport Henri Coandă",93
