currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:04",05.06.2026,"Agigea Nord",41
"07.06.2026 04:04",06.06.2026,"Agigea Nord",34
"07.06.2026 08:20",06.06.2026,"Agigea Nord",34
"07.06.2026 11:00",06.06.2026,"Agigea Nord",34
"07.06.2026 12:26",06.06.2026,"Agigea Nord",34
"07.06.2026 14:36",06.06.2026,"Agigea Nord",34
"07.06.2026 17:41",06.06.2026,"Agigea Nord",34
"07.06.2026 20:01",06.06.2026,"Agigea Nord",34
"07.06.2026 21:33",07.06.2026,"Agigea Nord",59
"07.06.2026 23:17",07.06.2026,"Agigea Nord",59
"08.06.2026 04:52",07.06.2026,"Agigea Nord",59
"08.06.2026 22:04",08.06.2026,"Agigea Nord",27
"08.06.2026 22:04",08.06.2026,"Agigea Nord",27
"08.06.2026 22:04",08.06.2026,"Agigea Nord",27
"08.06.2026 22:04",08.06.2026,"Agigea Nord",27
"08.06.2026 22:04",08.06.2026,"Agigea Nord",27
"09.06.2026 22:42",09.06.2026,"Agigea Nord",42
"09.06.2026 22:42",09.06.2026,"Agigea Nord",42
"09.06.2026 22:42",09.06.2026,"Agigea Nord",42
"09.06.2026 22:42",09.06.2026,"Agigea Nord",42
"10.06.2026 23:12",10.06.2026,"Agigea Nord",48
"10.06.2026 23:12",10.06.2026,"Agigea Nord",48
"10.06.2026 23:12",10.06.2026,"Agigea Nord",48
"11.06.2026 23:11",11.06.2026,"Agigea Nord",42
"11.06.2026 23:11",11.06.2026,"Agigea Nord",42
"11.06.2026 23:11",11.06.2026,"Agigea Nord",42
"11.06.2026 23:11",11.06.2026,"Agigea Nord",42
"12.06.2026 22:40",12.06.2026,"Agigea Nord",25
"12.06.2026 22:40",12.06.2026,"Agigea Nord",25
"12.06.2026 22:40",12.06.2026,"Agigea Nord",25
"12.06.2026 22:40",12.06.2026,"Agigea Nord",25
