currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:05",05.06.2026,"Aluniș Sălaj hc",91
"07.06.2026 04:04",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 08:20",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 11:00",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 12:26",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 14:36",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 17:41",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 20:01",06.06.2026,"Aluniș Sălaj hc",71
"07.06.2026 21:33",07.06.2026,"Aluniș Sălaj hc",91
"07.06.2026 23:17",07.06.2026,"Aluniș Sălaj hc",91
"08.06.2026 04:52",07.06.2026,"Aluniș Sălaj hc",91
"08.06.2026 22:04",08.06.2026,"Aluniș Sălaj hc",130
"08.06.2026 22:04",08.06.2026,"Aluniș Sălaj hc",130
"08.06.2026 22:04",08.06.2026,"Aluniș Sălaj hc",130
"08.06.2026 22:04",08.06.2026,"Aluniș Sălaj hc",130
"08.06.2026 22:04",08.06.2026,"Aluniș Sălaj hc",130
"09.06.2026 22:43",09.06.2026,"Aluniș Sălaj hc",88
"09.06.2026 22:43",09.06.2026,"Aluniș Sălaj hc",88
"09.06.2026 22:43",09.06.2026,"Aluniș Sălaj hc",88
"09.06.2026 22:43",09.06.2026,"Aluniș Sălaj hc",88
"10.06.2026 23:13",10.06.2026,"Aluniș Sălaj hc",159
"10.06.2026 23:13",10.06.2026,"Aluniș Sălaj hc",159
"10.06.2026 23:13",10.06.2026,"Aluniș Sălaj hc",159
"11.06.2026 23:11",11.06.2026,"Aluniș Sălaj hc",111
