currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:06",05.06.2026,Augustin,17
"07.06.2026 04:04",06.06.2026,Augustin,6
"07.06.2026 08:20",06.06.2026,Augustin,100
"07.06.2026 11:01",06.06.2026,Augustin,6
"07.06.2026 12:27",06.06.2026,Augustin,6
"07.06.2026 14:36",06.06.2026,Augustin,6
"07.06.2026 17:41",06.06.2026,Augustin,100
"07.06.2026 20:03",06.06.2026,Augustin,100
"07.06.2026 21:34",07.06.2026,Augustin,63
"07.06.2026 23:17",07.06.2026,Augustin,63
"08.06.2026 04:52",07.06.2026,Augustin,8
"08.06.2026 22:05",08.06.2026,Augustin,212
"08.06.2026 22:05",08.06.2026,Augustin,212
"08.06.2026 22:05",08.06.2026,Augustin,212
"08.06.2026 22:05",08.06.2026,Augustin,212
"08.06.2026 22:05",08.06.2026,Augustin,212
"09.06.2026 22:44",09.06.2026,Augustin,151
"09.06.2026 22:44",09.06.2026,Augustin,151
"09.06.2026 22:44",09.06.2026,Augustin,151
"09.06.2026 22:44",09.06.2026,Augustin,151
"10.06.2026 23:14",10.06.2026,Augustin,119
"10.06.2026 23:14",10.06.2026,Augustin,119
"10.06.2026 23:14",10.06.2026,Augustin,119
"11.06.2026 23:13",11.06.2026,Augustin,31
"11.06.2026 23:13",11.06.2026,Augustin,31
"11.06.2026 23:13",11.06.2026,Augustin,31
"11.06.2026 23:13",11.06.2026,Augustin,31
"12.06.2026 22:42",12.06.2026,Augustin,221
"12.06.2026 22:42",12.06.2026,Augustin,221
"12.06.2026 22:42",12.06.2026,Augustin,221
"12.06.2026 22:42",12.06.2026,Augustin,221
"13.06.2026 22:13",13.06.2026,Augustin,194
"13.06.2026 22:13",13.06.2026,Augustin,194
"13.06.2026 22:13",13.06.2026,Augustin,194
"13.06.2026 22:13",13.06.2026,Augustin,194
"14.06.2026 22:21",14.06.2026,Augustin,95
"14.06.2026 22:21",14.06.2026,Augustin,95
"14.06.2026 22:21",14.06.2026,Augustin,95
"15.06.2026 23:10",15.06.2026,Augustin,199
"15.06.2026 23:10",15.06.2026,Augustin,199
"15.06.2026 23:10",15.06.2026,Augustin,199
"16.06.2026 23:00",16.06.2026,Augustin,276
"16.06.2026 23:00",16.06.2026,Augustin,276
"16.06.2026 23:00",16.06.2026,Augustin,276
"17.06.2026 22:51",17.06.2026,Augustin,206
"17.06.2026 22:51",17.06.2026,Augustin,206
"17.06.2026 22:51",17.06.2026,Augustin,206
"17.06.2026 22:51",17.06.2026,Augustin,206
"18.06.2026 23:21",18.06.2026,Augustin,42
"18.06.2026 23:21",18.06.2026,Augustin,42
"18.06.2026 23:21",18.06.2026,Augustin,42
"19.06.2026 22:31",19.06.2026,Augustin,214
"19.06.2026 22:31",19.06.2026,Augustin,214
"19.06.2026 22:31",19.06.2026,Augustin,214
"19.06.2026 22:31",19.06.2026,Augustin,214
"20.06.2026 22:18",20.06.2026,Augustin,212
"20.06.2026 22:18",20.06.2026,Augustin,212
"20.06.2026 22:18",20.06.2026,Augustin,212
"20.06.2026 22:18",20.06.2026,Augustin,212
"21.06.2026 22:23",21.06.2026,Augustin,144
"21.06.2026 22:23",21.06.2026,Augustin,144
"21.06.2026 22:23",21.06.2026,Augustin,144
"22.06.2026 23:11",22.06.2026,Augustin,23
"22.06.2026 23:11",22.06.2026,Augustin,23
"22.06.2026 23:11",22.06.2026,Augustin,23
"22.06.2026 23:11",22.06.2026,Augustin,23
"22.06.2026 23:11",22.06.2026,Augustin,23
"23.06.2026 22:40",23.06.2026,Augustin,197
"23.06.2026 22:40",23.06.2026,Augustin,197
"23.06.2026 22:40",23.06.2026,Augustin,197
"23.06.2026 22:40",23.06.2026,Augustin,197
"23.06.2026 22:40",23.06.2026,Augustin,197
"24.06.2026 22:37",24.06.2026,Augustin,268
"24.06.2026 22:37",24.06.2026,Augustin,268
"24.06.2026 22:37",24.06.2026,Augustin,268
"24.06.2026 22:37",24.06.2026,Augustin,268
"24.06.2026 22:37",24.06.2026,Augustin,268
"25.06.2026 22:45",25.06.2026,Augustin,394
"25.06.2026 22:45",25.06.2026,Augustin,394
