currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:10",05.06.2026,Bibești,68
"07.06.2026 04:05",06.06.2026,Bibești,4
"07.06.2026 08:21",06.06.2026,Bibești,4
"07.06.2026 11:01",06.06.2026,Bibești,4
"07.06.2026 12:27",06.06.2026,Bibești,4
"07.06.2026 14:37",06.06.2026,Bibești,4
"07.06.2026 17:41",06.06.2026,Bibești,4
"07.06.2026 20:06",06.06.2026,Bibești,4
"07.06.2026 21:36",07.06.2026,Bibești,24
"07.06.2026 23:17",07.06.2026,Bibești,24
"08.06.2026 04:53",07.06.2026,Bibești,24
"08.06.2026 22:06",08.06.2026,Bibești,34
"08.06.2026 22:06",08.06.2026,Bibești,34
"08.06.2026 22:06",08.06.2026,Bibești,34
"08.06.2026 22:06",08.06.2026,Bibești,34
"08.06.2026 22:06",08.06.2026,Bibești,34
"09.06.2026 22:47",09.06.2026,Bibești,148
"09.06.2026 22:47",09.06.2026,Bibești,148
"09.06.2026 22:47",09.06.2026,Bibești,148
"09.06.2026 22:47",09.06.2026,Bibești,148
"10.06.2026 23:18",10.06.2026,Bibești,78
"10.06.2026 23:18",10.06.2026,Bibești,78
"10.06.2026 23:18",10.06.2026,Bibești,78
"11.06.2026 23:16",11.06.2026,Bibești,71
"11.06.2026 23:16",11.06.2026,Bibești,71
"11.06.2026 23:16",11.06.2026,Bibești,71
"11.06.2026 23:16",11.06.2026,Bibești,71
"12.06.2026 22:44",12.06.2026,Bibești,14
