currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:13",05.06.2026,"Bucești hc",302
"07.06.2026 04:05",06.06.2026,"Bucești hc",13
"07.06.2026 08:21",06.06.2026,"Bucești hc",13
"07.06.2026 11:02",06.06.2026,"Bucești hc",13
"07.06.2026 12:28",06.06.2026,"Bucești hc",13
"07.06.2026 14:38",06.06.2026,"Bucești hc",13
"07.06.2026 17:42",06.06.2026,"Bucești hc",13
"07.06.2026 20:09",06.06.2026,"Bucești hc",13
"07.06.2026 21:38",07.06.2026,"Bucești hc",0
"07.06.2026 23:18",07.06.2026,"Bucești hc",0
"08.06.2026 04:53",07.06.2026,"Bucești hc",0
"08.06.2026 22:07",08.06.2026,"Bucești hc",160
"08.06.2026 22:07",08.06.2026,"Bucești hc",160
"08.06.2026 22:07",08.06.2026,"Bucești hc",160
"08.06.2026 22:07",08.06.2026,"Bucești hc",160
"08.06.2026 22:07",08.06.2026,"Bucești hc",160
"09.06.2026 22:49",09.06.2026,"Bucești hc",16
"09.06.2026 22:49",09.06.2026,"Bucești hc",16
"09.06.2026 22:49",09.06.2026,"Bucești hc",16
"09.06.2026 22:49",09.06.2026,"Bucești hc",16
"10.06.2026 23:22",10.06.2026,"Bucești hc",6
"10.06.2026 23:22",10.06.2026,"Bucești hc",6
"10.06.2026 23:22",10.06.2026,"Bucești hc",6
"11.06.2026 23:19",11.06.2026,"Bucești hc",20
"11.06.2026 23:19",11.06.2026,"Bucești hc",20
"11.06.2026 23:19",11.06.2026,"Bucești hc",20
"11.06.2026 23:19",11.06.2026,"Bucești hc",20
"12.06.2026 22:46",12.06.2026,"Bucești hc",52
"12.06.2026 22:46",12.06.2026,"Bucești hc",52
"12.06.2026 22:46",12.06.2026,"Bucești hc",52
"12.06.2026 22:46",12.06.2026,"Bucești hc",52
"13.06.2026 22:14",13.06.2026,"Bucești hc",11
"13.06.2026 22:14",13.06.2026,"Bucești hc",11
"13.06.2026 22:14",13.06.2026,"Bucești hc",11
"13.06.2026 22:14",13.06.2026,"Bucești hc",11
"14.06.2026 22:22",14.06.2026,"Bucești hc",26
"14.06.2026 22:22",14.06.2026,"Bucești hc",26
"14.06.2026 22:22",14.06.2026,"Bucești hc",26
"15.06.2026 23:11",15.06.2026,"Bucești hc",3
"15.06.2026 23:11",15.06.2026,"Bucești hc",3
"15.06.2026 23:11",15.06.2026,"Bucești hc",3
"16.06.2026 23:01",16.06.2026,"Bucești hc",4
"16.06.2026 23:01",16.06.2026,"Bucești hc",4
"16.06.2026 23:01",16.06.2026,"Bucești hc",4
"17.06.2026 22:53",17.06.2026,"Bucești hc",14
"17.06.2026 22:53",17.06.2026,"Bucești hc",14
"17.06.2026 22:53",17.06.2026,"Bucești hc",14
"17.06.2026 22:53",17.06.2026,"Bucești hc",14
"18.06.2026 23:28",18.06.2026,"Bucești hc",8
