currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:17",05.06.2026,"Chețani hc",109
"07.06.2026 04:06",06.06.2026,"Chețani hc",77
"07.06.2026 08:22",06.06.2026,"Chețani hc",77
"07.06.2026 11:03",06.06.2026,"Chețani hc",77
"07.06.2026 12:29",06.06.2026,"Chețani hc",77
"07.06.2026 14:39",06.06.2026,"Chețani hc",77
"07.06.2026 17:43",06.06.2026,"Chețani hc",77
"07.06.2026 20:13",06.06.2026,"Chețani hc",77
"07.06.2026 21:41",07.06.2026,"Chețani hc",228
"07.06.2026 23:19",07.06.2026,"Chețani hc",228
"08.06.2026 04:54",07.06.2026,"Chețani hc",228
"08.06.2026 22:08",08.06.2026,"Chețani hc",162
"08.06.2026 22:08",08.06.2026,"Chețani hc",162
"08.06.2026 22:08",08.06.2026,"Chețani hc",162
"08.06.2026 22:08",08.06.2026,"Chețani hc",162
"08.06.2026 22:08",08.06.2026,"Chețani hc",162
"09.06.2026 22:53",09.06.2026,"Chețani hc",68
"09.06.2026 22:53",09.06.2026,"Chețani hc",68
"09.06.2026 22:53",09.06.2026,"Chețani hc",68
"09.06.2026 22:53",09.06.2026,"Chețani hc",68
"10.06.2026 23:26",10.06.2026,"Chețani hc",230
"10.06.2026 23:26",10.06.2026,"Chețani hc",230
"10.06.2026 23:26",10.06.2026,"Chețani hc",230
