currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:16",05.06.2026,"Cândești hc",0
"07.06.2026 04:06",06.06.2026,"Cândești hc",0
"07.06.2026 08:22",06.06.2026,"Cândești hc",0
"07.06.2026 11:03",06.06.2026,"Cândești hc",0
"07.06.2026 12:29",06.06.2026,"Cândești hc",0
"07.06.2026 14:38",06.06.2026,"Cândești hc",0
"07.06.2026 17:43",06.06.2026,"Cândești hc",0
"07.06.2026 20:12",06.06.2026,"Cândești hc",0
"07.06.2026 21:40",07.06.2026,"Cândești hc",7
"07.06.2026 23:19",07.06.2026,"Cândești hc",0
"08.06.2026 04:54",07.06.2026,"Cândești hc",0
"08.06.2026 22:08",08.06.2026,"Cândești hc",0
"08.06.2026 22:08",08.06.2026,"Cândești hc",0
"08.06.2026 22:08",08.06.2026,"Cândești hc",0
"08.06.2026 22:08",08.06.2026,"Cândești hc",0
"08.06.2026 22:08",08.06.2026,"Cândești hc",0
"09.06.2026 22:52",09.06.2026,"Cândești hc",14
"09.06.2026 22:52",09.06.2026,"Cândești hc",14
"09.06.2026 22:52",09.06.2026,"Cândești hc",14
"09.06.2026 22:52",09.06.2026,"Cândești hc",14
"10.06.2026 23:25",10.06.2026,"Cândești hc",3
"10.06.2026 23:25",10.06.2026,"Cândești hc",3
"10.06.2026 23:25",10.06.2026,"Cândești hc",3
"11.06.2026 23:23",11.06.2026,"Cândești hc",28
"11.06.2026 23:23",11.06.2026,"Cândești hc",28
"11.06.2026 23:23",11.06.2026,"Cândești hc",28
"11.06.2026 23:23",11.06.2026,"Cândești hc",28
"12.06.2026 22:48",12.06.2026,"Cândești hc",0
"12.06.2026 22:48",12.06.2026,"Cândești hc",0
"12.06.2026 22:48",12.06.2026,"Cândești hc",0
"12.06.2026 22:48",12.06.2026,"Cândești hc",0
"13.06.2026 22:14",13.06.2026,"Cândești hc",2
"13.06.2026 22:14",13.06.2026,"Cândești hc",2
"13.06.2026 22:14",13.06.2026,"Cândești hc",2
"13.06.2026 22:14",13.06.2026,"Cândești hc",2
"14.06.2026 22:23",14.06.2026,"Cândești hc",11
"14.06.2026 22:23",14.06.2026,"Cândești hc",11
"14.06.2026 22:23",14.06.2026,"Cândești hc",11
