currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:27",05.06.2026,"Dragoș Vodă",93
"07.06.2026 04:07",06.06.2026,"Dragoș Vodă",47
"07.06.2026 08:23",06.06.2026,"Dragoș Vodă",47
"07.06.2026 11:05",06.06.2026,"Dragoș Vodă",47
"07.06.2026 12:30",06.06.2026,"Dragoș Vodă",47
"07.06.2026 14:40",06.06.2026,"Dragoș Vodă",47
"07.06.2026 17:44",06.06.2026,"Dragoș Vodă",47
"07.06.2026 20:20",06.06.2026,"Dragoș Vodă",47
"07.06.2026 21:45",07.06.2026,"Dragoș Vodă",44
"07.06.2026 23:20",07.06.2026,"Dragoș Vodă",44
"08.06.2026 04:55",07.06.2026,"Dragoș Vodă",44
"08.06.2026 22:10",08.06.2026,"Dragoș Vodă",69
"08.06.2026 22:10",08.06.2026,"Dragoș Vodă",69
"08.06.2026 22:10",08.06.2026,"Dragoș Vodă",69
"08.06.2026 22:10",08.06.2026,"Dragoș Vodă",69
"08.06.2026 22:10",08.06.2026,"Dragoș Vodă",69
"09.06.2026 22:58",09.06.2026,"Dragoș Vodă",169
"09.06.2026 22:58",09.06.2026,"Dragoș Vodă",169
"09.06.2026 22:58",09.06.2026,"Dragoș Vodă",169
"09.06.2026 22:58",09.06.2026,"Dragoș Vodă",169
"10.06.2026 23:33",10.06.2026,"Dragoș Vodă",192
"10.06.2026 23:33",10.06.2026,"Dragoș Vodă",192
"10.06.2026 23:33",10.06.2026,"Dragoș Vodă",192
"11.06.2026 23:30",11.06.2026,"Dragoș Vodă",97
"11.06.2026 23:30",11.06.2026,"Dragoș Vodă",97
"11.06.2026 23:30",11.06.2026,"Dragoș Vodă",97
"11.06.2026 23:30",11.06.2026,"Dragoș Vodă",97
"12.06.2026 22:54",12.06.2026,"Dragoș Vodă",115
"12.06.2026 22:54",12.06.2026,"Dragoș Vodă",115
"12.06.2026 22:54",12.06.2026,"Dragoș Vodă",115
"12.06.2026 22:54",12.06.2026,"Dragoș Vodă",115
"13.06.2026 22:16",13.06.2026,"Dragoș Vodă",20
"13.06.2026 22:16",13.06.2026,"Dragoș Vodă",20
"13.06.2026 22:16",13.06.2026,"Dragoș Vodă",20
"13.06.2026 22:16",13.06.2026,"Dragoș Vodă",20
"14.06.2026 22:24",14.06.2026,"Dragoș Vodă",31
"14.06.2026 22:24",14.06.2026,"Dragoș Vodă",31
"14.06.2026 22:24",14.06.2026,"Dragoș Vodă",31
"15.06.2026 23:12",15.06.2026,"Dragoș Vodă",72
"15.06.2026 23:12",15.06.2026,"Dragoș Vodă",72
"15.06.2026 23:12",15.06.2026,"Dragoș Vodă",72
"16.06.2026 23:03",16.06.2026,"Dragoș Vodă",118
"16.06.2026 23:03",16.06.2026,"Dragoș Vodă",118
"16.06.2026 23:03",16.06.2026,"Dragoș Vodă",118
"17.06.2026 22:55",17.06.2026,"Dragoș Vodă",108
"17.06.2026 22:55",17.06.2026,"Dragoș Vodă",108
"17.06.2026 22:55",17.06.2026,"Dragoș Vodă",108
"17.06.2026 22:55",17.06.2026,"Dragoș Vodă",108
"18.06.2026 23:39",18.06.2026,"Dragoș Vodă",72
"18.06.2026 23:39",18.06.2026,"Dragoș Vodă",72
"18.06.2026 23:39",18.06.2026,"Dragoș Vodă",72
"19.06.2026 22:48",19.06.2026,"Dragoș Vodă",68
"19.06.2026 22:48",19.06.2026,"Dragoș Vodă",68
"19.06.2026 22:48",19.06.2026,"Dragoș Vodă",68
"19.06.2026 22:48",19.06.2026,"Dragoș Vodă",68
"20.06.2026 22:21",20.06.2026,"Dragoș Vodă",78
"20.06.2026 22:21",20.06.2026,"Dragoș Vodă",78
"20.06.2026 22:21",20.06.2026,"Dragoș Vodă",78
"20.06.2026 22:21",20.06.2026,"Dragoș Vodă",78
