currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:49",05.06.2026,"Leordeni Argeș",212
"07.06.2026 04:08",06.06.2026,"Leordeni Argeș",240
"07.06.2026 08:25",06.06.2026,"Leordeni Argeș",240
"07.06.2026 11:06",06.06.2026,"Leordeni Argeș",240
"07.06.2026 12:32",06.06.2026,"Leordeni Argeș",240
"07.06.2026 14:42",06.06.2026,"Leordeni Argeș",240
"07.06.2026 17:45",06.06.2026,"Leordeni Argeș",240
"07.06.2026 20:28",06.06.2026,"Leordeni Argeș",240
"07.06.2026 21:51",07.06.2026,"Leordeni Argeș",232
"07.06.2026 23:21",07.06.2026,"Leordeni Argeș",232
"08.06.2026 04:56",07.06.2026,"Leordeni Argeș",232
"08.06.2026 22:13",08.06.2026,"Leordeni Argeș",333
"08.06.2026 22:13",08.06.2026,"Leordeni Argeș",333
"08.06.2026 22:13",08.06.2026,"Leordeni Argeș",333
"08.06.2026 22:13",08.06.2026,"Leordeni Argeș",333
"08.06.2026 22:13",08.06.2026,"Leordeni Argeș",333
"09.06.2026 23:05",09.06.2026,"Leordeni Argeș",309
"09.06.2026 23:05",09.06.2026,"Leordeni Argeș",309
"09.06.2026 23:05",09.06.2026,"Leordeni Argeș",309
"09.06.2026 23:05",09.06.2026,"Leordeni Argeș",309
"10.06.2026 23:43",10.06.2026,"Leordeni Argeș",353
"10.06.2026 23:43",10.06.2026,"Leordeni Argeș",353
"10.06.2026 23:43",10.06.2026,"Leordeni Argeș",353
"11.06.2026 23:39",11.06.2026,"Leordeni Argeș",218
"11.06.2026 23:39",11.06.2026,"Leordeni Argeș",218
"11.06.2026 23:39",11.06.2026,"Leordeni Argeș",218
"11.06.2026 23:39",11.06.2026,"Leordeni Argeș",218
"12.06.2026 23:00",12.06.2026,"Leordeni Argeș",279
"12.06.2026 23:00",12.06.2026,"Leordeni Argeș",279
"12.06.2026 23:00",12.06.2026,"Leordeni Argeș",279
"12.06.2026 23:00",12.06.2026,"Leordeni Argeș",279
"13.06.2026 22:17",13.06.2026,"Leordeni Argeș",167
"13.06.2026 22:17",13.06.2026,"Leordeni Argeș",167
"13.06.2026 22:17",13.06.2026,"Leordeni Argeș",167
"13.06.2026 22:17",13.06.2026,"Leordeni Argeș",167
"14.06.2026 22:26",14.06.2026,"Leordeni Argeș",210
"14.06.2026 22:26",14.06.2026,"Leordeni Argeș",210
"14.06.2026 22:26",14.06.2026,"Leordeni Argeș",210
"15.06.2026 23:14",15.06.2026,"Leordeni Argeș",273
"15.06.2026 23:14",15.06.2026,"Leordeni Argeș",273
"15.06.2026 23:14",15.06.2026,"Leordeni Argeș",273
"16.06.2026 23:05",16.06.2026,"Leordeni Argeș",287
"16.06.2026 23:05",16.06.2026,"Leordeni Argeș",287
"16.06.2026 23:05",16.06.2026,"Leordeni Argeș",287
"17.06.2026 22:56",17.06.2026,"Leordeni Argeș",326
"17.06.2026 22:56",17.06.2026,"Leordeni Argeș",326
"17.06.2026 22:56",17.06.2026,"Leordeni Argeș",326
"17.06.2026 22:56",17.06.2026,"Leordeni Argeș",326
"18.06.2026 23:47",18.06.2026,"Leordeni Argeș",409
"18.06.2026 23:47",18.06.2026,"Leordeni Argeș",409
"18.06.2026 23:47",18.06.2026,"Leordeni Argeș",409
"19.06.2026 22:57",19.06.2026,"Leordeni Argeș",294
"19.06.2026 22:57",19.06.2026,"Leordeni Argeș",294
"19.06.2026 22:57",19.06.2026,"Leordeni Argeș",294
"19.06.2026 22:57",19.06.2026,"Leordeni Argeș",294
"20.06.2026 22:22",20.06.2026,"Leordeni Argeș",239
"20.06.2026 22:22",20.06.2026,"Leordeni Argeș",239
"20.06.2026 22:22",20.06.2026,"Leordeni Argeș",239
"20.06.2026 22:22",20.06.2026,"Leordeni Argeș",239
"21.06.2026 22:31",21.06.2026,"Leordeni Argeș",332
"21.06.2026 22:31",21.06.2026,"Leordeni Argeș",332
"21.06.2026 22:31",21.06.2026,"Leordeni Argeș",332
"22.06.2026 23:39",22.06.2026,"Leordeni Argeș",336
"22.06.2026 23:39",22.06.2026,"Leordeni Argeș",336
"22.06.2026 23:39",22.06.2026,"Leordeni Argeș",336
"22.06.2026 23:39",22.06.2026,"Leordeni Argeș",336
"22.06.2026 23:39",22.06.2026,"Leordeni Argeș",336
"23.06.2026 23:08",23.06.2026,"Leordeni Argeș",226
"23.06.2026 23:08",23.06.2026,"Leordeni Argeș",226
"23.06.2026 23:08",23.06.2026,"Leordeni Argeș",226
"23.06.2026 23:08",23.06.2026,"Leordeni Argeș",226
"23.06.2026 23:08",23.06.2026,"Leordeni Argeș",226
"24.06.2026 22:57",24.06.2026,"Leordeni Argeș",543
"24.06.2026 22:57",24.06.2026,"Leordeni Argeș",543
"24.06.2026 22:57",24.06.2026,"Leordeni Argeș",543
"24.06.2026 22:57",24.06.2026,"Leordeni Argeș",543
