currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:53",05.06.2026,"Lunca Ilvei",144
"07.06.2026 04:09",06.06.2026,"Lunca Ilvei",34
"07.06.2026 08:25",06.06.2026,"Lunca Ilvei",34
"07.06.2026 11:07",06.06.2026,"Lunca Ilvei",108
"07.06.2026 12:32",06.06.2026,"Lunca Ilvei",34
"07.06.2026 14:42",06.06.2026,"Lunca Ilvei",108
"07.06.2026 17:46",06.06.2026,"Lunca Ilvei",34
"07.06.2026 20:30",06.06.2026,"Lunca Ilvei",34
"07.06.2026 21:52",07.06.2026,"Lunca Ilvei",62
"07.06.2026 23:22",07.06.2026,"Lunca Ilvei",30
"08.06.2026 04:57",07.06.2026,"Lunca Ilvei",30
"08.06.2026 22:14",08.06.2026,"Lunca Ilvei",101
"08.06.2026 22:14",08.06.2026,"Lunca Ilvei",101
"08.06.2026 22:14",08.06.2026,"Lunca Ilvei",101
"08.06.2026 22:14",08.06.2026,"Lunca Ilvei",101
"08.06.2026 22:14",08.06.2026,"Lunca Ilvei",101
"09.06.2026 23:06",09.06.2026,"Lunca Ilvei",107
"09.06.2026 23:06",09.06.2026,"Lunca Ilvei",107
"09.06.2026 23:06",09.06.2026,"Lunca Ilvei",107
"09.06.2026 23:06",09.06.2026,"Lunca Ilvei",107
"10.06.2026 23:44",10.06.2026,"Lunca Ilvei",71
"10.06.2026 23:44",10.06.2026,"Lunca Ilvei",71
"10.06.2026 23:44",10.06.2026,"Lunca Ilvei",71
"11.06.2026 23:40",11.06.2026,"Lunca Ilvei",208
"11.06.2026 23:40",11.06.2026,"Lunca Ilvei",208
"11.06.2026 23:40",11.06.2026,"Lunca Ilvei",208
"11.06.2026 23:40",11.06.2026,"Lunca Ilvei",208
"12.06.2026 23:01",12.06.2026,"Lunca Ilvei",72
"12.06.2026 23:01",12.06.2026,"Lunca Ilvei",72
"12.06.2026 23:01",12.06.2026,"Lunca Ilvei",72
"12.06.2026 23:01",12.06.2026,"Lunca Ilvei",72
"13.06.2026 22:17",13.06.2026,"Lunca Ilvei",106
"13.06.2026 22:17",13.06.2026,"Lunca Ilvei",106
"13.06.2026 22:17",13.06.2026,"Lunca Ilvei",106
"13.06.2026 22:17",13.06.2026,"Lunca Ilvei",106
"14.06.2026 22:26",14.06.2026,"Lunca Ilvei",68
"14.06.2026 22:26",14.06.2026,"Lunca Ilvei",68
"14.06.2026 22:26",14.06.2026,"Lunca Ilvei",68
"15.06.2026 23:14",15.06.2026,"Lunca Ilvei",113
"15.06.2026 23:14",15.06.2026,"Lunca Ilvei",113
"15.06.2026 23:14",15.06.2026,"Lunca Ilvei",113
"16.06.2026 23:05",16.06.2026,"Lunca Ilvei",152
"16.06.2026 23:05",16.06.2026,"Lunca Ilvei",152
"16.06.2026 23:05",16.06.2026,"Lunca Ilvei",152
"17.06.2026 22:56",17.06.2026,"Lunca Ilvei",341
"17.06.2026 22:56",17.06.2026,"Lunca Ilvei",341
"17.06.2026 22:56",17.06.2026,"Lunca Ilvei",341
"17.06.2026 22:56",17.06.2026,"Lunca Ilvei",341
"18.06.2026 23:49",18.06.2026,"Lunca Ilvei",92
"18.06.2026 23:49",18.06.2026,"Lunca Ilvei",92
"18.06.2026 23:49",18.06.2026,"Lunca Ilvei",92
"19.06.2026 22:58",19.06.2026,"Lunca Ilvei",81
"19.06.2026 22:58",19.06.2026,"Lunca Ilvei",81
"19.06.2026 22:58",19.06.2026,"Lunca Ilvei",81
"19.06.2026 22:58",19.06.2026,"Lunca Ilvei",81
"20.06.2026 22:23",20.06.2026,"Lunca Ilvei",310
"20.06.2026 22:23",20.06.2026,"Lunca Ilvei",310
"20.06.2026 22:23",20.06.2026,"Lunca Ilvei",310
"20.06.2026 22:23",20.06.2026,"Lunca Ilvei",310
"21.06.2026 22:31",21.06.2026,"Lunca Ilvei",77
"21.06.2026 22:31",21.06.2026,"Lunca Ilvei",77
"21.06.2026 22:31",21.06.2026,"Lunca Ilvei",77
