currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:54",05.06.2026,"Malu Mare Hm",30
"07.06.2026 04:09",06.06.2026,"Malu Mare Hm",3
"07.06.2026 08:25",06.06.2026,"Malu Mare Hm",3
"07.06.2026 11:07",06.06.2026,"Malu Mare Hm",3
"07.06.2026 12:33",06.06.2026,"Malu Mare Hm",3
"07.06.2026 14:42",06.06.2026,"Malu Mare Hm",3
"07.06.2026 17:46",06.06.2026,"Malu Mare Hm",3
"07.06.2026 20:30",06.06.2026,"Malu Mare Hm",3
"07.06.2026 21:52",07.06.2026,"Malu Mare Hm",27
"07.06.2026 23:22",07.06.2026,"Malu Mare Hm",27
"08.06.2026 04:57",07.06.2026,"Malu Mare Hm",27
"08.06.2026 22:14",08.06.2026,"Malu Mare Hm",340
"08.06.2026 22:14",08.06.2026,"Malu Mare Hm",340
"08.06.2026 22:14",08.06.2026,"Malu Mare Hm",340
"08.06.2026 22:14",08.06.2026,"Malu Mare Hm",340
"08.06.2026 22:14",08.06.2026,"Malu Mare Hm",340
"09.06.2026 23:06",09.06.2026,"Malu Mare Hm",95
"09.06.2026 23:06",09.06.2026,"Malu Mare Hm",95
"09.06.2026 23:06",09.06.2026,"Malu Mare Hm",95
"09.06.2026 23:06",09.06.2026,"Malu Mare Hm",95
"10.06.2026 23:45",10.06.2026,"Malu Mare Hm",25
"10.06.2026 23:45",10.06.2026,"Malu Mare Hm",25
"10.06.2026 23:45",10.06.2026,"Malu Mare Hm",25
"11.06.2026 23:41",11.06.2026,"Malu Mare Hm",89
"11.06.2026 23:41",11.06.2026,"Malu Mare Hm",89
"11.06.2026 23:41",11.06.2026,"Malu Mare Hm",89
"11.06.2026 23:41",11.06.2026,"Malu Mare Hm",89
"12.06.2026 23:01",12.06.2026,"Malu Mare Hm",24
