currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 19:57",05.06.2026,"Miercurea Sibiu",0
"07.06.2026 04:03",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 08:19",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 10:59",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 12:25",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 14:35",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 17:39",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 19:53",06.06.2026,"Miercurea Sibiu",0
"07.06.2026 21:28",07.06.2026,"Miercurea Sibiu",0
"07.06.2026 23:16",07.06.2026,"Miercurea Sibiu",0
"08.06.2026 04:51",07.06.2026,"Miercurea Sibiu",0
"08.06.2026 22:02",08.06.2026,"Miercurea Sibiu",0
"08.06.2026 22:02",08.06.2026,"Miercurea Sibiu",0
"08.06.2026 22:02",08.06.2026,"Miercurea Sibiu",0
"08.06.2026 22:02",08.06.2026,"Miercurea Sibiu",0
"08.06.2026 22:02",08.06.2026,"Miercurea Sibiu",0
"09.06.2026 22:37",09.06.2026,"Miercurea Sibiu",67
"09.06.2026 22:37",09.06.2026,"Miercurea Sibiu",67
"09.06.2026 22:37",09.06.2026,"Miercurea Sibiu",67
"09.06.2026 22:37",09.06.2026,"Miercurea Sibiu",67
"10.06.2026 23:05",10.06.2026,"Miercurea Sibiu",6
"10.06.2026 23:05",10.06.2026,"Miercurea Sibiu",6
"10.06.2026 23:05",10.06.2026,"Miercurea Sibiu",6
"11.06.2026 23:03",11.06.2026,"Miercurea Sibiu",62
"11.06.2026 23:03",11.06.2026,"Miercurea Sibiu",62
"11.06.2026 23:03",11.06.2026,"Miercurea Sibiu",62
"11.06.2026 23:03",11.06.2026,"Miercurea Sibiu",62
"12.06.2026 22:36",12.06.2026,"Miercurea Sibiu",86
"12.06.2026 22:36",12.06.2026,"Miercurea Sibiu",86
"12.06.2026 22:36",12.06.2026,"Miercurea Sibiu",86
"12.06.2026 22:36",12.06.2026,"Miercurea Sibiu",86
"13.06.2026 22:12",13.06.2026,"Miercurea Sibiu",10
"13.06.2026 22:12",13.06.2026,"Miercurea Sibiu",10
"13.06.2026 22:12",13.06.2026,"Miercurea Sibiu",10
"13.06.2026 22:12",13.06.2026,"Miercurea Sibiu",10
"14.06.2026 22:20",14.06.2026,"Miercurea Sibiu",0
"14.06.2026 22:20",14.06.2026,"Miercurea Sibiu",0
"14.06.2026 22:20",14.06.2026,"Miercurea Sibiu",0
"15.06.2026 23:08",15.06.2026,"Miercurea Sibiu",1
"15.06.2026 23:08",15.06.2026,"Miercurea Sibiu",1
"15.06.2026 23:08",15.06.2026,"Miercurea Sibiu",1
"16.06.2026 22:59",16.06.2026,"Miercurea Sibiu",0
"16.06.2026 22:59",16.06.2026,"Miercurea Sibiu",0
"16.06.2026 22:59",16.06.2026,"Miercurea Sibiu",0
"17.06.2026 22:50",17.06.2026,"Miercurea Sibiu",2
"17.06.2026 22:50",17.06.2026,"Miercurea Sibiu",2
"17.06.2026 22:50",17.06.2026,"Miercurea Sibiu",2
"17.06.2026 22:50",17.06.2026,"Miercurea Sibiu",2
"18.06.2026 23:11",18.06.2026,"Miercurea Sibiu",38
"18.06.2026 23:11",18.06.2026,"Miercurea Sibiu",38
"18.06.2026 23:11",18.06.2026,"Miercurea Sibiu",38
"19.06.2026 22:21",19.06.2026,"Miercurea Sibiu",32
"19.06.2026 22:21",19.06.2026,"Miercurea Sibiu",32
"19.06.2026 22:21",19.06.2026,"Miercurea Sibiu",32
"19.06.2026 22:21",19.06.2026,"Miercurea Sibiu",32
"20.06.2026 22:16",20.06.2026,"Miercurea Sibiu",0
"20.06.2026 22:16",20.06.2026,"Miercurea Sibiu",0
"20.06.2026 22:16",20.06.2026,"Miercurea Sibiu",0
"20.06.2026 22:16",20.06.2026,"Miercurea Sibiu",0
"21.06.2026 22:21",21.06.2026,"Miercurea Sibiu",7
"21.06.2026 22:21",21.06.2026,"Miercurea Sibiu",7
"21.06.2026 22:21",21.06.2026,"Miercurea Sibiu",7
"22.06.2026 23:01",22.06.2026,"Miercurea Sibiu",0
"22.06.2026 23:01",22.06.2026,"Miercurea Sibiu",0
"22.06.2026 23:01",22.06.2026,"Miercurea Sibiu",0
