currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:09",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 08:26",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 11:07",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 12:33",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 14:43",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 17:46",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 20:33",06.06.2026,"Moara Vlăsiei",34
"07.06.2026 21:54",07.06.2026,"Moara Vlăsiei",47
"07.06.2026 23:22",07.06.2026,"Moara Vlăsiei",47
"08.06.2026 04:57",07.06.2026,"Moara Vlăsiei",47
"08.06.2026 22:15",08.06.2026,"Moara Vlăsiei",86
"08.06.2026 22:15",08.06.2026,"Moara Vlăsiei",86
"08.06.2026 22:15",08.06.2026,"Moara Vlăsiei",86
"08.06.2026 22:15",08.06.2026,"Moara Vlăsiei",86
"08.06.2026 22:15",08.06.2026,"Moara Vlăsiei",86
"09.06.2026 23:08",09.06.2026,"Moara Vlăsiei",61
"09.06.2026 23:08",09.06.2026,"Moara Vlăsiei",61
"09.06.2026 23:08",09.06.2026,"Moara Vlăsiei",61
"09.06.2026 23:08",09.06.2026,"Moara Vlăsiei",61
"10.06.2026 23:48",10.06.2026,"Moara Vlăsiei",85
"10.06.2026 23:48",10.06.2026,"Moara Vlăsiei",85
"10.06.2026 23:48",10.06.2026,"Moara Vlăsiei",85
"11.06.2026 23:44",11.06.2026,"Moara Vlăsiei",97
"11.06.2026 23:44",11.06.2026,"Moara Vlăsiei",97
"11.06.2026 23:44",11.06.2026,"Moara Vlăsiei",97
"11.06.2026 23:44",11.06.2026,"Moara Vlăsiei",97
"12.06.2026 23:03",12.06.2026,"Moara Vlăsiei",54
"12.06.2026 23:03",12.06.2026,"Moara Vlăsiei",54
"12.06.2026 23:03",12.06.2026,"Moara Vlăsiei",54
"12.06.2026 23:03",12.06.2026,"Moara Vlăsiei",54
"13.06.2026 22:18",13.06.2026,"Moara Vlăsiei",38
"13.06.2026 22:18",13.06.2026,"Moara Vlăsiei",38
"13.06.2026 22:18",13.06.2026,"Moara Vlăsiei",38
"13.06.2026 22:18",13.06.2026,"Moara Vlăsiei",38
"14.06.2026 22:27",14.06.2026,"Moara Vlăsiei",37
"14.06.2026 22:27",14.06.2026,"Moara Vlăsiei",37
"14.06.2026 22:27",14.06.2026,"Moara Vlăsiei",37
"15.06.2026 23:15",15.06.2026,"Moara Vlăsiei",109
"15.06.2026 23:15",15.06.2026,"Moara Vlăsiei",109
"15.06.2026 23:15",15.06.2026,"Moara Vlăsiei",109
"16.06.2026 23:05",16.06.2026,"Moara Vlăsiei",126
"16.06.2026 23:05",16.06.2026,"Moara Vlăsiei",126
"16.06.2026 23:05",16.06.2026,"Moara Vlăsiei",126
"17.06.2026 22:57",17.06.2026,"Moara Vlăsiei",295
"17.06.2026 22:57",17.06.2026,"Moara Vlăsiei",295
"17.06.2026 22:57",17.06.2026,"Moara Vlăsiei",295
"17.06.2026 22:57",17.06.2026,"Moara Vlăsiei",295
"18.06.2026 23:53",18.06.2026,"Moara Vlăsiei",90
"18.06.2026 23:53",18.06.2026,"Moara Vlăsiei",90
"18.06.2026 23:53",18.06.2026,"Moara Vlăsiei",90
"19.06.2026 23:02",19.06.2026,"Moara Vlăsiei",87
"19.06.2026 23:02",19.06.2026,"Moara Vlăsiei",87
"19.06.2026 23:02",19.06.2026,"Moara Vlăsiei",87
"19.06.2026 23:02",19.06.2026,"Moara Vlăsiei",87
