currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:09",06.06.2026,"Murfatlar hc",49
"07.06.2026 08:26",06.06.2026,"Murfatlar hc",49
"07.06.2026 11:08",06.06.2026,"Murfatlar hc",49
"07.06.2026 12:33",06.06.2026,"Murfatlar hc",49
"07.06.2026 14:43",06.06.2026,"Murfatlar hc",49
"07.06.2026 17:47",06.06.2026,"Murfatlar hc",49
"07.06.2026 20:34",06.06.2026,"Murfatlar hc",49
"07.06.2026 21:55",07.06.2026,"Murfatlar hc",48
"07.06.2026 23:22",07.06.2026,"Murfatlar hc",48
"08.06.2026 04:57",07.06.2026,"Murfatlar hc",48
"08.06.2026 22:16",08.06.2026,"Murfatlar hc",79
"08.06.2026 22:16",08.06.2026,"Murfatlar hc",79
"08.06.2026 22:16",08.06.2026,"Murfatlar hc",79
"08.06.2026 22:16",08.06.2026,"Murfatlar hc",79
"08.06.2026 22:16",08.06.2026,"Murfatlar hc",79
"09.06.2026 23:09",09.06.2026,"Murfatlar hc",68
"09.06.2026 23:09",09.06.2026,"Murfatlar hc",68
"09.06.2026 23:09",09.06.2026,"Murfatlar hc",68
"09.06.2026 23:09",09.06.2026,"Murfatlar hc",68
"10.06.2026 23:49",10.06.2026,"Murfatlar hc",209
"10.06.2026 23:49",10.06.2026,"Murfatlar hc",209
"10.06.2026 23:49",10.06.2026,"Murfatlar hc",209
"11.06.2026 23:45",11.06.2026,"Murfatlar hc",120
"11.06.2026 23:45",11.06.2026,"Murfatlar hc",120
"11.06.2026 23:45",11.06.2026,"Murfatlar hc",120
"11.06.2026 23:45",11.06.2026,"Murfatlar hc",120
"12.06.2026 23:04",12.06.2026,"Murfatlar hc",102
"12.06.2026 23:04",12.06.2026,"Murfatlar hc",102
"12.06.2026 23:04",12.06.2026,"Murfatlar hc",102
"12.06.2026 23:04",12.06.2026,"Murfatlar hc",102
"13.06.2026 22:18",13.06.2026,"Murfatlar hc",54
"13.06.2026 22:18",13.06.2026,"Murfatlar hc",54
"13.06.2026 22:18",13.06.2026,"Murfatlar hc",54
"13.06.2026 22:18",13.06.2026,"Murfatlar hc",54
"14.06.2026 22:27",14.06.2026,"Murfatlar hc",30
"14.06.2026 22:27",14.06.2026,"Murfatlar hc",30
"14.06.2026 22:27",14.06.2026,"Murfatlar hc",30
"15.06.2026 23:15",15.06.2026,"Murfatlar hc",57
"15.06.2026 23:15",15.06.2026,"Murfatlar hc",57
"15.06.2026 23:15",15.06.2026,"Murfatlar hc",57
"16.06.2026 23:06",16.06.2026,"Murfatlar hc",112
"16.06.2026 23:06",16.06.2026,"Murfatlar hc",112
"16.06.2026 23:06",16.06.2026,"Murfatlar hc",112
"17.06.2026 22:57",17.06.2026,"Murfatlar hc",26
"17.06.2026 22:57",17.06.2026,"Murfatlar hc",26
"17.06.2026 22:57",17.06.2026,"Murfatlar hc",26
"17.06.2026 22:57",17.06.2026,"Murfatlar hc",26
"18.06.2026 23:54",18.06.2026,"Murfatlar hc",23
"18.06.2026 23:54",18.06.2026,"Murfatlar hc",23
"18.06.2026 23:54",18.06.2026,"Murfatlar hc",23
"19.06.2026 23:03",19.06.2026,"Murfatlar hc",14
"19.06.2026 23:03",19.06.2026,"Murfatlar hc",14
"19.06.2026 23:03",19.06.2026,"Murfatlar hc",14
"19.06.2026 23:03",19.06.2026,"Murfatlar hc",14
"20.06.2026 22:23",20.06.2026,"Murfatlar hc",55
