currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:09",06.06.2026,Nădlac,49
"07.06.2026 08:26",06.06.2026,Nădlac,49
"07.06.2026 11:08",06.06.2026,Nădlac,49
"07.06.2026 12:33",06.06.2026,Nădlac,49
"07.06.2026 14:43",06.06.2026,Nădlac,49
"07.06.2026 17:47",06.06.2026,Nădlac,49
"07.06.2026 20:35",06.06.2026,Nădlac,49
"07.06.2026 21:55",07.06.2026,Nădlac,89
"07.06.2026 23:22",07.06.2026,Nădlac,89
"08.06.2026 04:57",07.06.2026,Nădlac,99
"08.06.2026 22:16",08.06.2026,Nădlac,115
"08.06.2026 22:16",08.06.2026,Nădlac,115
