currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 19:58",05.06.2026,"Ploiești Sud",1279
"07.06.2026 04:03",06.06.2026,"Ploiești Sud",929
"07.06.2026 08:19",06.06.2026,"Ploiești Sud",900
"07.06.2026 10:59",06.06.2026,"Ploiești Sud",929
"07.06.2026 12:25",06.06.2026,"Ploiești Sud",900
"07.06.2026 14:35",06.06.2026,"Ploiești Sud",900
"07.06.2026 17:40",06.06.2026,"Ploiești Sud",929
"07.06.2026 19:54",06.06.2026,"Ploiești Sud",900
"07.06.2026 21:29",07.06.2026,"Ploiești Sud",1261
"07.06.2026 23:16",07.06.2026,"Ploiești Sud",1181
"08.06.2026 04:51",07.06.2026,"Ploiești Sud",1181
"08.06.2026 22:02",08.06.2026,"Ploiești Sud",1512
"08.06.2026 22:02",08.06.2026,"Ploiești Sud",1512
"08.06.2026 22:02",08.06.2026,"Ploiești Sud",1512
