currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:11",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 08:28",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 11:10",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 12:36",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 14:46",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 17:48",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 20:44",06.06.2026,"Ronaț Triaj h",31
"07.06.2026 22:01",07.06.2026,"Ronaț Triaj h",19
"07.06.2026 23:24",07.06.2026,"Ronaț Triaj h",19
"08.06.2026 04:59",07.06.2026,"Ronaț Triaj h",19
"08.06.2026 22:20",08.06.2026,"Ronaț Triaj h",50
"08.06.2026 22:20",08.06.2026,"Ronaț Triaj h",50
"08.06.2026 22:20",08.06.2026,"Ronaț Triaj h",50
"08.06.2026 22:20",08.06.2026,"Ronaț Triaj h",50
"08.06.2026 22:20",08.06.2026,"Ronaț Triaj h",50
"09.06.2026 23:18",09.06.2026,"Ronaț Triaj h",95
"09.06.2026 23:18",09.06.2026,"Ronaț Triaj h",95
"09.06.2026 23:18",09.06.2026,"Ronaț Triaj h",95
"09.06.2026 23:18",09.06.2026,"Ronaț Triaj h",95
"11.06.2026 00:00",10.06.2026,"Ronaț Triaj h",80
"11.06.2026 00:00",10.06.2026,"Ronaț Triaj h",80
"11.06.2026 00:00",10.06.2026,"Ronaț Triaj h",80
"11.06.2026 23:55",11.06.2026,"Ronaț Triaj h",20
"11.06.2026 23:55",11.06.2026,"Ronaț Triaj h",20
"11.06.2026 23:55",11.06.2026,"Ronaț Triaj h",20
"11.06.2026 23:55",11.06.2026,"Ronaț Triaj h",20
"12.06.2026 23:11",12.06.2026,"Ronaț Triaj h",55
"12.06.2026 23:11",12.06.2026,"Ronaț Triaj h",55
"12.06.2026 23:11",12.06.2026,"Ronaț Triaj h",55
"12.06.2026 23:11",12.06.2026,"Ronaț Triaj h",55
"13.06.2026 22:20",13.06.2026,"Ronaț Triaj h",66
"13.06.2026 22:20",13.06.2026,"Ronaț Triaj h",66
"13.06.2026 22:20",13.06.2026,"Ronaț Triaj h",66
"13.06.2026 22:20",13.06.2026,"Ronaț Triaj h",66
"14.06.2026 22:29",14.06.2026,"Ronaț Triaj h",36
