currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:11",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 08:28",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 11:10",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 12:36",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 14:46",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 17:49",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 20:46",06.06.2026,"Sărmășel Gaz Metan hc",0
"07.06.2026 22:03",07.06.2026,"Sărmășel Gaz Metan hc",5
"07.06.2026 23:25",07.06.2026,"Sărmășel Gaz Metan hc",5
"08.06.2026 04:59",07.06.2026,"Sărmășel Gaz Metan hc",5
"08.06.2026 22:21",08.06.2026,"Sărmășel Gaz Metan hc",29
"08.06.2026 22:21",08.06.2026,"Sărmășel Gaz Metan hc",29
"08.06.2026 22:21",08.06.2026,"Sărmășel Gaz Metan hc",29
"08.06.2026 22:21",08.06.2026,"Sărmășel Gaz Metan hc",29
"08.06.2026 22:21",08.06.2026,"Sărmășel Gaz Metan hc",29
"09.06.2026 23:20",09.06.2026,"Sărmășel Gaz Metan hc",0
"09.06.2026 23:20",09.06.2026,"Sărmășel Gaz Metan hc",0
"09.06.2026 23:20",09.06.2026,"Sărmășel Gaz Metan hc",0
"09.06.2026 23:20",09.06.2026,"Sărmășel Gaz Metan hc",0
"11.06.2026 00:03",10.06.2026,"Sărmășel Gaz Metan hc",29
"11.06.2026 00:03",10.06.2026,"Sărmășel Gaz Metan hc",29
"11.06.2026 00:03",10.06.2026,"Sărmășel Gaz Metan hc",29
"11.06.2026 23:57",11.06.2026,"Sărmășel Gaz Metan hc",7
"11.06.2026 23:57",11.06.2026,"Sărmășel Gaz Metan hc",7
"11.06.2026 23:57",11.06.2026,"Sărmășel Gaz Metan hc",7
"11.06.2026 23:57",11.06.2026,"Sărmășel Gaz Metan hc",7
"12.06.2026 23:12",12.06.2026,"Sărmășel Gaz Metan hc",14
"12.06.2026 23:12",12.06.2026,"Sărmășel Gaz Metan hc",14
"12.06.2026 23:12",12.06.2026,"Sărmășel Gaz Metan hc",14
"12.06.2026 23:12",12.06.2026,"Sărmășel Gaz Metan hc",14
"13.06.2026 22:20",13.06.2026,"Sărmășel Gaz Metan hc",51
"13.06.2026 22:20",13.06.2026,"Sărmășel Gaz Metan hc",51
"13.06.2026 22:20",13.06.2026,"Sărmășel Gaz Metan hc",51
"13.06.2026 22:20",13.06.2026,"Sărmășel Gaz Metan hc",51
"14.06.2026 22:29",14.06.2026,"Sărmășel Gaz Metan hc",0
"14.06.2026 22:29",14.06.2026,"Sărmășel Gaz Metan hc",0
"14.06.2026 22:29",14.06.2026,"Sărmășel Gaz Metan hc",0
"15.06.2026 23:17",15.06.2026,"Sărmășel Gaz Metan hc",13
"15.06.2026 23:17",15.06.2026,"Sărmășel Gaz Metan hc",13
"15.06.2026 23:17",15.06.2026,"Sărmășel Gaz Metan hc",13
"16.06.2026 23:07",16.06.2026,"Sărmășel Gaz Metan hc",17
"16.06.2026 23:07",16.06.2026,"Sărmășel Gaz Metan hc",17
"16.06.2026 23:07",16.06.2026,"Sărmășel Gaz Metan hc",17
"17.06.2026 23:00",17.06.2026,"Sărmășel Gaz Metan hc",29
"17.06.2026 23:00",17.06.2026,"Sărmășel Gaz Metan hc",29
