currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:02",05.06.2026,"Timișoara Nord",410
"07.06.2026 04:04",06.06.2026,"Timișoara Nord",235
"07.06.2026 08:19",06.06.2026,"Timișoara Nord",204
"07.06.2026 11:00",06.06.2026,"Timișoara Nord",204
"07.06.2026 12:26",06.06.2026,"Timișoara Nord",235
"07.06.2026 14:36",06.06.2026,"Timișoara Nord",204
"07.06.2026 17:40",06.06.2026,"Timișoara Nord",204
"07.06.2026 19:59",06.06.2026,"Timișoara Nord",235
"07.06.2026 21:32",07.06.2026,"Timișoara Nord",339
"07.06.2026 23:16",07.06.2026,"Timișoara Nord",220
"08.06.2026 04:52",07.06.2026,"Timișoara Nord",220
"08.06.2026 22:03",08.06.2026,"Timișoara Nord",421
"08.06.2026 22:03",08.06.2026,"Timișoara Nord",421
"08.06.2026 22:03",08.06.2026,"Timișoara Nord",421
"08.06.2026 22:03",08.06.2026,"Timișoara Nord",421
"08.06.2026 22:03",08.06.2026,"Timișoara Nord",421
"09.06.2026 22:41",09.06.2026,"Timișoara Nord",389
"09.06.2026 22:41",09.06.2026,"Timișoara Nord",389
"09.06.2026 22:41",09.06.2026,"Timișoara Nord",389
"09.06.2026 22:41",09.06.2026,"Timișoara Nord",389
"10.06.2026 23:10",10.06.2026,"Timișoara Nord",407
"10.06.2026 23:10",10.06.2026,"Timișoara Nord",407
"10.06.2026 23:10",10.06.2026,"Timișoara Nord",407
"11.06.2026 23:09",11.06.2026,"Timișoara Nord",384
"11.06.2026 23:09",11.06.2026,"Timișoara Nord",384
"11.06.2026 23:09",11.06.2026,"Timișoara Nord",384
"11.06.2026 23:09",11.06.2026,"Timișoara Nord",384
"12.06.2026 22:39",12.06.2026,"Timișoara Nord",375
"12.06.2026 22:39",12.06.2026,"Timișoara Nord",375
"12.06.2026 22:39",12.06.2026,"Timișoara Nord",375
"12.06.2026 22:39",12.06.2026,"Timișoara Nord",375
"13.06.2026 22:12",13.06.2026,"Timișoara Nord",242
"13.06.2026 22:12",13.06.2026,"Timișoara Nord",242
"13.06.2026 22:12",13.06.2026,"Timișoara Nord",242
"13.06.2026 22:12",13.06.2026,"Timișoara Nord",242
"14.06.2026 22:21",14.06.2026,"Timișoara Nord",334
"14.06.2026 22:21",14.06.2026,"Timișoara Nord",334
"14.06.2026 22:21",14.06.2026,"Timișoara Nord",334
"15.06.2026 23:09",15.06.2026,"Timișoara Nord",391
"15.06.2026 23:09",15.06.2026,"Timișoara Nord",391
"15.06.2026 23:09",15.06.2026,"Timișoara Nord",391
"16.06.2026 22:59",16.06.2026,"Timișoara Nord",534
"16.06.2026 22:59",16.06.2026,"Timișoara Nord",534
"16.06.2026 22:59",16.06.2026,"Timișoara Nord",534
"17.06.2026 22:51",17.06.2026,"Timișoara Nord",572
"17.06.2026 22:51",17.06.2026,"Timișoara Nord",572
"17.06.2026 22:51",17.06.2026,"Timișoara Nord",572
"17.06.2026 22:51",17.06.2026,"Timișoara Nord",572
"18.06.2026 23:17",18.06.2026,"Timișoara Nord",329
"18.06.2026 23:17",18.06.2026,"Timișoara Nord",329
"18.06.2026 23:17",18.06.2026,"Timișoara Nord",329
"19.06.2026 22:27",19.06.2026,"Timișoara Nord",668
"19.06.2026 22:27",19.06.2026,"Timișoara Nord",668
"19.06.2026 22:27",19.06.2026,"Timișoara Nord",668
"19.06.2026 22:27",19.06.2026,"Timișoara Nord",668
"20.06.2026 22:17",20.06.2026,"Timișoara Nord",659
"20.06.2026 22:17",20.06.2026,"Timișoara Nord",659
"20.06.2026 22:17",20.06.2026,"Timișoara Nord",659
"20.06.2026 22:17",20.06.2026,"Timișoara Nord",659
