currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:04",05.06.2026,Acâș,24
"07.06.2026 04:04",06.06.2026,Acâș,8
"07.06.2026 08:20",06.06.2026,Acâș,8
"07.06.2026 11:00",06.06.2026,Acâș,8
"07.06.2026 12:26",06.06.2026,Acâș,8
"07.06.2026 14:36",06.06.2026,Acâș,8
"07.06.2026 17:40",06.06.2026,Acâș,8
"07.06.2026 20:00",06.06.2026,Acâș,8
"07.06.2026 21:32",07.06.2026,Acâș,4
"07.06.2026 23:17",07.06.2026,Acâș,4
"08.06.2026 04:52",07.06.2026,Acâș,4
"08.06.2026 22:04",08.06.2026,Acâș,0
"08.06.2026 22:04",08.06.2026,Acâș,0
"08.06.2026 22:04",08.06.2026,Acâș,0
"08.06.2026 22:04",08.06.2026,Acâș,0
"08.06.2026 22:04",08.06.2026,Acâș,0
"09.06.2026 22:42",09.06.2026,Acâș,0
"09.06.2026 22:42",09.06.2026,Acâș,0
"09.06.2026 22:42",09.06.2026,Acâș,0
"09.06.2026 22:42",09.06.2026,Acâș,0
"10.06.2026 23:12",10.06.2026,Acâș,34
"10.06.2026 23:12",10.06.2026,Acâș,34
"10.06.2026 23:12",10.06.2026,Acâș,34
"11.06.2026 23:10",11.06.2026,Acâș,13
"11.06.2026 23:10",11.06.2026,Acâș,13
"11.06.2026 23:10",11.06.2026,Acâș,13
"11.06.2026 23:10",11.06.2026,Acâș,13
"12.06.2026 22:40",12.06.2026,Acâș,6
"12.06.2026 22:40",12.06.2026,Acâș,6
"12.06.2026 22:40",12.06.2026,Acâș,6
"12.06.2026 22:40",12.06.2026,Acâș,6
"13.06.2026 22:12",13.06.2026,Acâș,12
"13.06.2026 22:12",13.06.2026,Acâș,12
"13.06.2026 22:12",13.06.2026,Acâș,12
"13.06.2026 22:12",13.06.2026,Acâș,12
"14.06.2026 22:21",14.06.2026,Acâș,0
"14.06.2026 22:21",14.06.2026,Acâș,0
"14.06.2026 22:21",14.06.2026,Acâș,0
