currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:10",05.06.2026,Biharia,14
"07.06.2026 04:05",06.06.2026,Biharia,35
"07.06.2026 08:21",06.06.2026,Biharia,35
"07.06.2026 11:01",06.06.2026,Biharia,35
"07.06.2026 12:27",06.06.2026,Biharia,35
"07.06.2026 14:37",06.06.2026,Biharia,35
"07.06.2026 17:41",06.06.2026,Biharia,35
"07.06.2026 20:06",06.06.2026,Biharia,35
"07.06.2026 21:36",07.06.2026,Biharia,34
"07.06.2026 23:18",07.06.2026,Biharia,34
"08.06.2026 04:53",07.06.2026,Biharia,34
"08.06.2026 22:06",08.06.2026,Biharia,177
"08.06.2026 22:06",08.06.2026,Biharia,177
"08.06.2026 22:06",08.06.2026,Biharia,177
"08.06.2026 22:06",08.06.2026,Biharia,177
"08.06.2026 22:06",08.06.2026,Biharia,177
"09.06.2026 22:47",09.06.2026,Biharia,20
"09.06.2026 22:47",09.06.2026,Biharia,20
"09.06.2026 22:47",09.06.2026,Biharia,20
"09.06.2026 22:47",09.06.2026,Biharia,20
"10.06.2026 23:19",10.06.2026,Biharia,130
"10.06.2026 23:19",10.06.2026,Biharia,130
"10.06.2026 23:19",10.06.2026,Biharia,130
"11.06.2026 23:16",11.06.2026,Biharia,156
"11.06.2026 23:16",11.06.2026,Biharia,156
"11.06.2026 23:16",11.06.2026,Biharia,156
"11.06.2026 23:16",11.06.2026,Biharia,156
"12.06.2026 22:44",12.06.2026,Biharia,26
"12.06.2026 22:44",12.06.2026,Biharia,26
"12.06.2026 22:44",12.06.2026,Biharia,26
"12.06.2026 22:44",12.06.2026,Biharia,26
"13.06.2026 22:14",13.06.2026,Biharia,13
"13.06.2026 22:14",13.06.2026,Biharia,13
"13.06.2026 22:14",13.06.2026,Biharia,13
"13.06.2026 22:14",13.06.2026,Biharia,13
"14.06.2026 22:22",14.06.2026,Biharia,294
"14.06.2026 22:22",14.06.2026,Biharia,294
"14.06.2026 22:22",14.06.2026,Biharia,294
"15.06.2026 23:10",15.06.2026,Biharia,56
"15.06.2026 23:10",15.06.2026,Biharia,56
"15.06.2026 23:10",15.06.2026,Biharia,56
"16.06.2026 23:01",16.06.2026,Biharia,138
"16.06.2026 23:01",16.06.2026,Biharia,138
"16.06.2026 23:01",16.06.2026,Biharia,138
"17.06.2026 22:52",17.06.2026,Biharia,11
"17.06.2026 22:52",17.06.2026,Biharia,11
"17.06.2026 22:52",17.06.2026,Biharia,11
"17.06.2026 22:52",17.06.2026,Biharia,11
"18.06.2026 23:25",18.06.2026,Biharia,67
"18.06.2026 23:25",18.06.2026,Biharia,67
"18.06.2026 23:25",18.06.2026,Biharia,67
"19.06.2026 22:35",19.06.2026,Biharia,44
"19.06.2026 22:35",19.06.2026,Biharia,44
"19.06.2026 22:35",19.06.2026,Biharia,44
"19.06.2026 22:35",19.06.2026,Biharia,44
"20.06.2026 22:18",20.06.2026,Biharia,47
"20.06.2026 22:18",20.06.2026,Biharia,47
"20.06.2026 22:18",20.06.2026,Biharia,47
"20.06.2026 22:18",20.06.2026,Biharia,47
"21.06.2026 22:24",21.06.2026,Biharia,43
"21.06.2026 22:24",21.06.2026,Biharia,43
"21.06.2026 22:24",21.06.2026,Biharia,43
"22.06.2026 23:15",22.06.2026,Biharia,370
"22.06.2026 23:15",22.06.2026,Biharia,370
"22.06.2026 23:15",22.06.2026,Biharia,370
"22.06.2026 23:15",22.06.2026,Biharia,370
"22.06.2026 23:15",22.06.2026,Biharia,370
"23.06.2026 22:45",23.06.2026,Biharia,17
"23.06.2026 22:45",23.06.2026,Biharia,17
"23.06.2026 22:45",23.06.2026,Biharia,17
"23.06.2026 22:45",23.06.2026,Biharia,17
"23.06.2026 22:45",23.06.2026,Biharia,17
"24.06.2026 22:40",24.06.2026,Biharia,117
"24.06.2026 22:40",24.06.2026,Biharia,117
"24.06.2026 22:40",24.06.2026,Biharia,117
"24.06.2026 22:40",24.06.2026,Biharia,117
"24.06.2026 22:40",24.06.2026,Biharia,117
"25.06.2026 22:49",25.06.2026,Biharia,133
"25.06.2026 22:49",25.06.2026,Biharia,133
"25.06.2026 22:49",25.06.2026,Biharia,133
"25.06.2026 22:49",25.06.2026,Biharia,133
"26.06.2026 22:42",26.06.2026,Biharia,139
"26.06.2026 22:42",26.06.2026,Biharia,139
"26.06.2026 22:42",26.06.2026,Biharia,139
"26.06.2026 22:42",26.06.2026,Biharia,139
"26.06.2026 22:42",26.06.2026,Biharia,139
"27.06.2026 22:19",27.06.2026,Biharia,158
"27.06.2026 22:19",27.06.2026,Biharia,158
"27.06.2026 22:19",27.06.2026,Biharia,158
"27.06.2026 22:19",27.06.2026,Biharia,158
"28.06.2026 22:20",28.06.2026,Biharia,181
"28.06.2026 22:20",28.06.2026,Biharia,181
"28.06.2026 22:20",28.06.2026,Biharia,181
"29.06.2026 22:37",29.06.2026,Biharia,422
"29.06.2026 22:37",29.06.2026,Biharia,422
"29.06.2026 22:37",29.06.2026,Biharia,422
"29.06.2026 22:37",29.06.2026,Biharia,422
"30.06.2026 22:22",30.06.2026,Biharia,238
