currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:09",05.06.2026,Bărăganu,108
"07.06.2026 04:05",06.06.2026,Bărăganu,20
"07.06.2026 08:20",06.06.2026,Bărăganu,20
"07.06.2026 11:01",06.06.2026,Bărăganu,20
"07.06.2026 12:27",06.06.2026,Bărăganu,20
"07.06.2026 14:37",06.06.2026,Bărăganu,20
"07.06.2026 17:41",06.06.2026,Bărăganu,20
"07.06.2026 20:05",06.06.2026,Bărăganu,20
"07.06.2026 21:35",07.06.2026,Bărăganu,34
"07.06.2026 23:17",07.06.2026,Bărăganu,34
"08.06.2026 04:52",07.06.2026,Bărăganu,34
