currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:23",05.06.2026,Dedulești,20
"07.06.2026 04:07",06.06.2026,Dedulești,26
"07.06.2026 08:23",06.06.2026,Dedulești,26
"07.06.2026 11:04",06.06.2026,Dedulești,26
"07.06.2026 12:30",06.06.2026,Dedulești,26
"07.06.2026 14:40",06.06.2026,Dedulești,26
"07.06.2026 17:44",06.06.2026,Dedulești,26
"07.06.2026 20:19",06.06.2026,Dedulești,26
"07.06.2026 21:44",07.06.2026,Dedulești,0
"07.06.2026 23:20",07.06.2026,Dedulești,0
"08.06.2026 04:55",07.06.2026,Dedulești,0
"08.06.2026 22:10",08.06.2026,Dedulești,94
"08.06.2026 22:10",08.06.2026,Dedulești,94
"08.06.2026 22:10",08.06.2026,Dedulești,94
"08.06.2026 22:10",08.06.2026,Dedulești,94
"08.06.2026 22:10",08.06.2026,Dedulești,94
"09.06.2026 22:57",09.06.2026,Dedulești,3
"09.06.2026 22:57",09.06.2026,Dedulești,3
"09.06.2026 22:57",09.06.2026,Dedulești,3
"09.06.2026 22:57",09.06.2026,Dedulești,3
"10.06.2026 23:32",10.06.2026,Dedulești,26
"10.06.2026 23:32",10.06.2026,Dedulești,26
"10.06.2026 23:32",10.06.2026,Dedulești,26
"11.06.2026 23:29",11.06.2026,Dedulești,10
"11.06.2026 23:29",11.06.2026,Dedulești,10
"11.06.2026 23:29",11.06.2026,Dedulești,10
"11.06.2026 23:29",11.06.2026,Dedulești,10
"12.06.2026 22:53",12.06.2026,Dedulești,2
"12.06.2026 22:53",12.06.2026,Dedulești,2
"12.06.2026 22:53",12.06.2026,Dedulești,2
"12.06.2026 22:53",12.06.2026,Dedulești,2
"13.06.2026 22:16",13.06.2026,Dedulești,11
"13.06.2026 22:16",13.06.2026,Dedulești,11
"13.06.2026 22:16",13.06.2026,Dedulești,11
"13.06.2026 22:16",13.06.2026,Dedulești,11
"14.06.2026 22:24",14.06.2026,Dedulești,0
"14.06.2026 22:24",14.06.2026,Dedulești,0
"14.06.2026 22:24",14.06.2026,Dedulești,0
"15.06.2026 23:12",15.06.2026,Dedulești,2
"15.06.2026 23:12",15.06.2026,Dedulești,2
"15.06.2026 23:12",15.06.2026,Dedulești,2
"16.06.2026 23:03",16.06.2026,Dedulești,15
"16.06.2026 23:03",16.06.2026,Dedulești,15
"16.06.2026 23:03",16.06.2026,Dedulești,15
"17.06.2026 22:54",17.06.2026,Dedulești,60
"17.06.2026 22:54",17.06.2026,Dedulești,60
"17.06.2026 22:54",17.06.2026,Dedulești,60
"17.06.2026 22:54",17.06.2026,Dedulești,60
"18.06.2026 23:38",18.06.2026,Dedulești,11
