currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 19:56",05.06.2026,Iași,114
"07.06.2026 04:03",06.06.2026,Iași,150
"07.06.2026 08:19",06.06.2026,Iași,103
"07.06.2026 10:59",06.06.2026,Iași,150
"07.06.2026 12:25",06.06.2026,Iași,103
"07.06.2026 14:35",06.06.2026,Iași,103
"07.06.2026 17:39",06.06.2026,Iași,103
"07.06.2026 19:52",06.06.2026,Iași,103
"07.06.2026 21:27",07.06.2026,Iași,192
"07.06.2026 23:15",07.06.2026,Iași,163
"08.06.2026 04:51",07.06.2026,Iași,163
"08.06.2026 22:01",08.06.2026,Iași,86
"08.06.2026 22:01",08.06.2026,Iași,86
"08.06.2026 22:01",08.06.2026,Iași,86
"08.06.2026 22:01",08.06.2026,Iași,86
"08.06.2026 22:01",08.06.2026,Iași,86
"09.06.2026 22:36",09.06.2026,Iași,111
"09.06.2026 22:36",09.06.2026,Iași,111
