currentTimestamp,cfr_date,station,totalDelayMinutes
"06.06.2026 20:45",05.06.2026,"Ivănești hc",41
"07.06.2026 04:08",06.06.2026,"Ivănești hc",5
"07.06.2026 08:24",06.06.2026,"Ivănești hc",5
"07.06.2026 11:06",06.06.2026,"Ivănești hc",5
"07.06.2026 12:32",06.06.2026,"Ivănești hc",5
"07.06.2026 14:42",06.06.2026,"Ivănești hc",5
"07.06.2026 17:45",06.06.2026,"Ivănești hc",5
"07.06.2026 20:27",06.06.2026,"Ivănești hc",5
"07.06.2026 21:50",07.06.2026,"Ivănești hc",5
"07.06.2026 23:21",07.06.2026,"Ivănești hc",5
"08.06.2026 04:56",07.06.2026,"Ivănești hc",5
"08.06.2026 22:13",08.06.2026,"Ivănești hc",24
"08.06.2026 22:13",08.06.2026,"Ivănești hc",24
"08.06.2026 22:13",08.06.2026,"Ivănești hc",24
"08.06.2026 22:13",08.06.2026,"Ivănești hc",24
"08.06.2026 22:13",08.06.2026,"Ivănești hc",24
"09.06.2026 23:03",09.06.2026,"Ivănești hc",72
"09.06.2026 23:03",09.06.2026,"Ivănești hc",72
"09.06.2026 23:03",09.06.2026,"Ivănești hc",72
"09.06.2026 23:03",09.06.2026,"Ivănești hc",72
"10.06.2026 23:41",10.06.2026,"Ivănești hc",45
"10.06.2026 23:41",10.06.2026,"Ivănești hc",45
"10.06.2026 23:41",10.06.2026,"Ivănești hc",45
"11.06.2026 23:37",11.06.2026,"Ivănești hc",30
"11.06.2026 23:37",11.06.2026,"Ivănești hc",30
"11.06.2026 23:37",11.06.2026,"Ivănești hc",30
"11.06.2026 23:37",11.06.2026,"Ivănești hc",30
"12.06.2026 22:59",12.06.2026,"Ivănești hc",59
"12.06.2026 22:59",12.06.2026,"Ivănești hc",59
"12.06.2026 22:59",12.06.2026,"Ivănești hc",59
"12.06.2026 22:59",12.06.2026,"Ivănești hc",59
"13.06.2026 22:17",13.06.2026,"Ivănești hc",0
"13.06.2026 22:17",13.06.2026,"Ivănești hc",0
"13.06.2026 22:17",13.06.2026,"Ivănești hc",0
"13.06.2026 22:17",13.06.2026,"Ivănești hc",0
"14.06.2026 22:26",14.06.2026,"Ivănești hc",2
"14.06.2026 22:26",14.06.2026,"Ivănești hc",2
"14.06.2026 22:26",14.06.2026,"Ivănești hc",2
"15.06.2026 23:13",15.06.2026,"Ivănești hc",35
"15.06.2026 23:13",15.06.2026,"Ivănești hc",35
"15.06.2026 23:13",15.06.2026,"Ivănești hc",35
"16.06.2026 23:04",16.06.2026,"Ivănești hc",33
"16.06.2026 23:04",16.06.2026,"Ivănești hc",33
"16.06.2026 23:04",16.06.2026,"Ivănești hc",33
