currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:11",06.06.2026,"Ramificația CAM h",5
"07.06.2026 08:27",06.06.2026,"Ramificația CAM h",5
"07.06.2026 11:09",06.06.2026,"Ramificația CAM h",5
"07.06.2026 12:35",06.06.2026,"Ramificația CAM h",5
"07.06.2026 14:45",06.06.2026,"Ramificația CAM h",5
"07.06.2026 17:48",06.06.2026,"Ramificația CAM h",5
"07.06.2026 20:42",06.06.2026,"Ramificația CAM h",5
"07.06.2026 22:00",07.06.2026,"Ramificația CAM h",6
"07.06.2026 23:24",07.06.2026,"Ramificația CAM h",6
"08.06.2026 04:59",07.06.2026,"Ramificația CAM h",6
"08.06.2026 22:19",08.06.2026,"Ramificația CAM h",3
"08.06.2026 22:19",08.06.2026,"Ramificația CAM h",3
"08.06.2026 22:19",08.06.2026,"Ramificația CAM h",3
"08.06.2026 22:19",08.06.2026,"Ramificația CAM h",3
"08.06.2026 22:19",08.06.2026,"Ramificația CAM h",3
"09.06.2026 23:16",09.06.2026,"Ramificația CAM h",121
"09.06.2026 23:16",09.06.2026,"Ramificația CAM h",121
"09.06.2026 23:16",09.06.2026,"Ramificația CAM h",121
"09.06.2026 23:16",09.06.2026,"Ramificația CAM h",121
"10.06.2026 23:58",10.06.2026,"Ramificația CAM h",14
"10.06.2026 23:58",10.06.2026,"Ramificația CAM h",14
"10.06.2026 23:58",10.06.2026,"Ramificația CAM h",14
"11.06.2026 23:53",11.06.2026,"Ramificația CAM h",14
"11.06.2026 23:53",11.06.2026,"Ramificația CAM h",14
"11.06.2026 23:53",11.06.2026,"Ramificația CAM h",14
"11.06.2026 23:53",11.06.2026,"Ramificația CAM h",14
"12.06.2026 23:09",12.06.2026,"Ramificația CAM h",16
"12.06.2026 23:09",12.06.2026,"Ramificația CAM h",16
"12.06.2026 23:09",12.06.2026,"Ramificația CAM h",16
"12.06.2026 23:09",12.06.2026,"Ramificația CAM h",16
"13.06.2026 22:19",13.06.2026,"Ramificația CAM h",0
"13.06.2026 22:19",13.06.2026,"Ramificația CAM h",0
"13.06.2026 22:19",13.06.2026,"Ramificația CAM h",0
"13.06.2026 22:19",13.06.2026,"Ramificația CAM h",0
"14.06.2026 22:28",14.06.2026,"Ramificația CAM h",18
"14.06.2026 22:28",14.06.2026,"Ramificația CAM h",18
"14.06.2026 22:28",14.06.2026,"Ramificația CAM h",18
"15.06.2026 23:16",15.06.2026,"Ramificația CAM h",1
"15.06.2026 23:16",15.06.2026,"Ramificația CAM h",1
"15.06.2026 23:16",15.06.2026,"Ramificația CAM h",1
"16.06.2026 23:07",16.06.2026,"Ramificația CAM h",13
"16.06.2026 23:07",16.06.2026,"Ramificația CAM h",13
"16.06.2026 23:07",16.06.2026,"Ramificația CAM h",13
"17.06.2026 22:59",17.06.2026,"Ramificația CAM h",6
"17.06.2026 22:59",17.06.2026,"Ramificația CAM h",6
"17.06.2026 22:59",17.06.2026,"Ramificația CAM h",6
"17.06.2026 22:59",17.06.2026,"Ramificația CAM h",6
"19.06.2026 00:02",18.06.2026,"Ramificația CAM h",38
"19.06.2026 00:02",18.06.2026,"Ramificația CAM h",38
"19.06.2026 00:02",18.06.2026,"Ramificația CAM h",38
"19.06.2026 23:11",19.06.2026,"Ramificația CAM h",15
"19.06.2026 23:11",19.06.2026,"Ramificația CAM h",15
"19.06.2026 23:11",19.06.2026,"Ramificația CAM h",15
"19.06.2026 23:11",19.06.2026,"Ramificația CAM h",15
"20.06.2026 22:25",20.06.2026,"Ramificația CAM h",0
"20.06.2026 22:25",20.06.2026,"Ramificația CAM h",0
"20.06.2026 22:25",20.06.2026,"Ramificația CAM h",0
"20.06.2026 22:25",20.06.2026,"Ramificația CAM h",0
"21.06.2026 22:34",21.06.2026,"Ramificația CAM h",14
"21.06.2026 22:34",21.06.2026,"Ramificația CAM h",14
"21.06.2026 22:34",21.06.2026,"Ramificația CAM h",14
"22.06.2026 23:54",22.06.2026,"Ramificația CAM h",12
