currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:14",06.06.2026,"Vizireni hc",48
"07.06.2026 08:30",06.06.2026,"Vizireni hc",48
"07.06.2026 11:13",06.06.2026,"Vizireni hc",48
"07.06.2026 12:39",06.06.2026,"Vizireni hc",48
"07.06.2026 14:49",06.06.2026,"Vizireni hc",48
"07.06.2026 17:51",06.06.2026,"Vizireni hc",48
"07.06.2026 22:12",07.06.2026,"Vizireni hc",13
"07.06.2026 23:27",07.06.2026,"Vizireni hc",13
"08.06.2026 05:02",07.06.2026,"Vizireni hc",13
"08.06.2026 22:26",08.06.2026,"Vizireni hc",111
"08.06.2026 22:26",08.06.2026,"Vizireni hc",111
"08.06.2026 22:26",08.06.2026,"Vizireni hc",111
"08.06.2026 22:26",08.06.2026,"Vizireni hc",111
"08.06.2026 22:26",08.06.2026,"Vizireni hc",111
"09.06.2026 23:32",09.06.2026,"Vizireni hc",12
"09.06.2026 23:32",09.06.2026,"Vizireni hc",12
"09.06.2026 23:32",09.06.2026,"Vizireni hc",12
"09.06.2026 23:32",09.06.2026,"Vizireni hc",12
"11.06.2026 00:17",10.06.2026,"Vizireni hc",43
"11.06.2026 00:17",10.06.2026,"Vizireni hc",43
"11.06.2026 00:17",10.06.2026,"Vizireni hc",43
"12.06.2026 00:11",11.06.2026,"Vizireni hc",12
"12.06.2026 00:11",11.06.2026,"Vizireni hc",12
"12.06.2026 00:11",11.06.2026,"Vizireni hc",12
"12.06.2026 00:11",11.06.2026,"Vizireni hc",12
"12.06.2026 23:21",12.06.2026,"Vizireni hc",113
"12.06.2026 23:21",12.06.2026,"Vizireni hc",113
"12.06.2026 23:21",12.06.2026,"Vizireni hc",113
"12.06.2026 23:21",12.06.2026,"Vizireni hc",113
"13.06.2026 22:22",13.06.2026,"Vizireni hc",19
"13.06.2026 22:22",13.06.2026,"Vizireni hc",19
"13.06.2026 22:22",13.06.2026,"Vizireni hc",19
"13.06.2026 22:22",13.06.2026,"Vizireni hc",19
