currentTimestamp,cfr_date,station,totalDelayMinutes
"07.06.2026 04:13",06.06.2026,Văratec,60
"07.06.2026 08:30",06.06.2026,Văratec,60
"07.06.2026 11:13",06.06.2026,Văratec,60
"07.06.2026 12:39",06.06.2026,Văratec,60
"07.06.2026 14:49",06.06.2026,Văratec,60
"07.06.2026 17:51",06.06.2026,Văratec,60
"07.06.2026 20:59",06.06.2026,Văratec,60
"07.06.2026 22:12",07.06.2026,Văratec,70
"07.06.2026 23:27",07.06.2026,Văratec,70
"08.06.2026 05:02",07.06.2026,Văratec,70
"08.06.2026 22:26",08.06.2026,Văratec,6
"08.06.2026 22:26",08.06.2026,Văratec,6
"08.06.2026 22:26",08.06.2026,Văratec,6
"08.06.2026 22:26",08.06.2026,Văratec,6
"08.06.2026 22:26",08.06.2026,Văratec,6
"09.06.2026 23:31",09.06.2026,Văratec,66
"09.06.2026 23:31",09.06.2026,Văratec,66
"09.06.2026 23:31",09.06.2026,Văratec,66
"09.06.2026 23:31",09.06.2026,Văratec,66
"11.06.2026 00:15",10.06.2026,Văratec,165
"11.06.2026 00:15",10.06.2026,Văratec,165
"11.06.2026 00:15",10.06.2026,Văratec,165
"12.06.2026 00:10",11.06.2026,Văratec,55
"12.06.2026 00:10",11.06.2026,Văratec,55
"12.06.2026 00:10",11.06.2026,Văratec,55
"12.06.2026 00:10",11.06.2026,Văratec,55
"12.06.2026 23:20",12.06.2026,Văratec,79
"12.06.2026 23:20",12.06.2026,Văratec,79
"12.06.2026 23:20",12.06.2026,Văratec,79
