currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:42",01.07.2026,"Anghelești hc",775
"01.07.2026 22:42",01.07.2026,"Anghelești hc",775
"01.07.2026 22:42",01.07.2026,"Anghelești hc",775
"01.07.2026 22:42",01.07.2026,"Anghelești hc",775
"01.07.2026 22:42",01.07.2026,"Anghelești hc",775
"02.07.2026 22:32",02.07.2026,"Anghelești hc",185
"02.07.2026 22:32",02.07.2026,"Anghelești hc",185
"02.07.2026 22:32",02.07.2026,"Anghelești hc",185
"02.07.2026 22:32",02.07.2026,"Anghelești hc",185
"02.07.2026 22:32",02.07.2026,"Anghelești hc",185
"03.07.2026 22:12",03.07.2026,"Anghelești hc",315
"03.07.2026 22:12",03.07.2026,"Anghelești hc",315
"03.07.2026 22:12",03.07.2026,"Anghelești hc",315
"03.07.2026 22:12",03.07.2026,"Anghelești hc",315
"03.07.2026 22:12",03.07.2026,"Anghelești hc",315
"04.07.2026 22:22",04.07.2026,"Anghelești hc",121
"04.07.2026 22:22",04.07.2026,"Anghelești hc",121
"04.07.2026 22:22",04.07.2026,"Anghelești hc",121
"04.07.2026 22:22",04.07.2026,"Anghelești hc",121
"04.07.2026 22:22",04.07.2026,"Anghelești hc",121
"05.07.2026 22:25",05.07.2026,"Anghelești hc",174
"05.07.2026 22:25",05.07.2026,"Anghelești hc",174
"05.07.2026 22:25",05.07.2026,"Anghelești hc",174
"05.07.2026 22:25",05.07.2026,"Anghelești hc",174
"06.07.2026 22:39",06.07.2026,"Anghelești hc",202
"06.07.2026 22:39",06.07.2026,"Anghelești hc",202
"06.07.2026 22:39",06.07.2026,"Anghelești hc",202
"06.07.2026 22:39",06.07.2026,"Anghelești hc",202
"06.07.2026 22:39",06.07.2026,"Anghelești hc",202
"07.07.2026 22:26",07.07.2026,"Anghelești hc",117
"07.07.2026 22:26",07.07.2026,"Anghelești hc",117
"07.07.2026 22:26",07.07.2026,"Anghelești hc",117
"07.07.2026 22:26",07.07.2026,"Anghelești hc",117
"07.07.2026 22:26",07.07.2026,"Anghelești hc",117
"08.07.2026 22:27",08.07.2026,"Anghelești hc",123
"08.07.2026 22:27",08.07.2026,"Anghelești hc",123
"08.07.2026 22:27",08.07.2026,"Anghelești hc",123
"08.07.2026 22:27",08.07.2026,"Anghelești hc",123
"08.07.2026 22:27",08.07.2026,"Anghelești hc",123
"09.07.2026 22:41",09.07.2026,"Anghelești hc",159
"09.07.2026 22:41",09.07.2026,"Anghelești hc",159
"09.07.2026 22:41",09.07.2026,"Anghelești hc",159
"09.07.2026 22:41",09.07.2026,"Anghelești hc",159
"09.07.2026 22:41",09.07.2026,"Anghelești hc",159
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"10.07.2026 22:26",10.07.2026,"Anghelești hc",83
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"11.07.2026 22:00",11.07.2026,"Anghelești hc",143
"12.07.2026 22:16",12.07.2026,"Anghelești hc",98
"12.07.2026 22:16",12.07.2026,"Anghelești hc",98
"12.07.2026 22:16",12.07.2026,"Anghelești hc",98
"12.07.2026 22:16",12.07.2026,"Anghelești hc",98
"12.07.2026 22:16",12.07.2026,"Anghelești hc",98
"13.07.2026 22:22",13.07.2026,"Anghelești hc",101
"13.07.2026 22:22",13.07.2026,"Anghelești hc",101
"13.07.2026 22:22",13.07.2026,"Anghelești hc",101
"13.07.2026 22:22",13.07.2026,"Anghelești hc",101
"13.07.2026 22:22",13.07.2026,"Anghelești hc",101
"14.07.2026 22:20",14.07.2026,"Anghelești hc",78
"14.07.2026 22:20",14.07.2026,"Anghelești hc",78
"14.07.2026 22:20",14.07.2026,"Anghelești hc",78
"14.07.2026 22:20",14.07.2026,"Anghelești hc",78
"14.07.2026 22:20",14.07.2026,"Anghelești hc",78
"15.07.2026 22:10",15.07.2026,"Anghelești hc",110
"15.07.2026 22:10",15.07.2026,"Anghelești hc",110
"15.07.2026 22:10",15.07.2026,"Anghelești hc",110
"15.07.2026 22:10",15.07.2026,"Anghelești hc",110
"15.07.2026 22:10",15.07.2026,"Anghelești hc",110
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"16.07.2026 22:27",16.07.2026,"Anghelești hc",116
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"17.07.2026 22:02",17.07.2026,"Anghelești hc",82
"18.07.2026 22:16",18.07.2026,"Anghelești hc",46
"18.07.2026 22:16",18.07.2026,"Anghelești hc",46
"18.07.2026 22:16",18.07.2026,"Anghelești hc",46
