currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:53",01.07.2026,"Cârța hc",28
"01.07.2026 22:53",01.07.2026,"Cârța hc",28
"01.07.2026 22:53",01.07.2026,"Cârța hc",28
"01.07.2026 22:53",01.07.2026,"Cârța hc",28
"01.07.2026 22:53",01.07.2026,"Cârța hc",28
"02.07.2026 22:43",02.07.2026,"Cârța hc",122
"02.07.2026 22:43",02.07.2026,"Cârța hc",122
"02.07.2026 22:43",02.07.2026,"Cârța hc",122
"02.07.2026 22:43",02.07.2026,"Cârța hc",122
"02.07.2026 22:43",02.07.2026,"Cârța hc",122
"03.07.2026 22:15",03.07.2026,"Cârța hc",19
"03.07.2026 22:15",03.07.2026,"Cârța hc",19
"03.07.2026 22:15",03.07.2026,"Cârța hc",19
"03.07.2026 22:15",03.07.2026,"Cârța hc",19
"03.07.2026 22:15",03.07.2026,"Cârța hc",19
"04.07.2026 22:32",04.07.2026,"Cârța hc",11
"04.07.2026 22:32",04.07.2026,"Cârța hc",11
"04.07.2026 22:32",04.07.2026,"Cârța hc",11
"04.07.2026 22:32",04.07.2026,"Cârța hc",11
"04.07.2026 22:32",04.07.2026,"Cârța hc",11
"05.07.2026 22:36",05.07.2026,"Cârța hc",36
"05.07.2026 22:36",05.07.2026,"Cârța hc",36
"05.07.2026 22:36",05.07.2026,"Cârța hc",36
"05.07.2026 22:36",05.07.2026,"Cârța hc",36
"06.07.2026 22:50",06.07.2026,"Cârța hc",13
"06.07.2026 22:50",06.07.2026,"Cârța hc",13
"06.07.2026 22:50",06.07.2026,"Cârța hc",13
"06.07.2026 22:50",06.07.2026,"Cârța hc",13
"06.07.2026 22:50",06.07.2026,"Cârța hc",13
"07.07.2026 22:34",07.07.2026,"Cârța hc",9
"07.07.2026 22:34",07.07.2026,"Cârța hc",9
"07.07.2026 22:34",07.07.2026,"Cârța hc",9
"07.07.2026 22:34",07.07.2026,"Cârța hc",9
"07.07.2026 22:34",07.07.2026,"Cârța hc",9
"08.07.2026 22:35",08.07.2026,"Cârța hc",5
"08.07.2026 22:35",08.07.2026,"Cârța hc",5
"08.07.2026 22:35",08.07.2026,"Cârța hc",5
"08.07.2026 22:35",08.07.2026,"Cârța hc",5
"08.07.2026 22:35",08.07.2026,"Cârța hc",5
"09.07.2026 22:49",09.07.2026,"Cârța hc",16
"09.07.2026 22:49",09.07.2026,"Cârța hc",16
"09.07.2026 22:49",09.07.2026,"Cârța hc",16
"09.07.2026 22:49",09.07.2026,"Cârța hc",16
"09.07.2026 22:49",09.07.2026,"Cârța hc",16
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"10.07.2026 22:34",10.07.2026,"Cârța hc",21
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
"11.07.2026 22:02",11.07.2026,"Cârța hc",10
