currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:52",01.07.2026,"Călărași Nord",118
"01.07.2026 22:52",01.07.2026,"Călărași Nord",118
"01.07.2026 22:52",01.07.2026,"Călărași Nord",118
"01.07.2026 22:52",01.07.2026,"Călărași Nord",118
"01.07.2026 22:52",01.07.2026,"Călărași Nord",118
"02.07.2026 22:43",02.07.2026,"Călărași Nord",15
"02.07.2026 22:43",02.07.2026,"Călărași Nord",15
"02.07.2026 22:43",02.07.2026,"Călărași Nord",15
"02.07.2026 22:43",02.07.2026,"Călărași Nord",15
"02.07.2026 22:43",02.07.2026,"Călărași Nord",15
"03.07.2026 22:14",03.07.2026,"Călărași Nord",53
"03.07.2026 22:14",03.07.2026,"Călărași Nord",53
"03.07.2026 22:14",03.07.2026,"Călărași Nord",53
"03.07.2026 22:14",03.07.2026,"Călărași Nord",53
"03.07.2026 22:14",03.07.2026,"Călărași Nord",53
"04.07.2026 22:31",04.07.2026,"Călărași Nord",64
"04.07.2026 22:31",04.07.2026,"Călărași Nord",64
"04.07.2026 22:31",04.07.2026,"Călărași Nord",64
"04.07.2026 22:31",04.07.2026,"Călărași Nord",64
"04.07.2026 22:31",04.07.2026,"Călărași Nord",64
"05.07.2026 22:35",05.07.2026,"Călărași Nord",32
"05.07.2026 22:35",05.07.2026,"Călărași Nord",32
"05.07.2026 22:35",05.07.2026,"Călărași Nord",32
"05.07.2026 22:35",05.07.2026,"Călărași Nord",32
"06.07.2026 22:49",06.07.2026,"Călărași Nord",31
"06.07.2026 22:49",06.07.2026,"Călărași Nord",31
"06.07.2026 22:49",06.07.2026,"Călărași Nord",31
"06.07.2026 22:49",06.07.2026,"Călărași Nord",31
"06.07.2026 22:49",06.07.2026,"Călărași Nord",31
"07.07.2026 22:33",07.07.2026,"Călărași Nord",24
"07.07.2026 22:33",07.07.2026,"Călărași Nord",24
"07.07.2026 22:33",07.07.2026,"Călărași Nord",24
"07.07.2026 22:33",07.07.2026,"Călărași Nord",24
"07.07.2026 22:33",07.07.2026,"Călărași Nord",24
