currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:33",01.07.2026,"Ilva Mică",372
"01.07.2026 22:33",01.07.2026,"Ilva Mică",372
"01.07.2026 22:33",01.07.2026,"Ilva Mică",372
"01.07.2026 22:33",01.07.2026,"Ilva Mică",372
"01.07.2026 22:33",01.07.2026,"Ilva Mică",372
"02.07.2026 22:22",02.07.2026,"Ilva Mică",233
"02.07.2026 22:22",02.07.2026,"Ilva Mică",233
"02.07.2026 22:22",02.07.2026,"Ilva Mică",233
"02.07.2026 22:22",02.07.2026,"Ilva Mică",233
"02.07.2026 22:22",02.07.2026,"Ilva Mică",233
"03.07.2026 22:11",03.07.2026,"Ilva Mică",125
"03.07.2026 22:11",03.07.2026,"Ilva Mică",125
"03.07.2026 22:11",03.07.2026,"Ilva Mică",125
"03.07.2026 22:11",03.07.2026,"Ilva Mică",125
"03.07.2026 22:11",03.07.2026,"Ilva Mică",125
"04.07.2026 22:13",04.07.2026,"Ilva Mică",178
"04.07.2026 22:13",04.07.2026,"Ilva Mică",178
"04.07.2026 22:13",04.07.2026,"Ilva Mică",178
"04.07.2026 22:13",04.07.2026,"Ilva Mică",178
"04.07.2026 22:13",04.07.2026,"Ilva Mică",178
"05.07.2026 22:16",05.07.2026,"Ilva Mică",111
"05.07.2026 22:16",05.07.2026,"Ilva Mică",111
"05.07.2026 22:16",05.07.2026,"Ilva Mică",111
"05.07.2026 22:16",05.07.2026,"Ilva Mică",111
"06.07.2026 22:29",06.07.2026,"Ilva Mică",123
"06.07.2026 22:29",06.07.2026,"Ilva Mică",123
"06.07.2026 22:29",06.07.2026,"Ilva Mică",123
"06.07.2026 22:29",06.07.2026,"Ilva Mică",123
"06.07.2026 22:29",06.07.2026,"Ilva Mică",123
"07.07.2026 22:21",07.07.2026,"Ilva Mică",121
"07.07.2026 22:21",07.07.2026,"Ilva Mică",121
"07.07.2026 22:21",07.07.2026,"Ilva Mică",121
"07.07.2026 22:21",07.07.2026,"Ilva Mică",121
"07.07.2026 22:21",07.07.2026,"Ilva Mică",121
"08.07.2026 22:20",08.07.2026,"Ilva Mică",210
"08.07.2026 22:20",08.07.2026,"Ilva Mică",210
"08.07.2026 22:20",08.07.2026,"Ilva Mică",210
"08.07.2026 22:20",08.07.2026,"Ilva Mică",210
"08.07.2026 22:20",08.07.2026,"Ilva Mică",210
"09.07.2026 22:34",09.07.2026,"Ilva Mică",174
"09.07.2026 22:34",09.07.2026,"Ilva Mică",174
"09.07.2026 22:34",09.07.2026,"Ilva Mică",174
"09.07.2026 22:34",09.07.2026,"Ilva Mică",174
"09.07.2026 22:34",09.07.2026,"Ilva Mică",174
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"10.07.2026 22:18",10.07.2026,"Ilva Mică",159
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"11.07.2026 21:58",11.07.2026,"Ilva Mică",134
"12.07.2026 22:07",12.07.2026,"Ilva Mică",290
"12.07.2026 22:07",12.07.2026,"Ilva Mică",290
"12.07.2026 22:07",12.07.2026,"Ilva Mică",290
"12.07.2026 22:07",12.07.2026,"Ilva Mică",290
"12.07.2026 22:07",12.07.2026,"Ilva Mică",290
"13.07.2026 22:12",13.07.2026,"Ilva Mică",82
"13.07.2026 22:12",13.07.2026,"Ilva Mică",82
"13.07.2026 22:12",13.07.2026,"Ilva Mică",82
"13.07.2026 22:12",13.07.2026,"Ilva Mică",82
"13.07.2026 22:12",13.07.2026,"Ilva Mică",82
"14.07.2026 22:12",14.07.2026,"Ilva Mică",173
"14.07.2026 22:12",14.07.2026,"Ilva Mică",173
"14.07.2026 22:12",14.07.2026,"Ilva Mică",173
"14.07.2026 22:12",14.07.2026,"Ilva Mică",173
"14.07.2026 22:12",14.07.2026,"Ilva Mică",173
"15.07.2026 22:09",15.07.2026,"Ilva Mică",147
"15.07.2026 22:09",15.07.2026,"Ilva Mică",147
"15.07.2026 22:09",15.07.2026,"Ilva Mică",147
"15.07.2026 22:09",15.07.2026,"Ilva Mică",147
"15.07.2026 22:09",15.07.2026,"Ilva Mică",147
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"16.07.2026 22:17",16.07.2026,"Ilva Mică",211
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"17.07.2026 22:00",17.07.2026,"Ilva Mică",202
"18.07.2026 22:07",18.07.2026,"Ilva Mică",130
"18.07.2026 22:07",18.07.2026,"Ilva Mică",130
"18.07.2026 22:07",18.07.2026,"Ilva Mică",130
"18.07.2026 22:07",18.07.2026,"Ilva Mică",130
"18.07.2026 22:07",18.07.2026,"Ilva Mică",130
"19.07.2026 22:09",19.07.2026,"Ilva Mică",112
"19.07.2026 22:09",19.07.2026,"Ilva Mică",112
"19.07.2026 22:09",19.07.2026,"Ilva Mică",112
"19.07.2026 22:09",19.07.2026,"Ilva Mică",112
"19.07.2026 22:09",19.07.2026,"Ilva Mică",112
"20.07.2026 22:10",20.07.2026,"Ilva Mică",184
"20.07.2026 22:10",20.07.2026,"Ilva Mică",184
"20.07.2026 22:10",20.07.2026,"Ilva Mică",184
"20.07.2026 22:10",20.07.2026,"Ilva Mică",184
"20.07.2026 22:10",20.07.2026,"Ilva Mică",184
"21.07.2026 22:18",21.07.2026,"Ilva Mică",195
"21.07.2026 22:18",21.07.2026,"Ilva Mică",195
"21.07.2026 22:18",21.07.2026,"Ilva Mică",195
"21.07.2026 22:18",21.07.2026,"Ilva Mică",195
"21.07.2026 22:18",21.07.2026,"Ilva Mică",195
"22.07.2026 22:19",22.07.2026,"Ilva Mică",347
"22.07.2026 22:19",22.07.2026,"Ilva Mică",347
"22.07.2026 22:19",22.07.2026,"Ilva Mică",347
