currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:14",01.07.2026,"Movileni hc",40
"01.07.2026 23:14",01.07.2026,"Movileni hc",40
"01.07.2026 23:14",01.07.2026,"Movileni hc",40
"01.07.2026 23:14",01.07.2026,"Movileni hc",40
"01.07.2026 23:14",01.07.2026,"Movileni hc",40
"02.07.2026 23:05",02.07.2026,"Movileni hc",0
"02.07.2026 23:05",02.07.2026,"Movileni hc",0
"02.07.2026 23:05",02.07.2026,"Movileni hc",0
"02.07.2026 23:05",02.07.2026,"Movileni hc",0
"02.07.2026 23:05",02.07.2026,"Movileni hc",0
"03.07.2026 22:18",03.07.2026,"Movileni hc",4
"03.07.2026 22:18",03.07.2026,"Movileni hc",4
"03.07.2026 22:18",03.07.2026,"Movileni hc",4
"03.07.2026 22:18",03.07.2026,"Movileni hc",4
"03.07.2026 22:18",03.07.2026,"Movileni hc",4
"04.07.2026 22:52",04.07.2026,"Movileni hc",3
"04.07.2026 22:52",04.07.2026,"Movileni hc",3
"04.07.2026 22:52",04.07.2026,"Movileni hc",3
"04.07.2026 22:52",04.07.2026,"Movileni hc",3
"04.07.2026 22:52",04.07.2026,"Movileni hc",3
