currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:35",01.07.2026,"Parcul Krețulescu",119
"01.07.2026 22:35",01.07.2026,"Parcul Krețulescu",119
"01.07.2026 22:35",01.07.2026,"Parcul Krețulescu",119
"01.07.2026 22:35",01.07.2026,"Parcul Krețulescu",119
"01.07.2026 22:35",01.07.2026,"Parcul Krețulescu",119
"02.07.2026 22:24",02.07.2026,"Parcul Krețulescu",78
"02.07.2026 22:24",02.07.2026,"Parcul Krețulescu",78
"02.07.2026 22:24",02.07.2026,"Parcul Krețulescu",78
"02.07.2026 22:24",02.07.2026,"Parcul Krețulescu",78
"02.07.2026 22:24",02.07.2026,"Parcul Krețulescu",78
"03.07.2026 22:12",03.07.2026,"Parcul Krețulescu",66
"03.07.2026 22:12",03.07.2026,"Parcul Krețulescu",66
"03.07.2026 22:12",03.07.2026,"Parcul Krețulescu",66
"03.07.2026 22:12",03.07.2026,"Parcul Krețulescu",66
"03.07.2026 22:12",03.07.2026,"Parcul Krețulescu",66
"04.07.2026 22:15",04.07.2026,"Parcul Krețulescu",0
"04.07.2026 22:15",04.07.2026,"Parcul Krețulescu",0
"04.07.2026 22:15",04.07.2026,"Parcul Krețulescu",0
"04.07.2026 22:15",04.07.2026,"Parcul Krețulescu",0
"04.07.2026 22:15",04.07.2026,"Parcul Krețulescu",0
"05.07.2026 22:18",05.07.2026,"Parcul Krețulescu",55
"05.07.2026 22:18",05.07.2026,"Parcul Krețulescu",55
"05.07.2026 22:18",05.07.2026,"Parcul Krețulescu",55
"05.07.2026 22:18",05.07.2026,"Parcul Krețulescu",55
"06.07.2026 22:31",06.07.2026,"Parcul Krețulescu",104
"06.07.2026 22:31",06.07.2026,"Parcul Krețulescu",104
"06.07.2026 22:31",06.07.2026,"Parcul Krețulescu",104
"06.07.2026 22:31",06.07.2026,"Parcul Krețulescu",104
"06.07.2026 22:31",06.07.2026,"Parcul Krețulescu",104
"07.07.2026 22:22",07.07.2026,"Parcul Krețulescu",142
"07.07.2026 22:22",07.07.2026,"Parcul Krețulescu",142
"07.07.2026 22:22",07.07.2026,"Parcul Krețulescu",142
"07.07.2026 22:22",07.07.2026,"Parcul Krețulescu",142
"07.07.2026 22:22",07.07.2026,"Parcul Krețulescu",142
"08.07.2026 22:22",08.07.2026,"Parcul Krețulescu",101
"08.07.2026 22:22",08.07.2026,"Parcul Krețulescu",101
"08.07.2026 22:22",08.07.2026,"Parcul Krețulescu",101
"08.07.2026 22:22",08.07.2026,"Parcul Krețulescu",101
"08.07.2026 22:22",08.07.2026,"Parcul Krețulescu",101
"09.07.2026 22:35",09.07.2026,"Parcul Krețulescu",83
"09.07.2026 22:35",09.07.2026,"Parcul Krețulescu",83
"09.07.2026 22:35",09.07.2026,"Parcul Krețulescu",83
"09.07.2026 22:35",09.07.2026,"Parcul Krețulescu",83
"09.07.2026 22:35",09.07.2026,"Parcul Krețulescu",83
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"10.07.2026 22:20",10.07.2026,"Parcul Krețulescu",99
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"11.07.2026 21:59",11.07.2026,"Parcul Krețulescu",0
"12.07.2026 22:08",12.07.2026,"Parcul Krețulescu",66
"12.07.2026 22:08",12.07.2026,"Parcul Krețulescu",66
"12.07.2026 22:08",12.07.2026,"Parcul Krețulescu",66
"12.07.2026 22:08",12.07.2026,"Parcul Krețulescu",66
"12.07.2026 22:08",12.07.2026,"Parcul Krețulescu",66
"13.07.2026 22:14",13.07.2026,"Parcul Krețulescu",61
"13.07.2026 22:14",13.07.2026,"Parcul Krețulescu",61
"13.07.2026 22:14",13.07.2026,"Parcul Krețulescu",61
"13.07.2026 22:14",13.07.2026,"Parcul Krețulescu",61
"13.07.2026 22:14",13.07.2026,"Parcul Krețulescu",61
"14.07.2026 22:14",14.07.2026,"Parcul Krețulescu",82
"14.07.2026 22:14",14.07.2026,"Parcul Krețulescu",82
"14.07.2026 22:14",14.07.2026,"Parcul Krețulescu",82
"14.07.2026 22:14",14.07.2026,"Parcul Krețulescu",82
