currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:17",01.07.2026,"Parângu Hm",42
"01.07.2026 23:17",01.07.2026,"Parângu Hm",42
"01.07.2026 23:17",01.07.2026,"Parângu Hm",42
"01.07.2026 23:17",01.07.2026,"Parângu Hm",42
"01.07.2026 23:17",01.07.2026,"Parângu Hm",42
"02.07.2026 23:08",02.07.2026,"Parângu Hm",39
"02.07.2026 23:08",02.07.2026,"Parângu Hm",39
"02.07.2026 23:08",02.07.2026,"Parângu Hm",39
"02.07.2026 23:08",02.07.2026,"Parângu Hm",39
"02.07.2026 23:08",02.07.2026,"Parângu Hm",39
"03.07.2026 22:19",03.07.2026,"Parângu Hm",24
"03.07.2026 22:19",03.07.2026,"Parângu Hm",24
"03.07.2026 22:19",03.07.2026,"Parângu Hm",24
"03.07.2026 22:19",03.07.2026,"Parângu Hm",24
"03.07.2026 22:19",03.07.2026,"Parângu Hm",24
"04.07.2026 22:55",04.07.2026,"Parângu Hm",0
"04.07.2026 22:55",04.07.2026,"Parângu Hm",0
"04.07.2026 22:55",04.07.2026,"Parângu Hm",0
"04.07.2026 22:55",04.07.2026,"Parângu Hm",0
"04.07.2026 22:55",04.07.2026,"Parângu Hm",0
"05.07.2026 22:58",05.07.2026,"Parângu Hm",4
"05.07.2026 22:58",05.07.2026,"Parângu Hm",4
"05.07.2026 22:58",05.07.2026,"Parângu Hm",4
"05.07.2026 22:58",05.07.2026,"Parângu Hm",4
"06.07.2026 23:16",06.07.2026,"Parângu Hm",22
"06.07.2026 23:16",06.07.2026,"Parângu Hm",22
"06.07.2026 23:16",06.07.2026,"Parângu Hm",22
"06.07.2026 23:16",06.07.2026,"Parângu Hm",22
"06.07.2026 23:16",06.07.2026,"Parângu Hm",22
"07.07.2026 22:48",07.07.2026,"Parângu Hm",32
"07.07.2026 22:48",07.07.2026,"Parângu Hm",32
"07.07.2026 22:48",07.07.2026,"Parângu Hm",32
"07.07.2026 22:48",07.07.2026,"Parângu Hm",32
"07.07.2026 22:48",07.07.2026,"Parângu Hm",32
"08.07.2026 22:51",08.07.2026,"Parângu Hm",6
"08.07.2026 22:51",08.07.2026,"Parângu Hm",6
"08.07.2026 22:51",08.07.2026,"Parângu Hm",6
"08.07.2026 22:51",08.07.2026,"Parângu Hm",6
"08.07.2026 22:51",08.07.2026,"Parângu Hm",6
"09.07.2026 23:08",09.07.2026,"Parângu Hm",327
"09.07.2026 23:08",09.07.2026,"Parângu Hm",327
"09.07.2026 23:08",09.07.2026,"Parângu Hm",327
"09.07.2026 23:08",09.07.2026,"Parângu Hm",327
"09.07.2026 23:08",09.07.2026,"Parângu Hm",327
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"10.07.2026 22:53",10.07.2026,"Parângu Hm",28
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"11.07.2026 22:06",11.07.2026,"Parângu Hm",0
"12.07.2026 22:52",12.07.2026,"Parângu Hm",6
"12.07.2026 22:52",12.07.2026,"Parângu Hm",6
"12.07.2026 22:52",12.07.2026,"Parângu Hm",6
"12.07.2026 22:52",12.07.2026,"Parângu Hm",6
"12.07.2026 22:52",12.07.2026,"Parângu Hm",6
"13.07.2026 23:00",13.07.2026,"Parângu Hm",2
"13.07.2026 23:00",13.07.2026,"Parângu Hm",2
"13.07.2026 23:00",13.07.2026,"Parângu Hm",2
"13.07.2026 23:00",13.07.2026,"Parângu Hm",2
"13.07.2026 23:00",13.07.2026,"Parângu Hm",2
"14.07.2026 22:54",14.07.2026,"Parângu Hm",39
"14.07.2026 22:54",14.07.2026,"Parângu Hm",39
"14.07.2026 22:54",14.07.2026,"Parângu Hm",39
"14.07.2026 22:54",14.07.2026,"Parângu Hm",39
"14.07.2026 22:54",14.07.2026,"Parângu Hm",39
"15.07.2026 22:16",15.07.2026,"Parângu Hm",6
"15.07.2026 22:16",15.07.2026,"Parângu Hm",6
"15.07.2026 22:16",15.07.2026,"Parângu Hm",6
"15.07.2026 22:16",15.07.2026,"Parângu Hm",6
"15.07.2026 22:16",15.07.2026,"Parângu Hm",6
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"16.07.2026 23:03",16.07.2026,"Parângu Hm",22
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"17.07.2026 22:10",17.07.2026,"Parângu Hm",15
"18.07.2026 22:48",18.07.2026,"Parângu Hm",0
"18.07.2026 22:48",18.07.2026,"Parângu Hm",0
"18.07.2026 22:48",18.07.2026,"Parângu Hm",0
"18.07.2026 22:48",18.07.2026,"Parângu Hm",0
"18.07.2026 22:48",18.07.2026,"Parângu Hm",0
"19.07.2026 22:53",19.07.2026,"Parângu Hm",32
"19.07.2026 22:53",19.07.2026,"Parângu Hm",32
"19.07.2026 22:53",19.07.2026,"Parângu Hm",32
"19.07.2026 22:53",19.07.2026,"Parângu Hm",32
"19.07.2026 22:53",19.07.2026,"Parângu Hm",32
"20.07.2026 22:38",20.07.2026,"Parângu Hm",20
"20.07.2026 22:38",20.07.2026,"Parângu Hm",20
"20.07.2026 22:38",20.07.2026,"Parângu Hm",20
"20.07.2026 22:38",20.07.2026,"Parângu Hm",20
"20.07.2026 22:38",20.07.2026,"Parângu Hm",20
"21.07.2026 23:04",21.07.2026,"Parângu Hm",10
"21.07.2026 23:04",21.07.2026,"Parângu Hm",10
"21.07.2026 23:04",21.07.2026,"Parângu Hm",10
