currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:21",01.07.2026,"Podu Ulmi h",25
"01.07.2026 23:21",01.07.2026,"Podu Ulmi h",25
"01.07.2026 23:21",01.07.2026,"Podu Ulmi h",25
"01.07.2026 23:21",01.07.2026,"Podu Ulmi h",25
"01.07.2026 23:21",01.07.2026,"Podu Ulmi h",25
"02.07.2026 23:11",02.07.2026,"Podu Ulmi h",6
"02.07.2026 23:11",02.07.2026,"Podu Ulmi h",6
"02.07.2026 23:11",02.07.2026,"Podu Ulmi h",6
"02.07.2026 23:11",02.07.2026,"Podu Ulmi h",6
"02.07.2026 23:11",02.07.2026,"Podu Ulmi h",6
"03.07.2026 22:19",03.07.2026,"Podu Ulmi h",23
"03.07.2026 22:19",03.07.2026,"Podu Ulmi h",23
"03.07.2026 22:19",03.07.2026,"Podu Ulmi h",23
"03.07.2026 22:19",03.07.2026,"Podu Ulmi h",23
"03.07.2026 22:19",03.07.2026,"Podu Ulmi h",23
"04.07.2026 22:58",04.07.2026,"Podu Ulmi h",20
"04.07.2026 22:58",04.07.2026,"Podu Ulmi h",20
"04.07.2026 22:58",04.07.2026,"Podu Ulmi h",20
"04.07.2026 22:58",04.07.2026,"Podu Ulmi h",20
"04.07.2026 22:58",04.07.2026,"Podu Ulmi h",20
"05.07.2026 23:01",05.07.2026,"Podu Ulmi h",7
"05.07.2026 23:01",05.07.2026,"Podu Ulmi h",7
"05.07.2026 23:01",05.07.2026,"Podu Ulmi h",7
"05.07.2026 23:01",05.07.2026,"Podu Ulmi h",7
"06.07.2026 23:20",06.07.2026,"Podu Ulmi h",0
"06.07.2026 23:20",06.07.2026,"Podu Ulmi h",0
"06.07.2026 23:20",06.07.2026,"Podu Ulmi h",0
"06.07.2026 23:20",06.07.2026,"Podu Ulmi h",0
"06.07.2026 23:20",06.07.2026,"Podu Ulmi h",0
"07.07.2026 22:50",07.07.2026,"Podu Ulmi h",90
"07.07.2026 22:50",07.07.2026,"Podu Ulmi h",90
"07.07.2026 22:50",07.07.2026,"Podu Ulmi h",90
"07.07.2026 22:50",07.07.2026,"Podu Ulmi h",90
"07.07.2026 22:50",07.07.2026,"Podu Ulmi h",90
"08.07.2026 22:53",08.07.2026,"Podu Ulmi h",12
"08.07.2026 22:53",08.07.2026,"Podu Ulmi h",12
"08.07.2026 22:53",08.07.2026,"Podu Ulmi h",12
"08.07.2026 22:53",08.07.2026,"Podu Ulmi h",12
"08.07.2026 22:53",08.07.2026,"Podu Ulmi h",12
"09.07.2026 23:10",09.07.2026,"Podu Ulmi h",13
"09.07.2026 23:10",09.07.2026,"Podu Ulmi h",13
"09.07.2026 23:10",09.07.2026,"Podu Ulmi h",13
"09.07.2026 23:10",09.07.2026,"Podu Ulmi h",13
"09.07.2026 23:10",09.07.2026,"Podu Ulmi h",13
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"10.07.2026 22:56",10.07.2026,"Podu Ulmi h",10
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"11.07.2026 22:07",11.07.2026,"Podu Ulmi h",5
"12.07.2026 22:55",12.07.2026,"Podu Ulmi h",97
"12.07.2026 22:55",12.07.2026,"Podu Ulmi h",97
"12.07.2026 22:55",12.07.2026,"Podu Ulmi h",97
"12.07.2026 22:55",12.07.2026,"Podu Ulmi h",97
"12.07.2026 22:55",12.07.2026,"Podu Ulmi h",97
"13.07.2026 23:04",13.07.2026,"Podu Ulmi h",7
"13.07.2026 23:04",13.07.2026,"Podu Ulmi h",7
"13.07.2026 23:04",13.07.2026,"Podu Ulmi h",7
"13.07.2026 23:04",13.07.2026,"Podu Ulmi h",7
"13.07.2026 23:04",13.07.2026,"Podu Ulmi h",7
"14.07.2026 22:57",14.07.2026,"Podu Ulmi h",0
"14.07.2026 22:57",14.07.2026,"Podu Ulmi h",0
"14.07.2026 22:57",14.07.2026,"Podu Ulmi h",0
"14.07.2026 22:57",14.07.2026,"Podu Ulmi h",0
"14.07.2026 22:57",14.07.2026,"Podu Ulmi h",0
"15.07.2026 22:17",15.07.2026,"Podu Ulmi h",0
"15.07.2026 22:17",15.07.2026,"Podu Ulmi h",0
"15.07.2026 22:17",15.07.2026,"Podu Ulmi h",0
"15.07.2026 22:17",15.07.2026,"Podu Ulmi h",0
"15.07.2026 22:17",15.07.2026,"Podu Ulmi h",0
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"16.07.2026 23:06",16.07.2026,"Podu Ulmi h",9
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
"17.07.2026 22:11",17.07.2026,"Podu Ulmi h",13
