currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:22",01.07.2026,"Racova Hm",63
"01.07.2026 23:22",01.07.2026,"Racova Hm",63
"01.07.2026 23:22",01.07.2026,"Racova Hm",63
"01.07.2026 23:22",01.07.2026,"Racova Hm",63
"01.07.2026 23:22",01.07.2026,"Racova Hm",63
"02.07.2026 23:13",02.07.2026,"Racova Hm",38
"02.07.2026 23:13",02.07.2026,"Racova Hm",38
"02.07.2026 23:13",02.07.2026,"Racova Hm",38
"02.07.2026 23:13",02.07.2026,"Racova Hm",38
"02.07.2026 23:13",02.07.2026,"Racova Hm",38
"03.07.2026 22:20",03.07.2026,"Racova Hm",16
"03.07.2026 22:20",03.07.2026,"Racova Hm",16
