currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:37",01.07.2026,"Roșiori Nord",4062
"01.07.2026 22:37",01.07.2026,"Roșiori Nord",4062
"01.07.2026 22:37",01.07.2026,"Roșiori Nord",4062
"01.07.2026 22:37",01.07.2026,"Roșiori Nord",4062
"01.07.2026 22:37",01.07.2026,"Roșiori Nord",4062
"02.07.2026 22:27",02.07.2026,"Roșiori Nord",1957
"02.07.2026 22:27",02.07.2026,"Roșiori Nord",1957
"02.07.2026 22:27",02.07.2026,"Roșiori Nord",1957
"02.07.2026 22:27",02.07.2026,"Roșiori Nord",1957
"02.07.2026 22:27",02.07.2026,"Roșiori Nord",1957
"03.07.2026 22:12",03.07.2026,"Roșiori Nord",1568
"03.07.2026 22:12",03.07.2026,"Roșiori Nord",1568
"03.07.2026 22:12",03.07.2026,"Roșiori Nord",1568
"03.07.2026 22:12",03.07.2026,"Roșiori Nord",1568
"03.07.2026 22:12",03.07.2026,"Roșiori Nord",1568
"04.07.2026 22:17",04.07.2026,"Roșiori Nord",1610
"04.07.2026 22:17",04.07.2026,"Roșiori Nord",1610
"04.07.2026 22:17",04.07.2026,"Roșiori Nord",1610
"04.07.2026 22:17",04.07.2026,"Roșiori Nord",1610
"04.07.2026 22:17",04.07.2026,"Roșiori Nord",1610
"05.07.2026 22:20",05.07.2026,"Roșiori Nord",1303
"05.07.2026 22:20",05.07.2026,"Roșiori Nord",1303
"05.07.2026 22:20",05.07.2026,"Roșiori Nord",1303
"05.07.2026 22:20",05.07.2026,"Roșiori Nord",1303
"06.07.2026 22:33",06.07.2026,"Roșiori Nord",1597
"06.07.2026 22:33",06.07.2026,"Roșiori Nord",1597
"06.07.2026 22:33",06.07.2026,"Roșiori Nord",1597
"06.07.2026 22:33",06.07.2026,"Roșiori Nord",1597
"06.07.2026 22:33",06.07.2026,"Roșiori Nord",1597
"07.07.2026 22:23",07.07.2026,"Roșiori Nord",1762
"07.07.2026 22:23",07.07.2026,"Roșiori Nord",1762
"07.07.2026 22:23",07.07.2026,"Roșiori Nord",1762
"07.07.2026 22:23",07.07.2026,"Roșiori Nord",1762
"07.07.2026 22:23",07.07.2026,"Roșiori Nord",1762
"08.07.2026 22:23",08.07.2026,"Roșiori Nord",1452
"08.07.2026 22:23",08.07.2026,"Roșiori Nord",1452
"08.07.2026 22:23",08.07.2026,"Roșiori Nord",1452
"08.07.2026 22:23",08.07.2026,"Roșiori Nord",1452
"08.07.2026 22:23",08.07.2026,"Roșiori Nord",1452
"09.07.2026 22:37",09.07.2026,"Roșiori Nord",1532
"09.07.2026 22:37",09.07.2026,"Roșiori Nord",1532
"09.07.2026 22:37",09.07.2026,"Roșiori Nord",1532
"09.07.2026 22:37",09.07.2026,"Roșiori Nord",1532
"09.07.2026 22:37",09.07.2026,"Roșiori Nord",1532
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"10.07.2026 22:21",10.07.2026,"Roșiori Nord",1528
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"11.07.2026 21:59",11.07.2026,"Roșiori Nord",1570
"12.07.2026 22:11",12.07.2026,"Roșiori Nord",1339
"12.07.2026 22:11",12.07.2026,"Roșiori Nord",1339
"12.07.2026 22:11",12.07.2026,"Roșiori Nord",1339
"12.07.2026 22:11",12.07.2026,"Roșiori Nord",1339
"12.07.2026 22:11",12.07.2026,"Roșiori Nord",1339
"13.07.2026 22:16",13.07.2026,"Roșiori Nord",1361
"13.07.2026 22:16",13.07.2026,"Roșiori Nord",1361
"13.07.2026 22:16",13.07.2026,"Roșiori Nord",1361
"13.07.2026 22:16",13.07.2026,"Roșiori Nord",1361
"13.07.2026 22:16",13.07.2026,"Roșiori Nord",1361
"14.07.2026 22:15",14.07.2026,"Roșiori Nord",1165
"14.07.2026 22:15",14.07.2026,"Roșiori Nord",1165
"14.07.2026 22:15",14.07.2026,"Roșiori Nord",1165
"14.07.2026 22:15",14.07.2026,"Roșiori Nord",1165
"14.07.2026 22:15",14.07.2026,"Roșiori Nord",1165
"15.07.2026 22:09",15.07.2026,"Roșiori Nord",1152
"15.07.2026 22:09",15.07.2026,"Roșiori Nord",1152
"15.07.2026 22:09",15.07.2026,"Roșiori Nord",1152
"15.07.2026 22:09",15.07.2026,"Roșiori Nord",1152
"15.07.2026 22:09",15.07.2026,"Roșiori Nord",1152
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"16.07.2026 22:22",16.07.2026,"Roșiori Nord",1189
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"17.07.2026 22:01",17.07.2026,"Roșiori Nord",1300
"18.07.2026 22:11",18.07.2026,"Roșiori Nord",1051
"18.07.2026 22:11",18.07.2026,"Roșiori Nord",1051
"18.07.2026 22:11",18.07.2026,"Roșiori Nord",1051
