currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:25",01.07.2026,"Rușor hc",18
"01.07.2026 23:25",01.07.2026,"Rușor hc",18
"01.07.2026 23:25",01.07.2026,"Rușor hc",18
"01.07.2026 23:25",01.07.2026,"Rușor hc",18
"01.07.2026 23:25",01.07.2026,"Rușor hc",18
"02.07.2026 23:16",02.07.2026,"Rușor hc",8
"02.07.2026 23:16",02.07.2026,"Rușor hc",8
"02.07.2026 23:16",02.07.2026,"Rușor hc",8
"02.07.2026 23:16",02.07.2026,"Rușor hc",8
"02.07.2026 23:16",02.07.2026,"Rușor hc",8
"03.07.2026 22:20",03.07.2026,"Rușor hc",0
"03.07.2026 22:20",03.07.2026,"Rușor hc",0
"03.07.2026 22:20",03.07.2026,"Rușor hc",0
"03.07.2026 22:20",03.07.2026,"Rușor hc",0
"03.07.2026 22:20",03.07.2026,"Rușor hc",0
"04.07.2026 23:03",04.07.2026,"Rușor hc",9
"04.07.2026 23:03",04.07.2026,"Rușor hc",9
"04.07.2026 23:03",04.07.2026,"Rușor hc",9
"04.07.2026 23:03",04.07.2026,"Rușor hc",9
"04.07.2026 23:03",04.07.2026,"Rușor hc",9
"05.07.2026 23:06",05.07.2026,"Rușor hc",61
"05.07.2026 23:06",05.07.2026,"Rușor hc",61
"05.07.2026 23:06",05.07.2026,"Rușor hc",61
"05.07.2026 23:06",05.07.2026,"Rușor hc",61
"06.07.2026 23:25",06.07.2026,"Rușor hc",0
"06.07.2026 23:25",06.07.2026,"Rușor hc",0
"06.07.2026 23:25",06.07.2026,"Rușor hc",0
"06.07.2026 23:25",06.07.2026,"Rușor hc",0
"06.07.2026 23:25",06.07.2026,"Rușor hc",0
"07.07.2026 22:53",07.07.2026,"Rușor hc",2
"07.07.2026 22:53",07.07.2026,"Rușor hc",2
"07.07.2026 22:53",07.07.2026,"Rușor hc",2
"07.07.2026 22:53",07.07.2026,"Rușor hc",2
"07.07.2026 22:53",07.07.2026,"Rușor hc",2
"08.07.2026 22:56",08.07.2026,"Rușor hc",7
"08.07.2026 22:56",08.07.2026,"Rușor hc",7
"08.07.2026 22:56",08.07.2026,"Rușor hc",7
"08.07.2026 22:56",08.07.2026,"Rușor hc",7
"08.07.2026 22:56",08.07.2026,"Rușor hc",7
"09.07.2026 23:13",09.07.2026,"Rușor hc",3
"09.07.2026 23:13",09.07.2026,"Rușor hc",3
"09.07.2026 23:13",09.07.2026,"Rușor hc",3
"09.07.2026 23:13",09.07.2026,"Rușor hc",3
"09.07.2026 23:13",09.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"10.07.2026 23:00",10.07.2026,"Rușor hc",3
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"11.07.2026 22:08",11.07.2026,"Rușor hc",0
"12.07.2026 23:00",12.07.2026,"Rușor hc",3
"12.07.2026 23:00",12.07.2026,"Rușor hc",3
"12.07.2026 23:00",12.07.2026,"Rușor hc",3
"12.07.2026 23:00",12.07.2026,"Rușor hc",3
"12.07.2026 23:00",12.07.2026,"Rușor hc",3
"13.07.2026 23:09",13.07.2026,"Rușor hc",12
"13.07.2026 23:09",13.07.2026,"Rușor hc",12
"13.07.2026 23:09",13.07.2026,"Rușor hc",12
"13.07.2026 23:09",13.07.2026,"Rușor hc",12
"13.07.2026 23:09",13.07.2026,"Rușor hc",12
"14.07.2026 23:02",14.07.2026,"Rușor hc",14
"14.07.2026 23:02",14.07.2026,"Rușor hc",14
"14.07.2026 23:02",14.07.2026,"Rușor hc",14
"14.07.2026 23:02",14.07.2026,"Rușor hc",14
"14.07.2026 23:02",14.07.2026,"Rușor hc",14
"15.07.2026 22:17",15.07.2026,"Rușor hc",2
"15.07.2026 22:17",15.07.2026,"Rușor hc",2
"15.07.2026 22:17",15.07.2026,"Rușor hc",2
"15.07.2026 22:17",15.07.2026,"Rușor hc",2
"15.07.2026 22:17",15.07.2026,"Rușor hc",2
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"16.07.2026 23:11",16.07.2026,"Rușor hc",18
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"17.07.2026 22:11",17.07.2026,"Rușor hc",11
"18.07.2026 22:56",18.07.2026,"Rușor hc",6
"18.07.2026 22:56",18.07.2026,"Rușor hc",6
"18.07.2026 22:56",18.07.2026,"Rușor hc",6
"18.07.2026 22:56",18.07.2026,"Rușor hc",6
"18.07.2026 22:56",18.07.2026,"Rușor hc",6
