currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:28",01.07.2026,"Scroviștea hc",1780
"01.07.2026 23:28",01.07.2026,"Scroviștea hc",1780
"01.07.2026 23:28",01.07.2026,"Scroviștea hc",1780
"01.07.2026 23:28",01.07.2026,"Scroviștea hc",1780
"01.07.2026 23:28",01.07.2026,"Scroviștea hc",1780
"02.07.2026 23:19",02.07.2026,"Scroviștea hc",610
"02.07.2026 23:19",02.07.2026,"Scroviștea hc",610
"02.07.2026 23:19",02.07.2026,"Scroviștea hc",610
"02.07.2026 23:19",02.07.2026,"Scroviștea hc",610
"02.07.2026 23:19",02.07.2026,"Scroviștea hc",610
"03.07.2026 22:21",03.07.2026,"Scroviștea hc",366
"03.07.2026 22:21",03.07.2026,"Scroviștea hc",366
"03.07.2026 22:21",03.07.2026,"Scroviștea hc",366
"03.07.2026 22:21",03.07.2026,"Scroviștea hc",366
"03.07.2026 22:21",03.07.2026,"Scroviștea hc",366
"04.07.2026 23:05",04.07.2026,"Scroviștea hc",259
"04.07.2026 23:05",04.07.2026,"Scroviștea hc",259
"04.07.2026 23:05",04.07.2026,"Scroviștea hc",259
"04.07.2026 23:05",04.07.2026,"Scroviștea hc",259
"04.07.2026 23:05",04.07.2026,"Scroviștea hc",259
"05.07.2026 23:08",05.07.2026,"Scroviștea hc",326
"05.07.2026 23:08",05.07.2026,"Scroviștea hc",326
"05.07.2026 23:08",05.07.2026,"Scroviștea hc",326
"05.07.2026 23:08",05.07.2026,"Scroviștea hc",326
"06.07.2026 23:28",06.07.2026,"Scroviștea hc",227
"06.07.2026 23:28",06.07.2026,"Scroviștea hc",227
"06.07.2026 23:28",06.07.2026,"Scroviștea hc",227
"06.07.2026 23:28",06.07.2026,"Scroviștea hc",227
"06.07.2026 23:28",06.07.2026,"Scroviștea hc",227
"07.07.2026 22:54",07.07.2026,"Scroviștea hc",421
"07.07.2026 22:54",07.07.2026,"Scroviștea hc",421
"07.07.2026 22:54",07.07.2026,"Scroviștea hc",421
"07.07.2026 22:54",07.07.2026,"Scroviștea hc",421
"07.07.2026 22:54",07.07.2026,"Scroviștea hc",421
"08.07.2026 22:58",08.07.2026,"Scroviștea hc",395
"08.07.2026 22:58",08.07.2026,"Scroviștea hc",395
"08.07.2026 22:58",08.07.2026,"Scroviștea hc",395
"08.07.2026 22:58",08.07.2026,"Scroviștea hc",395
"08.07.2026 22:58",08.07.2026,"Scroviștea hc",395
"09.07.2026 23:15",09.07.2026,"Scroviștea hc",276
"09.07.2026 23:15",09.07.2026,"Scroviștea hc",276
"09.07.2026 23:15",09.07.2026,"Scroviștea hc",276
"09.07.2026 23:15",09.07.2026,"Scroviștea hc",276
"09.07.2026 23:15",09.07.2026,"Scroviștea hc",276
"10.07.2026 23:02",10.07.2026,"Scroviștea hc",853
"10.07.2026 23:02",10.07.2026,"Scroviștea hc",853
"10.07.2026 23:02",10.07.2026,"Scroviștea hc",853
