currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:28",01.07.2026,"Sântoma h",17
"01.07.2026 23:28",01.07.2026,"Sântoma h",17
"01.07.2026 23:28",01.07.2026,"Sântoma h",17
"01.07.2026 23:28",01.07.2026,"Sântoma h",17
"01.07.2026 23:28",01.07.2026,"Sântoma h",17
"02.07.2026 23:18",02.07.2026,"Sântoma h",20
"02.07.2026 23:18",02.07.2026,"Sântoma h",20
"02.07.2026 23:18",02.07.2026,"Sântoma h",20
"02.07.2026 23:18",02.07.2026,"Sântoma h",20
"02.07.2026 23:18",02.07.2026,"Sântoma h",20
"03.07.2026 22:21",03.07.2026,"Sântoma h",108
"03.07.2026 22:21",03.07.2026,"Sântoma h",108
"03.07.2026 22:21",03.07.2026,"Sântoma h",108
"03.07.2026 22:21",03.07.2026,"Sântoma h",108
"03.07.2026 22:21",03.07.2026,"Sântoma h",108
"04.07.2026 23:05",04.07.2026,"Sântoma h",78
"04.07.2026 23:05",04.07.2026,"Sântoma h",78
"04.07.2026 23:05",04.07.2026,"Sântoma h",78
"04.07.2026 23:05",04.07.2026,"Sântoma h",78
"04.07.2026 23:05",04.07.2026,"Sântoma h",78
"05.07.2026 23:08",05.07.2026,"Sântoma h",80
"05.07.2026 23:08",05.07.2026,"Sântoma h",80
"05.07.2026 23:08",05.07.2026,"Sântoma h",80
"05.07.2026 23:08",05.07.2026,"Sântoma h",80
"06.07.2026 23:28",06.07.2026,"Sântoma h",82
"06.07.2026 23:28",06.07.2026,"Sântoma h",82
"06.07.2026 23:28",06.07.2026,"Sântoma h",82
"06.07.2026 23:28",06.07.2026,"Sântoma h",82
"06.07.2026 23:28",06.07.2026,"Sântoma h",82
"07.07.2026 22:54",07.07.2026,"Sântoma h",54
"07.07.2026 22:54",07.07.2026,"Sântoma h",54
"07.07.2026 22:54",07.07.2026,"Sântoma h",54
"07.07.2026 22:54",07.07.2026,"Sântoma h",54
"07.07.2026 22:54",07.07.2026,"Sântoma h",54
"08.07.2026 22:58",08.07.2026,"Sântoma h",52
"08.07.2026 22:58",08.07.2026,"Sântoma h",52
"08.07.2026 22:58",08.07.2026,"Sântoma h",52
"08.07.2026 22:58",08.07.2026,"Sântoma h",52
"08.07.2026 22:58",08.07.2026,"Sântoma h",52
"09.07.2026 23:15",09.07.2026,"Sântoma h",50
"09.07.2026 23:15",09.07.2026,"Sântoma h",50
"09.07.2026 23:15",09.07.2026,"Sântoma h",50
"09.07.2026 23:15",09.07.2026,"Sântoma h",50
"09.07.2026 23:15",09.07.2026,"Sântoma h",50
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"10.07.2026 23:01",10.07.2026,"Sântoma h",70
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"11.07.2026 22:08",11.07.2026,"Sântoma h",56
"12.07.2026 23:02",12.07.2026,"Sântoma h",50
"12.07.2026 23:02",12.07.2026,"Sântoma h",50
"12.07.2026 23:02",12.07.2026,"Sântoma h",50
"12.07.2026 23:02",12.07.2026,"Sântoma h",50
"12.07.2026 23:02",12.07.2026,"Sântoma h",50
"13.07.2026 23:12",13.07.2026,"Sântoma h",34
"13.07.2026 23:12",13.07.2026,"Sântoma h",34
"13.07.2026 23:12",13.07.2026,"Sântoma h",34
"13.07.2026 23:12",13.07.2026,"Sântoma h",34
"13.07.2026 23:12",13.07.2026,"Sântoma h",34
"14.07.2026 23:05",14.07.2026,"Sântoma h",39
"14.07.2026 23:05",14.07.2026,"Sântoma h",39
"14.07.2026 23:05",14.07.2026,"Sântoma h",39
"14.07.2026 23:05",14.07.2026,"Sântoma h",39
"14.07.2026 23:05",14.07.2026,"Sântoma h",39
"15.07.2026 22:18",15.07.2026,"Sântoma h",73
"15.07.2026 22:18",15.07.2026,"Sântoma h",73
"15.07.2026 22:18",15.07.2026,"Sântoma h",73
"15.07.2026 22:18",15.07.2026,"Sântoma h",73
"15.07.2026 22:18",15.07.2026,"Sântoma h",73
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"16.07.2026 23:13",16.07.2026,"Sântoma h",80
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"17.07.2026 22:12",17.07.2026,"Sântoma h",57
"18.07.2026 22:59",18.07.2026,"Sântoma h",50
"18.07.2026 22:59",18.07.2026,"Sântoma h",50
"18.07.2026 22:59",18.07.2026,"Sântoma h",50
"18.07.2026 22:59",18.07.2026,"Sântoma h",50
"18.07.2026 22:59",18.07.2026,"Sântoma h",50
"19.07.2026 23:04",19.07.2026,"Sântoma h",46
"19.07.2026 23:04",19.07.2026,"Sântoma h",46
"19.07.2026 23:04",19.07.2026,"Sântoma h",46
"19.07.2026 23:04",19.07.2026,"Sântoma h",46
"19.07.2026 23:04",19.07.2026,"Sântoma h",46
"20.07.2026 22:44",20.07.2026,"Sântoma h",89
"20.07.2026 22:44",20.07.2026,"Sântoma h",89
"20.07.2026 22:44",20.07.2026,"Sântoma h",89
"20.07.2026 22:44",20.07.2026,"Sântoma h",89
"20.07.2026 22:44",20.07.2026,"Sântoma h",89
"21.07.2026 23:15",21.07.2026,"Sântoma h",43
"21.07.2026 23:15",21.07.2026,"Sântoma h",43
