currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:27",01.07.2026,"Săvinești hc",73
"01.07.2026 23:27",01.07.2026,"Săvinești hc",73
"01.07.2026 23:27",01.07.2026,"Săvinești hc",73
"01.07.2026 23:27",01.07.2026,"Săvinești hc",73
"01.07.2026 23:27",01.07.2026,"Săvinești hc",73
"02.07.2026 23:18",02.07.2026,"Săvinești hc",17
"02.07.2026 23:18",02.07.2026,"Săvinești hc",17
"02.07.2026 23:18",02.07.2026,"Săvinești hc",17
"02.07.2026 23:18",02.07.2026,"Săvinești hc",17
"02.07.2026 23:18",02.07.2026,"Săvinești hc",17
"03.07.2026 22:21",03.07.2026,"Săvinești hc",16
"03.07.2026 22:21",03.07.2026,"Săvinești hc",16
"03.07.2026 22:21",03.07.2026,"Săvinești hc",16
"03.07.2026 22:21",03.07.2026,"Săvinești hc",16
"03.07.2026 22:21",03.07.2026,"Săvinești hc",16
"04.07.2026 23:04",04.07.2026,"Săvinești hc",45
"04.07.2026 23:04",04.07.2026,"Săvinești hc",45
"04.07.2026 23:04",04.07.2026,"Săvinești hc",45
"04.07.2026 23:04",04.07.2026,"Săvinești hc",45
"04.07.2026 23:04",04.07.2026,"Săvinești hc",45
"05.07.2026 23:07",05.07.2026,"Săvinești hc",2
"05.07.2026 23:07",05.07.2026,"Săvinești hc",2
"05.07.2026 23:07",05.07.2026,"Săvinești hc",2
"05.07.2026 23:07",05.07.2026,"Săvinești hc",2
"06.07.2026 23:27",06.07.2026,"Săvinești hc",20
"06.07.2026 23:27",06.07.2026,"Săvinești hc",20
"06.07.2026 23:27",06.07.2026,"Săvinești hc",20
"06.07.2026 23:27",06.07.2026,"Săvinești hc",20
"06.07.2026 23:27",06.07.2026,"Săvinești hc",20
"07.07.2026 22:54",07.07.2026,"Săvinești hc",19
"07.07.2026 22:54",07.07.2026,"Săvinești hc",19
"07.07.2026 22:54",07.07.2026,"Săvinești hc",19
"07.07.2026 22:54",07.07.2026,"Săvinești hc",19
"07.07.2026 22:54",07.07.2026,"Săvinești hc",19
"08.07.2026 22:57",08.07.2026,"Săvinești hc",14
"08.07.2026 22:57",08.07.2026,"Săvinești hc",14
"08.07.2026 22:57",08.07.2026,"Săvinești hc",14
"08.07.2026 22:57",08.07.2026,"Săvinești hc",14
"08.07.2026 22:57",08.07.2026,"Săvinești hc",14
"09.07.2026 23:14",09.07.2026,"Săvinești hc",1
"09.07.2026 23:14",09.07.2026,"Săvinești hc",1
"09.07.2026 23:14",09.07.2026,"Săvinești hc",1
"09.07.2026 23:14",09.07.2026,"Săvinești hc",1
"09.07.2026 23:14",09.07.2026,"Săvinești hc",1
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
"10.07.2026 23:01",10.07.2026,"Săvinești hc",13
