currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:35",01.07.2026,"Trestieni hc",297
"01.07.2026 23:35",01.07.2026,"Trestieni hc",297
"01.07.2026 23:35",01.07.2026,"Trestieni hc",297
"01.07.2026 23:35",01.07.2026,"Trestieni hc",297
"01.07.2026 23:35",01.07.2026,"Trestieni hc",297
"02.07.2026 23:26",02.07.2026,"Trestieni hc",118
"02.07.2026 23:26",02.07.2026,"Trestieni hc",118
"02.07.2026 23:26",02.07.2026,"Trestieni hc",118
"02.07.2026 23:26",02.07.2026,"Trestieni hc",118
"02.07.2026 23:26",02.07.2026,"Trestieni hc",118
