currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:32",01.07.2026,"Șeica Mică",98
"01.07.2026 23:32",01.07.2026,"Șeica Mică",98
"01.07.2026 23:32",01.07.2026,"Șeica Mică",98
"01.07.2026 23:32",01.07.2026,"Șeica Mică",98
"01.07.2026 23:32",01.07.2026,"Șeica Mică",98
"02.07.2026 23:22",02.07.2026,"Șeica Mică",80
"02.07.2026 23:22",02.07.2026,"Șeica Mică",80
"02.07.2026 23:22",02.07.2026,"Șeica Mică",80
"02.07.2026 23:22",02.07.2026,"Șeica Mică",80
"02.07.2026 23:22",02.07.2026,"Șeica Mică",80
"03.07.2026 22:21",03.07.2026,"Șeica Mică",35
"03.07.2026 22:21",03.07.2026,"Șeica Mică",35
"03.07.2026 22:21",03.07.2026,"Șeica Mică",35
"03.07.2026 22:21",03.07.2026,"Șeica Mică",35
"03.07.2026 22:21",03.07.2026,"Șeica Mică",35
"04.07.2026 23:08",04.07.2026,"Șeica Mică",92
"04.07.2026 23:08",04.07.2026,"Șeica Mică",92
"04.07.2026 23:08",04.07.2026,"Șeica Mică",92
"04.07.2026 23:08",04.07.2026,"Șeica Mică",92
"04.07.2026 23:08",04.07.2026,"Șeica Mică",92
"05.07.2026 23:11",05.07.2026,"Șeica Mică",108
"05.07.2026 23:11",05.07.2026,"Șeica Mică",108
"05.07.2026 23:11",05.07.2026,"Șeica Mică",108
"05.07.2026 23:11",05.07.2026,"Șeica Mică",108
"06.07.2026 23:31",06.07.2026,"Șeica Mică",78
"06.07.2026 23:31",06.07.2026,"Șeica Mică",78
"06.07.2026 23:31",06.07.2026,"Șeica Mică",78
"06.07.2026 23:31",06.07.2026,"Șeica Mică",78
"06.07.2026 23:31",06.07.2026,"Șeica Mică",78
"07.07.2026 22:56",07.07.2026,"Șeica Mică",89
"07.07.2026 22:56",07.07.2026,"Șeica Mică",89
"07.07.2026 22:56",07.07.2026,"Șeica Mică",89
"07.07.2026 22:56",07.07.2026,"Șeica Mică",89
"07.07.2026 22:56",07.07.2026,"Șeica Mică",89
"08.07.2026 23:00",08.07.2026,"Șeica Mică",70
"08.07.2026 23:00",08.07.2026,"Șeica Mică",70
"08.07.2026 23:00",08.07.2026,"Șeica Mică",70
"08.07.2026 23:00",08.07.2026,"Șeica Mică",70
"08.07.2026 23:00",08.07.2026,"Șeica Mică",70
"09.07.2026 23:17",09.07.2026,"Șeica Mică",26
"09.07.2026 23:17",09.07.2026,"Șeica Mică",26
"09.07.2026 23:17",09.07.2026,"Șeica Mică",26
"09.07.2026 23:17",09.07.2026,"Șeica Mică",26
"09.07.2026 23:17",09.07.2026,"Șeica Mică",26
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"10.07.2026 23:04",10.07.2026,"Șeica Mică",43
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"11.07.2026 22:09",11.07.2026,"Șeica Mică",17
"12.07.2026 23:06",12.07.2026,"Șeica Mică",86
"12.07.2026 23:06",12.07.2026,"Șeica Mică",86
"12.07.2026 23:06",12.07.2026,"Șeica Mică",86
