currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:50",01.07.2026,"Brătei h",76
"01.07.2026 22:50",01.07.2026,"Brătei h",76
"01.07.2026 22:50",01.07.2026,"Brătei h",76
"01.07.2026 22:50",01.07.2026,"Brătei h",76
"01.07.2026 22:50",01.07.2026,"Brătei h",76
"02.07.2026 22:40",02.07.2026,"Brătei h",39
"02.07.2026 22:40",02.07.2026,"Brătei h",39
"02.07.2026 22:40",02.07.2026,"Brătei h",39
"02.07.2026 22:40",02.07.2026,"Brătei h",39
"02.07.2026 22:40",02.07.2026,"Brătei h",39
"03.07.2026 22:14",03.07.2026,"Brătei h",9
"03.07.2026 22:14",03.07.2026,"Brătei h",9
"03.07.2026 22:14",03.07.2026,"Brătei h",9
"03.07.2026 22:14",03.07.2026,"Brătei h",9
"03.07.2026 22:14",03.07.2026,"Brătei h",9
"04.07.2026 22:28",04.07.2026,"Brătei h",26
"04.07.2026 22:28",04.07.2026,"Brătei h",26
"04.07.2026 22:28",04.07.2026,"Brătei h",26
"04.07.2026 22:28",04.07.2026,"Brătei h",26
"04.07.2026 22:28",04.07.2026,"Brătei h",26
"05.07.2026 22:33",05.07.2026,"Brătei h",70
"05.07.2026 22:33",05.07.2026,"Brătei h",70
"05.07.2026 22:33",05.07.2026,"Brătei h",70
"05.07.2026 22:33",05.07.2026,"Brătei h",70
"06.07.2026 22:46",06.07.2026,"Brătei h",103
"06.07.2026 22:46",06.07.2026,"Brătei h",103
"06.07.2026 22:46",06.07.2026,"Brătei h",103
"06.07.2026 22:46",06.07.2026,"Brătei h",103
"06.07.2026 22:46",06.07.2026,"Brătei h",103
"07.07.2026 22:32",07.07.2026,"Brătei h",217
"07.07.2026 22:32",07.07.2026,"Brătei h",217
"07.07.2026 22:32",07.07.2026,"Brătei h",217
"07.07.2026 22:32",07.07.2026,"Brătei h",217
"07.07.2026 22:32",07.07.2026,"Brătei h",217
"08.07.2026 22:33",08.07.2026,"Brătei h",180
"08.07.2026 22:33",08.07.2026,"Brătei h",180
"08.07.2026 22:33",08.07.2026,"Brătei h",180
"08.07.2026 22:33",08.07.2026,"Brătei h",180
"08.07.2026 22:33",08.07.2026,"Brătei h",180
"09.07.2026 22:47",09.07.2026,"Brătei h",47
"09.07.2026 22:47",09.07.2026,"Brătei h",47
"09.07.2026 22:47",09.07.2026,"Brătei h",47
"09.07.2026 22:47",09.07.2026,"Brătei h",47
"09.07.2026 22:47",09.07.2026,"Brătei h",47
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"10.07.2026 22:32",10.07.2026,"Brătei h",90
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"11.07.2026 22:01",11.07.2026,"Brătei h",6
"12.07.2026 22:24",12.07.2026,"Brătei h",6
"12.07.2026 22:24",12.07.2026,"Brătei h",6
"12.07.2026 22:24",12.07.2026,"Brătei h",6
"12.07.2026 22:24",12.07.2026,"Brătei h",6
"12.07.2026 22:24",12.07.2026,"Brătei h",6
"13.07.2026 22:30",13.07.2026,"Brătei h",174
"13.07.2026 22:30",13.07.2026,"Brătei h",174
"13.07.2026 22:30",13.07.2026,"Brătei h",174
"13.07.2026 22:30",13.07.2026,"Brătei h",174
"13.07.2026 22:30",13.07.2026,"Brătei h",174
"14.07.2026 22:27",14.07.2026,"Brătei h",65
"14.07.2026 22:27",14.07.2026,"Brătei h",65
"14.07.2026 22:27",14.07.2026,"Brătei h",65
"14.07.2026 22:27",14.07.2026,"Brătei h",65
"14.07.2026 22:27",14.07.2026,"Brătei h",65
"15.07.2026 22:11",15.07.2026,"Brătei h",54
"15.07.2026 22:11",15.07.2026,"Brătei h",54
"15.07.2026 22:11",15.07.2026,"Brătei h",54
"15.07.2026 22:11",15.07.2026,"Brătei h",54
"15.07.2026 22:11",15.07.2026,"Brătei h",54
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"16.07.2026 22:35",16.07.2026,"Brătei h",164
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"17.07.2026 22:04",17.07.2026,"Brătei h",51
"18.07.2026 22:22",18.07.2026,"Brătei h",28
"18.07.2026 22:22",18.07.2026,"Brătei h",28
"18.07.2026 22:22",18.07.2026,"Brătei h",28
"18.07.2026 22:22",18.07.2026,"Brătei h",28
"18.07.2026 22:22",18.07.2026,"Brătei h",28
"19.07.2026 22:27",19.07.2026,"Brătei h",32
"19.07.2026 22:27",19.07.2026,"Brătei h",32
"19.07.2026 22:27",19.07.2026,"Brătei h",32
"19.07.2026 22:27",19.07.2026,"Brătei h",32
"19.07.2026 22:27",19.07.2026,"Brătei h",32
"20.07.2026 22:21",20.07.2026,"Brătei h",41
"20.07.2026 22:21",20.07.2026,"Brătei h",41
