currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:45",01.07.2026,"Băneasa Giurgiu",5
"01.07.2026 22:45",01.07.2026,"Băneasa Giurgiu",5
"01.07.2026 22:45",01.07.2026,"Băneasa Giurgiu",5
"01.07.2026 22:45",01.07.2026,"Băneasa Giurgiu",5
"01.07.2026 22:45",01.07.2026,"Băneasa Giurgiu",5
"02.07.2026 22:35",02.07.2026,"Băneasa Giurgiu",0
"02.07.2026 22:35",02.07.2026,"Băneasa Giurgiu",0
"02.07.2026 22:35",02.07.2026,"Băneasa Giurgiu",0
"02.07.2026 22:35",02.07.2026,"Băneasa Giurgiu",0
"02.07.2026 22:35",02.07.2026,"Băneasa Giurgiu",0
"03.07.2026 22:13",03.07.2026,"Băneasa Giurgiu",0
"03.07.2026 22:13",03.07.2026,"Băneasa Giurgiu",0
