currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:55",01.07.2026,"Ciopea h",15
"01.07.2026 22:55",01.07.2026,"Ciopea h",15
"01.07.2026 22:55",01.07.2026,"Ciopea h",15
"01.07.2026 22:55",01.07.2026,"Ciopea h",15
"01.07.2026 22:55",01.07.2026,"Ciopea h",15
"02.07.2026 22:45",02.07.2026,"Ciopea h",0
"02.07.2026 22:45",02.07.2026,"Ciopea h",0
"02.07.2026 22:45",02.07.2026,"Ciopea h",0
"02.07.2026 22:45",02.07.2026,"Ciopea h",0
"02.07.2026 22:45",02.07.2026,"Ciopea h",0
"03.07.2026 22:15",03.07.2026,"Ciopea h",0
"03.07.2026 22:15",03.07.2026,"Ciopea h",0
"03.07.2026 22:15",03.07.2026,"Ciopea h",0
"03.07.2026 22:15",03.07.2026,"Ciopea h",0
"03.07.2026 22:15",03.07.2026,"Ciopea h",0
"04.07.2026 22:33",04.07.2026,"Ciopea h",8
"04.07.2026 22:33",04.07.2026,"Ciopea h",8
"04.07.2026 22:33",04.07.2026,"Ciopea h",8
"04.07.2026 22:33",04.07.2026,"Ciopea h",8
"04.07.2026 22:33",04.07.2026,"Ciopea h",8
"05.07.2026 22:37",05.07.2026,"Ciopea h",39
"05.07.2026 22:37",05.07.2026,"Ciopea h",39
"05.07.2026 22:37",05.07.2026,"Ciopea h",39
"05.07.2026 22:37",05.07.2026,"Ciopea h",39
"06.07.2026 22:52",06.07.2026,"Ciopea h",107
"06.07.2026 22:52",06.07.2026,"Ciopea h",107
"06.07.2026 22:52",06.07.2026,"Ciopea h",107
"06.07.2026 22:52",06.07.2026,"Ciopea h",107
"06.07.2026 22:52",06.07.2026,"Ciopea h",107
"07.07.2026 22:35",07.07.2026,"Ciopea h",0
"07.07.2026 22:35",07.07.2026,"Ciopea h",0
"07.07.2026 22:35",07.07.2026,"Ciopea h",0
"07.07.2026 22:35",07.07.2026,"Ciopea h",0
"07.07.2026 22:35",07.07.2026,"Ciopea h",0
"08.07.2026 22:36",08.07.2026,"Ciopea h",4
"08.07.2026 22:36",08.07.2026,"Ciopea h",4
"08.07.2026 22:36",08.07.2026,"Ciopea h",4
"08.07.2026 22:36",08.07.2026,"Ciopea h",4
"08.07.2026 22:36",08.07.2026,"Ciopea h",4
"09.07.2026 22:51",09.07.2026,"Ciopea h",0
"09.07.2026 22:51",09.07.2026,"Ciopea h",0
"09.07.2026 22:51",09.07.2026,"Ciopea h",0
"09.07.2026 22:51",09.07.2026,"Ciopea h",0
"09.07.2026 22:51",09.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"10.07.2026 22:36",10.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"11.07.2026 22:02",11.07.2026,"Ciopea h",0
"12.07.2026 22:29",12.07.2026,"Ciopea h",3
"12.07.2026 22:29",12.07.2026,"Ciopea h",3
"12.07.2026 22:29",12.07.2026,"Ciopea h",3
"12.07.2026 22:29",12.07.2026,"Ciopea h",3
"12.07.2026 22:29",12.07.2026,"Ciopea h",3
"13.07.2026 22:35",13.07.2026,"Ciopea h",6
"13.07.2026 22:35",13.07.2026,"Ciopea h",6
"13.07.2026 22:35",13.07.2026,"Ciopea h",6
"13.07.2026 22:35",13.07.2026,"Ciopea h",6
"13.07.2026 22:35",13.07.2026,"Ciopea h",6
"14.07.2026 22:32",14.07.2026,"Ciopea h",14
"14.07.2026 22:32",14.07.2026,"Ciopea h",14
"14.07.2026 22:32",14.07.2026,"Ciopea h",14
"14.07.2026 22:32",14.07.2026,"Ciopea h",14
"14.07.2026 22:32",14.07.2026,"Ciopea h",14
"15.07.2026 22:12",15.07.2026,"Ciopea h",2
"15.07.2026 22:12",15.07.2026,"Ciopea h",2
"15.07.2026 22:12",15.07.2026,"Ciopea h",2
"15.07.2026 22:12",15.07.2026,"Ciopea h",2
"15.07.2026 22:12",15.07.2026,"Ciopea h",2
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"16.07.2026 22:40",16.07.2026,"Ciopea h",0
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"17.07.2026 22:05",17.07.2026,"Ciopea h",11
"18.07.2026 22:27",18.07.2026,"Ciopea h",6
"18.07.2026 22:27",18.07.2026,"Ciopea h",6
"18.07.2026 22:27",18.07.2026,"Ciopea h",6
"18.07.2026 22:27",18.07.2026,"Ciopea h",6
