currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:53",01.07.2026,"Câmpuri Surduc Hm",81
"01.07.2026 22:53",01.07.2026,"Câmpuri Surduc Hm",81
"01.07.2026 22:53",01.07.2026,"Câmpuri Surduc Hm",81
"01.07.2026 22:53",01.07.2026,"Câmpuri Surduc Hm",81
"01.07.2026 22:53",01.07.2026,"Câmpuri Surduc Hm",81
"02.07.2026 22:43",02.07.2026,"Câmpuri Surduc Hm",39
"02.07.2026 22:43",02.07.2026,"Câmpuri Surduc Hm",39
"02.07.2026 22:43",02.07.2026,"Câmpuri Surduc Hm",39
"02.07.2026 22:43",02.07.2026,"Câmpuri Surduc Hm",39
"02.07.2026 22:43",02.07.2026,"Câmpuri Surduc Hm",39
"03.07.2026 22:15",03.07.2026,"Câmpuri Surduc Hm",7
"03.07.2026 22:15",03.07.2026,"Câmpuri Surduc Hm",7
"03.07.2026 22:15",03.07.2026,"Câmpuri Surduc Hm",7
"03.07.2026 22:15",03.07.2026,"Câmpuri Surduc Hm",7
"03.07.2026 22:15",03.07.2026,"Câmpuri Surduc Hm",7
"04.07.2026 22:32",04.07.2026,"Câmpuri Surduc Hm",32
"04.07.2026 22:32",04.07.2026,"Câmpuri Surduc Hm",32
"04.07.2026 22:32",04.07.2026,"Câmpuri Surduc Hm",32
"04.07.2026 22:32",04.07.2026,"Câmpuri Surduc Hm",32
"04.07.2026 22:32",04.07.2026,"Câmpuri Surduc Hm",32
"05.07.2026 22:36",05.07.2026,"Câmpuri Surduc Hm",17
"05.07.2026 22:36",05.07.2026,"Câmpuri Surduc Hm",17
"05.07.2026 22:36",05.07.2026,"Câmpuri Surduc Hm",17
"05.07.2026 22:36",05.07.2026,"Câmpuri Surduc Hm",17
"06.07.2026 22:50",06.07.2026,"Câmpuri Surduc Hm",79
"06.07.2026 22:50",06.07.2026,"Câmpuri Surduc Hm",79
"06.07.2026 22:50",06.07.2026,"Câmpuri Surduc Hm",79
"06.07.2026 22:50",06.07.2026,"Câmpuri Surduc Hm",79
"06.07.2026 22:50",06.07.2026,"Câmpuri Surduc Hm",79
"07.07.2026 22:34",07.07.2026,"Câmpuri Surduc Hm",72
"07.07.2026 22:34",07.07.2026,"Câmpuri Surduc Hm",72
"07.07.2026 22:34",07.07.2026,"Câmpuri Surduc Hm",72
"07.07.2026 22:34",07.07.2026,"Câmpuri Surduc Hm",72
"07.07.2026 22:34",07.07.2026,"Câmpuri Surduc Hm",72
"08.07.2026 22:35",08.07.2026,"Câmpuri Surduc Hm",11
"08.07.2026 22:35",08.07.2026,"Câmpuri Surduc Hm",11
"08.07.2026 22:35",08.07.2026,"Câmpuri Surduc Hm",11
"08.07.2026 22:35",08.07.2026,"Câmpuri Surduc Hm",11
"08.07.2026 22:35",08.07.2026,"Câmpuri Surduc Hm",11
"09.07.2026 22:49",09.07.2026,"Câmpuri Surduc Hm",21
"09.07.2026 22:49",09.07.2026,"Câmpuri Surduc Hm",21
"09.07.2026 22:49",09.07.2026,"Câmpuri Surduc Hm",21
"09.07.2026 22:49",09.07.2026,"Câmpuri Surduc Hm",21
"09.07.2026 22:49",09.07.2026,"Câmpuri Surduc Hm",21
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"10.07.2026 22:34",10.07.2026,"Câmpuri Surduc Hm",36
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"11.07.2026 22:02",11.07.2026,"Câmpuri Surduc Hm",0
"12.07.2026 22:27",12.07.2026,"Câmpuri Surduc Hm",0
"12.07.2026 22:27",12.07.2026,"Câmpuri Surduc Hm",0
"12.07.2026 22:27",12.07.2026,"Câmpuri Surduc Hm",0
"12.07.2026 22:27",12.07.2026,"Câmpuri Surduc Hm",0
"12.07.2026 22:27",12.07.2026,"Câmpuri Surduc Hm",0
"13.07.2026 22:34",13.07.2026,"Câmpuri Surduc Hm",16
"13.07.2026 22:34",13.07.2026,"Câmpuri Surduc Hm",16
"13.07.2026 22:34",13.07.2026,"Câmpuri Surduc Hm",16
"13.07.2026 22:34",13.07.2026,"Câmpuri Surduc Hm",16
"13.07.2026 22:34",13.07.2026,"Câmpuri Surduc Hm",16
"14.07.2026 22:31",14.07.2026,"Câmpuri Surduc Hm",2
"14.07.2026 22:31",14.07.2026,"Câmpuri Surduc Hm",2
