currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:01",01.07.2026,"Dumești hc",7
"01.07.2026 23:01",01.07.2026,"Dumești hc",7
"01.07.2026 23:01",01.07.2026,"Dumești hc",7
"01.07.2026 23:01",01.07.2026,"Dumești hc",7
"01.07.2026 23:01",01.07.2026,"Dumești hc",7
"02.07.2026 22:51",02.07.2026,"Dumești hc",0
"02.07.2026 22:51",02.07.2026,"Dumești hc",0
"02.07.2026 22:51",02.07.2026,"Dumești hc",0
"02.07.2026 22:51",02.07.2026,"Dumești hc",0
"02.07.2026 22:51",02.07.2026,"Dumești hc",0
"03.07.2026 22:16",03.07.2026,"Dumești hc",0
"03.07.2026 22:16",03.07.2026,"Dumești hc",0
"03.07.2026 22:16",03.07.2026,"Dumești hc",0
"03.07.2026 22:16",03.07.2026,"Dumești hc",0
"03.07.2026 22:16",03.07.2026,"Dumești hc",0
"04.07.2026 22:39",04.07.2026,"Dumești hc",0
"04.07.2026 22:39",04.07.2026,"Dumești hc",0
"04.07.2026 22:39",04.07.2026,"Dumești hc",0
"04.07.2026 22:39",04.07.2026,"Dumești hc",0
"04.07.2026 22:39",04.07.2026,"Dumești hc",0
"05.07.2026 22:43",05.07.2026,"Dumești hc",0
"05.07.2026 22:43",05.07.2026,"Dumești hc",0
"05.07.2026 22:43",05.07.2026,"Dumești hc",0
"05.07.2026 22:43",05.07.2026,"Dumești hc",0
"06.07.2026 22:59",06.07.2026,"Dumești hc",7
"06.07.2026 22:59",06.07.2026,"Dumești hc",7
"06.07.2026 22:59",06.07.2026,"Dumești hc",7
"06.07.2026 22:59",06.07.2026,"Dumești hc",7
"06.07.2026 22:59",06.07.2026,"Dumești hc",7
"07.07.2026 22:38",07.07.2026,"Dumești hc",3
"07.07.2026 22:38",07.07.2026,"Dumești hc",3
"07.07.2026 22:38",07.07.2026,"Dumești hc",3
"07.07.2026 22:38",07.07.2026,"Dumești hc",3
"07.07.2026 22:38",07.07.2026,"Dumești hc",3
"08.07.2026 22:40",08.07.2026,"Dumești hc",0
"08.07.2026 22:40",08.07.2026,"Dumești hc",0
"08.07.2026 22:40",08.07.2026,"Dumești hc",0
"08.07.2026 22:40",08.07.2026,"Dumești hc",0
"08.07.2026 22:40",08.07.2026,"Dumești hc",0
"09.07.2026 22:55",09.07.2026,"Dumești hc",0
"09.07.2026 22:55",09.07.2026,"Dumești hc",0
"09.07.2026 22:55",09.07.2026,"Dumești hc",0
"09.07.2026 22:55",09.07.2026,"Dumești hc",0
"09.07.2026 22:55",09.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"10.07.2026 22:40",10.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"11.07.2026 22:03",11.07.2026,"Dumești hc",0
"12.07.2026 22:35",12.07.2026,"Dumești hc",0
"12.07.2026 22:35",12.07.2026,"Dumești hc",0
"12.07.2026 22:35",12.07.2026,"Dumești hc",0
"12.07.2026 22:35",12.07.2026,"Dumești hc",0
"12.07.2026 22:35",12.07.2026,"Dumești hc",0
"13.07.2026 22:43",13.07.2026,"Dumești hc",0
"13.07.2026 22:43",13.07.2026,"Dumești hc",0
"13.07.2026 22:43",13.07.2026,"Dumești hc",0
"13.07.2026 22:43",13.07.2026,"Dumești hc",0
"13.07.2026 22:43",13.07.2026,"Dumești hc",0
"14.07.2026 22:38",14.07.2026,"Dumești hc",4
"14.07.2026 22:38",14.07.2026,"Dumești hc",4
"14.07.2026 22:38",14.07.2026,"Dumești hc",4
"14.07.2026 22:38",14.07.2026,"Dumești hc",4
"14.07.2026 22:38",14.07.2026,"Dumești hc",4
"15.07.2026 22:13",15.07.2026,"Dumești hc",111
"15.07.2026 22:13",15.07.2026,"Dumești hc",111
"15.07.2026 22:13",15.07.2026,"Dumești hc",111
"15.07.2026 22:13",15.07.2026,"Dumești hc",111
"15.07.2026 22:13",15.07.2026,"Dumești hc",111
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"16.07.2026 22:47",16.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"17.07.2026 22:06",17.07.2026,"Dumești hc",0
"18.07.2026 22:33",18.07.2026,"Dumești hc",10
"18.07.2026 22:33",18.07.2026,"Dumești hc",10
