currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:02",01.07.2026,"Feldru Hm",21
"01.07.2026 23:02",01.07.2026,"Feldru Hm",21
"01.07.2026 23:02",01.07.2026,"Feldru Hm",21
"01.07.2026 23:02",01.07.2026,"Feldru Hm",21
"01.07.2026 23:02",01.07.2026,"Feldru Hm",21
"02.07.2026 22:52",02.07.2026,"Feldru Hm",8
"02.07.2026 22:52",02.07.2026,"Feldru Hm",8
"02.07.2026 22:52",02.07.2026,"Feldru Hm",8
"02.07.2026 22:52",02.07.2026,"Feldru Hm",8
"02.07.2026 22:52",02.07.2026,"Feldru Hm",8
"03.07.2026 22:16",03.07.2026,"Feldru Hm",0
"03.07.2026 22:16",03.07.2026,"Feldru Hm",0
"03.07.2026 22:16",03.07.2026,"Feldru Hm",0
