currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:03",01.07.2026,"Găneasa hc",40
"01.07.2026 23:03",01.07.2026,"Găneasa hc",40
"01.07.2026 23:03",01.07.2026,"Găneasa hc",40
"01.07.2026 23:03",01.07.2026,"Găneasa hc",40
"01.07.2026 23:03",01.07.2026,"Găneasa hc",40
"02.07.2026 22:53",02.07.2026,"Găneasa hc",37
"02.07.2026 22:53",02.07.2026,"Găneasa hc",37
"02.07.2026 22:53",02.07.2026,"Găneasa hc",37
"02.07.2026 22:53",02.07.2026,"Găneasa hc",37
"02.07.2026 22:53",02.07.2026,"Găneasa hc",37
"03.07.2026 22:16",03.07.2026,"Găneasa hc",20
"03.07.2026 22:16",03.07.2026,"Găneasa hc",20
"03.07.2026 22:16",03.07.2026,"Găneasa hc",20
"03.07.2026 22:16",03.07.2026,"Găneasa hc",20
"03.07.2026 22:16",03.07.2026,"Găneasa hc",20
"04.07.2026 22:41",04.07.2026,"Găneasa hc",12
"04.07.2026 22:41",04.07.2026,"Găneasa hc",12
"04.07.2026 22:41",04.07.2026,"Găneasa hc",12
"04.07.2026 22:41",04.07.2026,"Găneasa hc",12
"04.07.2026 22:41",04.07.2026,"Găneasa hc",12
"05.07.2026 22:45",05.07.2026,"Găneasa hc",47
"05.07.2026 22:45",05.07.2026,"Găneasa hc",47
"05.07.2026 22:45",05.07.2026,"Găneasa hc",47
"05.07.2026 22:45",05.07.2026,"Găneasa hc",47
"06.07.2026 23:01",06.07.2026,"Găneasa hc",22
"06.07.2026 23:01",06.07.2026,"Găneasa hc",22
"06.07.2026 23:01",06.07.2026,"Găneasa hc",22
"06.07.2026 23:01",06.07.2026,"Găneasa hc",22
"06.07.2026 23:01",06.07.2026,"Găneasa hc",22
"07.07.2026 22:39",07.07.2026,"Găneasa hc",37
"07.07.2026 22:39",07.07.2026,"Găneasa hc",37
