currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:06",01.07.2026,"Hârșești Hm",232
"01.07.2026 23:06",01.07.2026,"Hârșești Hm",232
"01.07.2026 23:06",01.07.2026,"Hârșești Hm",232
"01.07.2026 23:06",01.07.2026,"Hârșești Hm",232
"01.07.2026 23:06",01.07.2026,"Hârșești Hm",232
"02.07.2026 22:56",02.07.2026,"Hârșești Hm",218
"02.07.2026 22:56",02.07.2026,"Hârșești Hm",218
"02.07.2026 22:56",02.07.2026,"Hârșești Hm",218
"02.07.2026 22:56",02.07.2026,"Hârșești Hm",218
"02.07.2026 22:56",02.07.2026,"Hârșești Hm",218
"03.07.2026 22:17",03.07.2026,"Hârșești Hm",179
"03.07.2026 22:17",03.07.2026,"Hârșești Hm",179
"03.07.2026 22:17",03.07.2026,"Hârșești Hm",179
"03.07.2026 22:17",03.07.2026,"Hârșești Hm",179
"03.07.2026 22:17",03.07.2026,"Hârșești Hm",179
"04.07.2026 22:44",04.07.2026,"Hârșești Hm",40
"04.07.2026 22:44",04.07.2026,"Hârșești Hm",40
"04.07.2026 22:44",04.07.2026,"Hârșești Hm",40
"04.07.2026 22:44",04.07.2026,"Hârșești Hm",40
"04.07.2026 22:44",04.07.2026,"Hârșești Hm",40
"05.07.2026 22:47",05.07.2026,"Hârșești Hm",64
"05.07.2026 22:47",05.07.2026,"Hârșești Hm",64
"05.07.2026 22:47",05.07.2026,"Hârșești Hm",64
"05.07.2026 22:47",05.07.2026,"Hârșești Hm",64
"06.07.2026 23:04",06.07.2026,"Hârșești Hm",75
"06.07.2026 23:04",06.07.2026,"Hârșești Hm",75
"06.07.2026 23:04",06.07.2026,"Hârșești Hm",75
"06.07.2026 23:04",06.07.2026,"Hârșești Hm",75
"06.07.2026 23:04",06.07.2026,"Hârșești Hm",75
"07.07.2026 22:41",07.07.2026,"Hârșești Hm",120
"07.07.2026 22:41",07.07.2026,"Hârșești Hm",120
"07.07.2026 22:41",07.07.2026,"Hârșești Hm",120
"07.07.2026 22:41",07.07.2026,"Hârșești Hm",120
"07.07.2026 22:41",07.07.2026,"Hârșești Hm",120
"08.07.2026 22:43",08.07.2026,"Hârșești Hm",137
"08.07.2026 22:43",08.07.2026,"Hârșești Hm",137
"08.07.2026 22:43",08.07.2026,"Hârșești Hm",137
"08.07.2026 22:43",08.07.2026,"Hârșești Hm",137
"08.07.2026 22:43",08.07.2026,"Hârșești Hm",137
"09.07.2026 22:59",09.07.2026,"Hârșești Hm",130
"09.07.2026 22:59",09.07.2026,"Hârșești Hm",130
"09.07.2026 22:59",09.07.2026,"Hârșești Hm",130
"09.07.2026 22:59",09.07.2026,"Hârșești Hm",130
"09.07.2026 22:59",09.07.2026,"Hârșești Hm",130
"10.07.2026 22:44",10.07.2026,"Hârșești Hm",312
"10.07.2026 22:44",10.07.2026,"Hârșești Hm",312
"10.07.2026 22:44",10.07.2026,"Hârșești Hm",312
"10.07.2026 22:44",10.07.2026,"Hârșești Hm",312
"10.07.2026 22:44",10.07.2026,"Hârșești Hm",312
