currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:10",01.07.2026,Livezeni,14
"01.07.2026 23:10",01.07.2026,Livezeni,14
"01.07.2026 23:10",01.07.2026,Livezeni,14
"01.07.2026 23:10",01.07.2026,Livezeni,14
"01.07.2026 23:10",01.07.2026,Livezeni,14
"02.07.2026 23:00",02.07.2026,Livezeni,30
"02.07.2026 23:00",02.07.2026,Livezeni,30
"02.07.2026 23:00",02.07.2026,Livezeni,30
"02.07.2026 23:00",02.07.2026,Livezeni,30
"02.07.2026 23:00",02.07.2026,Livezeni,30
"03.07.2026 22:18",03.07.2026,Livezeni,5
"03.07.2026 22:18",03.07.2026,Livezeni,5
"03.07.2026 22:18",03.07.2026,Livezeni,5
"03.07.2026 22:18",03.07.2026,Livezeni,5
"03.07.2026 22:18",03.07.2026,Livezeni,5
"04.07.2026 22:47",04.07.2026,Livezeni,2
"04.07.2026 22:47",04.07.2026,Livezeni,2
"04.07.2026 22:47",04.07.2026,Livezeni,2
"04.07.2026 22:47",04.07.2026,Livezeni,2
"04.07.2026 22:47",04.07.2026,Livezeni,2
"05.07.2026 22:51",05.07.2026,Livezeni,5
"05.07.2026 22:51",05.07.2026,Livezeni,5
"05.07.2026 22:51",05.07.2026,Livezeni,5
"05.07.2026 22:51",05.07.2026,Livezeni,5
"06.07.2026 23:08",06.07.2026,Livezeni,6
"06.07.2026 23:08",06.07.2026,Livezeni,6
"06.07.2026 23:08",06.07.2026,Livezeni,6
"06.07.2026 23:08",06.07.2026,Livezeni,6
"06.07.2026 23:08",06.07.2026,Livezeni,6
"07.07.2026 22:43",07.07.2026,Livezeni,31
"07.07.2026 22:43",07.07.2026,Livezeni,31
"07.07.2026 22:43",07.07.2026,Livezeni,31
"07.07.2026 22:43",07.07.2026,Livezeni,31
"07.07.2026 22:43",07.07.2026,Livezeni,31
"08.07.2026 22:45",08.07.2026,Livezeni,2
"08.07.2026 22:45",08.07.2026,Livezeni,2
"08.07.2026 22:45",08.07.2026,Livezeni,2
"08.07.2026 22:45",08.07.2026,Livezeni,2
"08.07.2026 22:45",08.07.2026,Livezeni,2
"09.07.2026 23:02",09.07.2026,Livezeni,261
"09.07.2026 23:02",09.07.2026,Livezeni,261
"09.07.2026 23:02",09.07.2026,Livezeni,261
"09.07.2026 23:02",09.07.2026,Livezeni,261
"09.07.2026 23:02",09.07.2026,Livezeni,261
"10.07.2026 22:47",10.07.2026,Livezeni,25
"10.07.2026 22:47",10.07.2026,Livezeni,25
"10.07.2026 22:47",10.07.2026,Livezeni,25
"10.07.2026 22:47",10.07.2026,Livezeni,25
