currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:11",01.07.2026,"Malu Alb hc",35
"01.07.2026 23:11",01.07.2026,"Malu Alb hc",35
"01.07.2026 23:11",01.07.2026,"Malu Alb hc",35
"01.07.2026 23:11",01.07.2026,"Malu Alb hc",35
"01.07.2026 23:11",01.07.2026,"Malu Alb hc",35
"02.07.2026 23:01",02.07.2026,"Malu Alb hc",6
"02.07.2026 23:01",02.07.2026,"Malu Alb hc",6
"02.07.2026 23:01",02.07.2026,"Malu Alb hc",6
"02.07.2026 23:01",02.07.2026,"Malu Alb hc",6
"02.07.2026 23:01",02.07.2026,"Malu Alb hc",6
"03.07.2026 22:18",03.07.2026,"Malu Alb hc",32
"03.07.2026 22:18",03.07.2026,"Malu Alb hc",32
"03.07.2026 22:18",03.07.2026,"Malu Alb hc",32
"03.07.2026 22:18",03.07.2026,"Malu Alb hc",32
"03.07.2026 22:18",03.07.2026,"Malu Alb hc",32
"04.07.2026 22:48",04.07.2026,"Malu Alb hc",4
"04.07.2026 22:48",04.07.2026,"Malu Alb hc",4
"04.07.2026 22:48",04.07.2026,"Malu Alb hc",4
"04.07.2026 22:48",04.07.2026,"Malu Alb hc",4
"04.07.2026 22:48",04.07.2026,"Malu Alb hc",4
"05.07.2026 22:52",05.07.2026,"Malu Alb hc",3
"05.07.2026 22:52",05.07.2026,"Malu Alb hc",3
"05.07.2026 22:52",05.07.2026,"Malu Alb hc",3
"05.07.2026 22:52",05.07.2026,"Malu Alb hc",3
"06.07.2026 23:09",06.07.2026,"Malu Alb hc",0
"06.07.2026 23:09",06.07.2026,"Malu Alb hc",0
"06.07.2026 23:09",06.07.2026,"Malu Alb hc",0
"06.07.2026 23:09",06.07.2026,"Malu Alb hc",0
"06.07.2026 23:09",06.07.2026,"Malu Alb hc",0
"07.07.2026 22:44",07.07.2026,"Malu Alb hc",47
"07.07.2026 22:44",07.07.2026,"Malu Alb hc",47
"07.07.2026 22:44",07.07.2026,"Malu Alb hc",47
