currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 22:34",01.07.2026,"Miercurea Sibiu",62
"01.07.2026 22:34",01.07.2026,"Miercurea Sibiu",62
"01.07.2026 22:34",01.07.2026,"Miercurea Sibiu",62
"01.07.2026 22:34",01.07.2026,"Miercurea Sibiu",62
"01.07.2026 22:34",01.07.2026,"Miercurea Sibiu",62
"02.07.2026 22:24",02.07.2026,"Miercurea Sibiu",17
"02.07.2026 22:24",02.07.2026,"Miercurea Sibiu",17
"02.07.2026 22:24",02.07.2026,"Miercurea Sibiu",17
"02.07.2026 22:24",02.07.2026,"Miercurea Sibiu",17
"02.07.2026 22:24",02.07.2026,"Miercurea Sibiu",17
"03.07.2026 22:12",03.07.2026,"Miercurea Sibiu",23
"03.07.2026 22:12",03.07.2026,"Miercurea Sibiu",23
"03.07.2026 22:12",03.07.2026,"Miercurea Sibiu",23
"03.07.2026 22:12",03.07.2026,"Miercurea Sibiu",23
