currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:13",01.07.2026,"Mireșu Mare hm",464
"01.07.2026 23:13",01.07.2026,"Mireșu Mare hm",464
"01.07.2026 23:13",01.07.2026,"Mireșu Mare hm",464
"01.07.2026 23:13",01.07.2026,"Mireșu Mare hm",464
"01.07.2026 23:13",01.07.2026,"Mireșu Mare hm",464
"02.07.2026 23:04",02.07.2026,"Mireșu Mare hm",59
"02.07.2026 23:04",02.07.2026,"Mireșu Mare hm",59
"02.07.2026 23:04",02.07.2026,"Mireșu Mare hm",59
"02.07.2026 23:04",02.07.2026,"Mireșu Mare hm",59
"02.07.2026 23:04",02.07.2026,"Mireșu Mare hm",59
"03.07.2026 22:18",03.07.2026,"Mireșu Mare hm",38
"03.07.2026 22:18",03.07.2026,"Mireșu Mare hm",38
"03.07.2026 22:18",03.07.2026,"Mireșu Mare hm",38
"03.07.2026 22:18",03.07.2026,"Mireșu Mare hm",38
"03.07.2026 22:18",03.07.2026,"Mireșu Mare hm",38
"04.07.2026 22:51",04.07.2026,"Mireșu Mare hm",54
"04.07.2026 22:51",04.07.2026,"Mireșu Mare hm",54
"04.07.2026 22:51",04.07.2026,"Mireșu Mare hm",54
"04.07.2026 22:51",04.07.2026,"Mireșu Mare hm",54
"04.07.2026 22:51",04.07.2026,"Mireșu Mare hm",54
"05.07.2026 22:55",05.07.2026,"Mireșu Mare hm",13
"05.07.2026 22:55",05.07.2026,"Mireșu Mare hm",13
"05.07.2026 22:55",05.07.2026,"Mireșu Mare hm",13
"05.07.2026 22:55",05.07.2026,"Mireșu Mare hm",13
"06.07.2026 23:12",06.07.2026,"Mireșu Mare hm",134
"06.07.2026 23:12",06.07.2026,"Mireșu Mare hm",134
"06.07.2026 23:12",06.07.2026,"Mireșu Mare hm",134
"06.07.2026 23:12",06.07.2026,"Mireșu Mare hm",134
"06.07.2026 23:12",06.07.2026,"Mireșu Mare hm",134
"07.07.2026 22:45",07.07.2026,"Mireșu Mare hm",59
"07.07.2026 22:45",07.07.2026,"Mireșu Mare hm",59
"07.07.2026 22:45",07.07.2026,"Mireșu Mare hm",59
"07.07.2026 22:45",07.07.2026,"Mireșu Mare hm",59
"07.07.2026 22:45",07.07.2026,"Mireșu Mare hm",59
"08.07.2026 22:48",08.07.2026,"Mireșu Mare hm",54
"08.07.2026 22:48",08.07.2026,"Mireșu Mare hm",54
"08.07.2026 22:48",08.07.2026,"Mireșu Mare hm",54
"08.07.2026 22:48",08.07.2026,"Mireșu Mare hm",54
"08.07.2026 22:48",08.07.2026,"Mireșu Mare hm",54
"09.07.2026 23:05",09.07.2026,"Mireșu Mare hm",27
"09.07.2026 23:05",09.07.2026,"Mireșu Mare hm",27
"09.07.2026 23:05",09.07.2026,"Mireșu Mare hm",27
"09.07.2026 23:05",09.07.2026,"Mireșu Mare hm",27
"09.07.2026 23:05",09.07.2026,"Mireșu Mare hm",27
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"10.07.2026 22:50",10.07.2026,"Mireșu Mare hm",77
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"11.07.2026 22:06",11.07.2026,"Mireșu Mare hm",31
"12.07.2026 22:48",12.07.2026,"Mireșu Mare hm",11
"12.07.2026 22:48",12.07.2026,"Mireșu Mare hm",11
"12.07.2026 22:48",12.07.2026,"Mireșu Mare hm",11
"12.07.2026 22:48",12.07.2026,"Mireșu Mare hm",11
"12.07.2026 22:48",12.07.2026,"Mireșu Mare hm",11
"13.07.2026 22:56",13.07.2026,"Mireșu Mare hm",102
"13.07.2026 22:56",13.07.2026,"Mireșu Mare hm",102
"13.07.2026 22:56",13.07.2026,"Mireșu Mare hm",102
"13.07.2026 22:56",13.07.2026,"Mireșu Mare hm",102
"13.07.2026 22:56",13.07.2026,"Mireșu Mare hm",102
