currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:13",01.07.2026,"Mititei hc",82
"01.07.2026 23:13",01.07.2026,"Mititei hc",82
"01.07.2026 23:13",01.07.2026,"Mititei hc",82
"01.07.2026 23:13",01.07.2026,"Mititei hc",82
"01.07.2026 23:13",01.07.2026,"Mititei hc",82
"02.07.2026 23:04",02.07.2026,"Mititei hc",19
"02.07.2026 23:04",02.07.2026,"Mititei hc",19
"02.07.2026 23:04",02.07.2026,"Mititei hc",19
"02.07.2026 23:04",02.07.2026,"Mititei hc",19
"02.07.2026 23:04",02.07.2026,"Mititei hc",19
"03.07.2026 22:18",03.07.2026,"Mititei hc",11
"03.07.2026 22:18",03.07.2026,"Mititei hc",11
"03.07.2026 22:18",03.07.2026,"Mititei hc",11
"03.07.2026 22:18",03.07.2026,"Mititei hc",11
"03.07.2026 22:18",03.07.2026,"Mititei hc",11
"04.07.2026 22:51",04.07.2026,"Mititei hc",26
"04.07.2026 22:51",04.07.2026,"Mititei hc",26
"04.07.2026 22:51",04.07.2026,"Mititei hc",26
"04.07.2026 22:51",04.07.2026,"Mititei hc",26
"04.07.2026 22:51",04.07.2026,"Mititei hc",26
"05.07.2026 22:55",05.07.2026,"Mititei hc",20
"05.07.2026 22:55",05.07.2026,"Mititei hc",20
"05.07.2026 22:55",05.07.2026,"Mititei hc",20
"05.07.2026 22:55",05.07.2026,"Mititei hc",20
"06.07.2026 23:12",06.07.2026,"Mititei hc",122
"06.07.2026 23:12",06.07.2026,"Mititei hc",122
"06.07.2026 23:12",06.07.2026,"Mititei hc",122
"06.07.2026 23:12",06.07.2026,"Mititei hc",122
"06.07.2026 23:12",06.07.2026,"Mititei hc",122
"07.07.2026 22:45",07.07.2026,"Mititei hc",53
"07.07.2026 22:45",07.07.2026,"Mititei hc",53
"07.07.2026 22:45",07.07.2026,"Mititei hc",53
"07.07.2026 22:45",07.07.2026,"Mititei hc",53
"07.07.2026 22:45",07.07.2026,"Mititei hc",53
"08.07.2026 22:48",08.07.2026,"Mititei hc",51
"08.07.2026 22:48",08.07.2026,"Mititei hc",51
"08.07.2026 22:48",08.07.2026,"Mititei hc",51
"08.07.2026 22:48",08.07.2026,"Mititei hc",51
"08.07.2026 22:48",08.07.2026,"Mititei hc",51
"09.07.2026 23:05",09.07.2026,"Mititei hc",30
"09.07.2026 23:05",09.07.2026,"Mititei hc",30
"09.07.2026 23:05",09.07.2026,"Mititei hc",30
"09.07.2026 23:05",09.07.2026,"Mititei hc",30
"09.07.2026 23:05",09.07.2026,"Mititei hc",30
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"10.07.2026 22:50",10.07.2026,"Mititei hc",60
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"11.07.2026 22:06",11.07.2026,"Mititei hc",35
"12.07.2026 22:48",12.07.2026,"Mititei hc",7
"12.07.2026 22:48",12.07.2026,"Mititei hc",7
"12.07.2026 22:48",12.07.2026,"Mititei hc",7
"12.07.2026 22:48",12.07.2026,"Mititei hc",7
"12.07.2026 22:48",12.07.2026,"Mititei hc",7
"13.07.2026 22:56",13.07.2026,"Mititei hc",64
"13.07.2026 22:56",13.07.2026,"Mititei hc",64
"13.07.2026 22:56",13.07.2026,"Mititei hc",64
"13.07.2026 22:56",13.07.2026,"Mititei hc",64
"13.07.2026 22:56",13.07.2026,"Mititei hc",64
"14.07.2026 22:51",14.07.2026,"Mititei hc",74
"14.07.2026 22:51",14.07.2026,"Mititei hc",74
"14.07.2026 22:51",14.07.2026,"Mititei hc",74
"14.07.2026 22:51",14.07.2026,"Mititei hc",74
"14.07.2026 22:51",14.07.2026,"Mititei hc",74
"15.07.2026 22:15",15.07.2026,"Mititei hc",65
"15.07.2026 22:15",15.07.2026,"Mititei hc",65
"15.07.2026 22:15",15.07.2026,"Mititei hc",65
"15.07.2026 22:15",15.07.2026,"Mititei hc",65
"15.07.2026 22:15",15.07.2026,"Mititei hc",65
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"16.07.2026 22:59",16.07.2026,"Mititei hc",74
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"17.07.2026 22:09",17.07.2026,"Mititei hc",79
"18.07.2026 22:45",18.07.2026,"Mititei hc",41
