currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:11",01.07.2026,"Mădăraș Bihor hc",29
"01.07.2026 23:11",01.07.2026,"Mădăraș Bihor hc",29
"01.07.2026 23:11",01.07.2026,"Mădăraș Bihor hc",29
"01.07.2026 23:11",01.07.2026,"Mădăraș Bihor hc",29
"01.07.2026 23:11",01.07.2026,"Mădăraș Bihor hc",29
"02.07.2026 23:01",02.07.2026,"Mădăraș Bihor hc",58
"02.07.2026 23:01",02.07.2026,"Mădăraș Bihor hc",58
"02.07.2026 23:01",02.07.2026,"Mădăraș Bihor hc",58
"02.07.2026 23:01",02.07.2026,"Mădăraș Bihor hc",58
"02.07.2026 23:01",02.07.2026,"Mădăraș Bihor hc",58
"03.07.2026 22:18",03.07.2026,"Mădăraș Bihor hc",127
"03.07.2026 22:18",03.07.2026,"Mădăraș Bihor hc",127
"03.07.2026 22:18",03.07.2026,"Mădăraș Bihor hc",127
"03.07.2026 22:18",03.07.2026,"Mădăraș Bihor hc",127
"03.07.2026 22:18",03.07.2026,"Mădăraș Bihor hc",127
"04.07.2026 22:49",04.07.2026,"Mădăraș Bihor hc",11
"04.07.2026 22:49",04.07.2026,"Mădăraș Bihor hc",11
"04.07.2026 22:49",04.07.2026,"Mădăraș Bihor hc",11
"04.07.2026 22:49",04.07.2026,"Mădăraș Bihor hc",11
"04.07.2026 22:49",04.07.2026,"Mădăraș Bihor hc",11
"05.07.2026 22:52",05.07.2026,"Mădăraș Bihor hc",8
"05.07.2026 22:52",05.07.2026,"Mădăraș Bihor hc",8
"05.07.2026 22:52",05.07.2026,"Mădăraș Bihor hc",8
"05.07.2026 22:52",05.07.2026,"Mădăraș Bihor hc",8
"06.07.2026 23:09",06.07.2026,"Mădăraș Bihor hc",48
"06.07.2026 23:09",06.07.2026,"Mădăraș Bihor hc",48
"06.07.2026 23:09",06.07.2026,"Mădăraș Bihor hc",48
"06.07.2026 23:09",06.07.2026,"Mădăraș Bihor hc",48
"06.07.2026 23:09",06.07.2026,"Mădăraș Bihor hc",48
"07.07.2026 22:44",07.07.2026,"Mădăraș Bihor hc",5
"07.07.2026 22:44",07.07.2026,"Mădăraș Bihor hc",5
"07.07.2026 22:44",07.07.2026,"Mădăraș Bihor hc",5
"07.07.2026 22:44",07.07.2026,"Mădăraș Bihor hc",5
"07.07.2026 22:44",07.07.2026,"Mădăraș Bihor hc",5
"08.07.2026 22:46",08.07.2026,"Mădăraș Bihor hc",0
"08.07.2026 22:46",08.07.2026,"Mădăraș Bihor hc",0
"08.07.2026 22:46",08.07.2026,"Mădăraș Bihor hc",0
"08.07.2026 22:46",08.07.2026,"Mădăraș Bihor hc",0
"08.07.2026 22:46",08.07.2026,"Mădăraș Bihor hc",0
"09.07.2026 23:03",09.07.2026,"Mădăraș Bihor hc",2
"09.07.2026 23:03",09.07.2026,"Mădăraș Bihor hc",2
"09.07.2026 23:03",09.07.2026,"Mădăraș Bihor hc",2
