currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:15",01.07.2026,"Nădejdea Hm",1
"01.07.2026 23:15",01.07.2026,"Nădejdea Hm",1
"01.07.2026 23:15",01.07.2026,"Nădejdea Hm",1
"01.07.2026 23:15",01.07.2026,"Nădejdea Hm",1
"01.07.2026 23:15",01.07.2026,"Nădejdea Hm",1
"02.07.2026 23:05",02.07.2026,"Nădejdea Hm",25
"02.07.2026 23:05",02.07.2026,"Nădejdea Hm",25
"02.07.2026 23:05",02.07.2026,"Nădejdea Hm",25
"02.07.2026 23:05",02.07.2026,"Nădejdea Hm",25
"02.07.2026 23:05",02.07.2026,"Nădejdea Hm",25
"03.07.2026 22:19",03.07.2026,"Nădejdea Hm",18
"03.07.2026 22:19",03.07.2026,"Nădejdea Hm",18
"03.07.2026 22:19",03.07.2026,"Nădejdea Hm",18
"03.07.2026 22:19",03.07.2026,"Nădejdea Hm",18
"03.07.2026 22:19",03.07.2026,"Nădejdea Hm",18
"04.07.2026 22:52",04.07.2026,"Nădejdea Hm",5
"04.07.2026 22:52",04.07.2026,"Nădejdea Hm",5
"04.07.2026 22:52",04.07.2026,"Nădejdea Hm",5
"04.07.2026 22:52",04.07.2026,"Nădejdea Hm",5
