currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:19",01.07.2026,"Plaiu Vulcănești",128
"01.07.2026 23:19",01.07.2026,"Plaiu Vulcănești",128
"01.07.2026 23:19",01.07.2026,"Plaiu Vulcănești",128
"01.07.2026 23:19",01.07.2026,"Plaiu Vulcănești",128
"01.07.2026 23:19",01.07.2026,"Plaiu Vulcănești",128
"02.07.2026 23:10",02.07.2026,"Plaiu Vulcănești",180
"02.07.2026 23:10",02.07.2026,"Plaiu Vulcănești",180
"02.07.2026 23:10",02.07.2026,"Plaiu Vulcănești",180
"02.07.2026 23:10",02.07.2026,"Plaiu Vulcănești",180
"02.07.2026 23:10",02.07.2026,"Plaiu Vulcănești",180
"03.07.2026 22:19",03.07.2026,"Plaiu Vulcănești",40
"03.07.2026 22:19",03.07.2026,"Plaiu Vulcănești",40
"03.07.2026 22:19",03.07.2026,"Plaiu Vulcănești",40
"03.07.2026 22:19",03.07.2026,"Plaiu Vulcănești",40
"03.07.2026 22:19",03.07.2026,"Plaiu Vulcănești",40
"04.07.2026 22:57",04.07.2026,"Plaiu Vulcănești",3
"04.07.2026 22:57",04.07.2026,"Plaiu Vulcănești",3
"04.07.2026 22:57",04.07.2026,"Plaiu Vulcănești",3
"04.07.2026 22:57",04.07.2026,"Plaiu Vulcănești",3
"04.07.2026 22:57",04.07.2026,"Plaiu Vulcănești",3
"05.07.2026 23:01",05.07.2026,"Plaiu Vulcănești",60
"05.07.2026 23:01",05.07.2026,"Plaiu Vulcănești",60
"05.07.2026 23:01",05.07.2026,"Plaiu Vulcănești",60
"05.07.2026 23:01",05.07.2026,"Plaiu Vulcănești",60
"06.07.2026 23:19",06.07.2026,"Plaiu Vulcănești",35
"06.07.2026 23:19",06.07.2026,"Plaiu Vulcănești",35
"06.07.2026 23:19",06.07.2026,"Plaiu Vulcănești",35
"06.07.2026 23:19",06.07.2026,"Plaiu Vulcănești",35
"06.07.2026 23:19",06.07.2026,"Plaiu Vulcănești",35
"07.07.2026 22:49",07.07.2026,"Plaiu Vulcănești",36
"07.07.2026 22:49",07.07.2026,"Plaiu Vulcănești",36
"07.07.2026 22:49",07.07.2026,"Plaiu Vulcănești",36
"07.07.2026 22:49",07.07.2026,"Plaiu Vulcănești",36
"07.07.2026 22:49",07.07.2026,"Plaiu Vulcănești",36
"08.07.2026 22:52",08.07.2026,"Plaiu Vulcănești",90
"08.07.2026 22:52",08.07.2026,"Plaiu Vulcănești",90
"08.07.2026 22:52",08.07.2026,"Plaiu Vulcănești",90
"08.07.2026 22:52",08.07.2026,"Plaiu Vulcănești",90
"08.07.2026 22:52",08.07.2026,"Plaiu Vulcănești",90
"09.07.2026 23:10",09.07.2026,"Plaiu Vulcănești",58
"09.07.2026 23:10",09.07.2026,"Plaiu Vulcănești",58
"09.07.2026 23:10",09.07.2026,"Plaiu Vulcănești",58
"09.07.2026 23:10",09.07.2026,"Plaiu Vulcănești",58
"09.07.2026 23:10",09.07.2026,"Plaiu Vulcănești",58
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"10.07.2026 22:55",10.07.2026,"Plaiu Vulcănești",102
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"11.07.2026 22:07",11.07.2026,"Plaiu Vulcănești",59
"12.07.2026 22:54",12.07.2026,"Plaiu Vulcănești",36
"12.07.2026 22:54",12.07.2026,"Plaiu Vulcănești",36
"12.07.2026 22:54",12.07.2026,"Plaiu Vulcănești",36
"12.07.2026 22:54",12.07.2026,"Plaiu Vulcănești",36
"12.07.2026 22:54",12.07.2026,"Plaiu Vulcănești",36
"13.07.2026 23:03",13.07.2026,"Plaiu Vulcănești",80
"13.07.2026 23:03",13.07.2026,"Plaiu Vulcănești",80
