currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:24",01.07.2026,"Recea Hm",202
"01.07.2026 23:24",01.07.2026,"Recea Hm",202
"01.07.2026 23:24",01.07.2026,"Recea Hm",202
"01.07.2026 23:24",01.07.2026,"Recea Hm",202
"01.07.2026 23:24",01.07.2026,"Recea Hm",202
"02.07.2026 23:15",02.07.2026,"Recea Hm",188
"02.07.2026 23:15",02.07.2026,"Recea Hm",188
"02.07.2026 23:15",02.07.2026,"Recea Hm",188
"02.07.2026 23:15",02.07.2026,"Recea Hm",188
"02.07.2026 23:15",02.07.2026,"Recea Hm",188
"03.07.2026 22:20",03.07.2026,"Recea Hm",168
"03.07.2026 22:20",03.07.2026,"Recea Hm",168
"03.07.2026 22:20",03.07.2026,"Recea Hm",168
"03.07.2026 22:20",03.07.2026,"Recea Hm",168
"03.07.2026 22:20",03.07.2026,"Recea Hm",168
"04.07.2026 23:01",04.07.2026,"Recea Hm",81
"04.07.2026 23:01",04.07.2026,"Recea Hm",81
"04.07.2026 23:01",04.07.2026,"Recea Hm",81
"04.07.2026 23:01",04.07.2026,"Recea Hm",81
"04.07.2026 23:01",04.07.2026,"Recea Hm",81
"05.07.2026 23:04",05.07.2026,"Recea Hm",57
"05.07.2026 23:04",05.07.2026,"Recea Hm",57
"05.07.2026 23:04",05.07.2026,"Recea Hm",57
"05.07.2026 23:04",05.07.2026,"Recea Hm",57
"06.07.2026 23:23",06.07.2026,"Recea Hm",84
"06.07.2026 23:23",06.07.2026,"Recea Hm",84
"06.07.2026 23:23",06.07.2026,"Recea Hm",84
"06.07.2026 23:23",06.07.2026,"Recea Hm",84
"06.07.2026 23:23",06.07.2026,"Recea Hm",84
"07.07.2026 22:52",07.07.2026,"Recea Hm",85
"07.07.2026 22:52",07.07.2026,"Recea Hm",85
"07.07.2026 22:52",07.07.2026,"Recea Hm",85
"07.07.2026 22:52",07.07.2026,"Recea Hm",85
"07.07.2026 22:52",07.07.2026,"Recea Hm",85
"08.07.2026 22:55",08.07.2026,"Recea Hm",142
"08.07.2026 22:55",08.07.2026,"Recea Hm",142
"08.07.2026 22:55",08.07.2026,"Recea Hm",142
"08.07.2026 22:55",08.07.2026,"Recea Hm",142
"08.07.2026 22:55",08.07.2026,"Recea Hm",142
"09.07.2026 23:13",09.07.2026,"Recea Hm",134
"09.07.2026 23:13",09.07.2026,"Recea Hm",134
"09.07.2026 23:13",09.07.2026,"Recea Hm",134
"09.07.2026 23:13",09.07.2026,"Recea Hm",134
"09.07.2026 23:13",09.07.2026,"Recea Hm",134
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"10.07.2026 22:59",10.07.2026,"Recea Hm",307
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"11.07.2026 22:07",11.07.2026,"Recea Hm",103
"12.07.2026 22:58",12.07.2026,"Recea Hm",214
"12.07.2026 22:58",12.07.2026,"Recea Hm",214
"12.07.2026 22:58",12.07.2026,"Recea Hm",214
"12.07.2026 22:58",12.07.2026,"Recea Hm",214
"12.07.2026 22:58",12.07.2026,"Recea Hm",214
"13.07.2026 23:07",13.07.2026,"Recea Hm",161
"13.07.2026 23:07",13.07.2026,"Recea Hm",161
"13.07.2026 23:07",13.07.2026,"Recea Hm",161
"13.07.2026 23:07",13.07.2026,"Recea Hm",161
"13.07.2026 23:07",13.07.2026,"Recea Hm",161
"14.07.2026 23:01",14.07.2026,"Recea Hm",113
"14.07.2026 23:01",14.07.2026,"Recea Hm",113
"14.07.2026 23:01",14.07.2026,"Recea Hm",113
"14.07.2026 23:01",14.07.2026,"Recea Hm",113
"14.07.2026 23:01",14.07.2026,"Recea Hm",113
"15.07.2026 22:17",15.07.2026,"Recea Hm",178
"15.07.2026 22:17",15.07.2026,"Recea Hm",178
"15.07.2026 22:17",15.07.2026,"Recea Hm",178
"15.07.2026 22:17",15.07.2026,"Recea Hm",178
"15.07.2026 22:17",15.07.2026,"Recea Hm",178
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"16.07.2026 23:09",16.07.2026,"Recea Hm",61
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"17.07.2026 22:11",17.07.2026,"Recea Hm",246
"18.07.2026 22:55",18.07.2026,"Recea Hm",67
"18.07.2026 22:55",18.07.2026,"Recea Hm",67
"18.07.2026 22:55",18.07.2026,"Recea Hm",67
