currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:26",01.07.2026,"Saschiz h",51
"01.07.2026 23:26",01.07.2026,"Saschiz h",51
"01.07.2026 23:26",01.07.2026,"Saschiz h",51
"01.07.2026 23:26",01.07.2026,"Saschiz h",51
"01.07.2026 23:26",01.07.2026,"Saschiz h",51
"02.07.2026 23:16",02.07.2026,"Saschiz h",69
"02.07.2026 23:16",02.07.2026,"Saschiz h",69
"02.07.2026 23:16",02.07.2026,"Saschiz h",69
"02.07.2026 23:16",02.07.2026,"Saschiz h",69
"02.07.2026 23:16",02.07.2026,"Saschiz h",69
"03.07.2026 22:20",03.07.2026,"Saschiz h",27
"03.07.2026 22:20",03.07.2026,"Saschiz h",27
"03.07.2026 22:20",03.07.2026,"Saschiz h",27
"03.07.2026 22:20",03.07.2026,"Saschiz h",27
"03.07.2026 22:20",03.07.2026,"Saschiz h",27
"04.07.2026 23:03",04.07.2026,"Saschiz h",30
"04.07.2026 23:03",04.07.2026,"Saschiz h",30
"04.07.2026 23:03",04.07.2026,"Saschiz h",30
"04.07.2026 23:03",04.07.2026,"Saschiz h",30
"04.07.2026 23:03",04.07.2026,"Saschiz h",30
"05.07.2026 23:06",05.07.2026,"Saschiz h",73
"05.07.2026 23:06",05.07.2026,"Saschiz h",73
"05.07.2026 23:06",05.07.2026,"Saschiz h",73
"05.07.2026 23:06",05.07.2026,"Saschiz h",73
"06.07.2026 23:25",06.07.2026,"Saschiz h",236
"06.07.2026 23:25",06.07.2026,"Saschiz h",236
"06.07.2026 23:25",06.07.2026,"Saschiz h",236
"06.07.2026 23:25",06.07.2026,"Saschiz h",236
"06.07.2026 23:25",06.07.2026,"Saschiz h",236
"07.07.2026 22:53",07.07.2026,"Saschiz h",171
"07.07.2026 22:53",07.07.2026,"Saschiz h",171
"07.07.2026 22:53",07.07.2026,"Saschiz h",171
"07.07.2026 22:53",07.07.2026,"Saschiz h",171
"07.07.2026 22:53",07.07.2026,"Saschiz h",171
"08.07.2026 22:56",08.07.2026,"Saschiz h",68
"08.07.2026 22:56",08.07.2026,"Saschiz h",68
"08.07.2026 22:56",08.07.2026,"Saschiz h",68
"08.07.2026 22:56",08.07.2026,"Saschiz h",68
"08.07.2026 22:56",08.07.2026,"Saschiz h",68
"09.07.2026 23:14",09.07.2026,"Saschiz h",43
"09.07.2026 23:14",09.07.2026,"Saschiz h",43
"09.07.2026 23:14",09.07.2026,"Saschiz h",43
"09.07.2026 23:14",09.07.2026,"Saschiz h",43
"09.07.2026 23:14",09.07.2026,"Saschiz h",43
"10.07.2026 23:00",10.07.2026,"Saschiz h",67
