currentTimestamp,cfr_date,station,totalDelayMinutes
"01.07.2026 23:29",01.07.2026,"Silhoasa Hm",3
"01.07.2026 23:29",01.07.2026,"Silhoasa Hm",3
"01.07.2026 23:29",01.07.2026,"Silhoasa Hm",3
"01.07.2026 23:29",01.07.2026,"Silhoasa Hm",3
"01.07.2026 23:29",01.07.2026,"Silhoasa Hm",3
"02.07.2026 23:20",02.07.2026,"Silhoasa Hm",39
"02.07.2026 23:20",02.07.2026,"Silhoasa Hm",39
"02.07.2026 23:20",02.07.2026,"Silhoasa Hm",39
"02.07.2026 23:20",02.07.2026,"Silhoasa Hm",39
"02.07.2026 23:20",02.07.2026,"Silhoasa Hm",39
"03.07.2026 22:21",03.07.2026,"Silhoasa Hm",8
"03.07.2026 22:21",03.07.2026,"Silhoasa Hm",8
"03.07.2026 22:21",03.07.2026,"Silhoasa Hm",8
"03.07.2026 22:21",03.07.2026,"Silhoasa Hm",8
"03.07.2026 22:21",03.07.2026,"Silhoasa Hm",8
"04.07.2026 23:06",04.07.2026,"Silhoasa Hm",6
"04.07.2026 23:06",04.07.2026,"Silhoasa Hm",6
"04.07.2026 23:06",04.07.2026,"Silhoasa Hm",6
"04.07.2026 23:06",04.07.2026,"Silhoasa Hm",6
"04.07.2026 23:06",04.07.2026,"Silhoasa Hm",6
"05.07.2026 23:09",05.07.2026,"Silhoasa Hm",2
"05.07.2026 23:09",05.07.2026,"Silhoasa Hm",2
"05.07.2026 23:09",05.07.2026,"Silhoasa Hm",2
"05.07.2026 23:09",05.07.2026,"Silhoasa Hm",2
"06.07.2026 23:29",06.07.2026,"Silhoasa Hm",22
"06.07.2026 23:29",06.07.2026,"Silhoasa Hm",22
"06.07.2026 23:29",06.07.2026,"Silhoasa Hm",22
"06.07.2026 23:29",06.07.2026,"Silhoasa Hm",22
"06.07.2026 23:29",06.07.2026,"Silhoasa Hm",22
"07.07.2026 22:55",07.07.2026,"Silhoasa Hm",0
"07.07.2026 22:55",07.07.2026,"Silhoasa Hm",0
"07.07.2026 22:55",07.07.2026,"Silhoasa Hm",0
"07.07.2026 22:55",07.07.2026,"Silhoasa Hm",0
"07.07.2026 22:55",07.07.2026,"Silhoasa Hm",0
"08.07.2026 22:58",08.07.2026,"Silhoasa Hm",0
"08.07.2026 22:58",08.07.2026,"Silhoasa Hm",0
"08.07.2026 22:58",08.07.2026,"Silhoasa Hm",0
"08.07.2026 22:58",08.07.2026,"Silhoasa Hm",0
"08.07.2026 22:58",08.07.2026,"Silhoasa Hm",0
"09.07.2026 23:16",09.07.2026,"Silhoasa Hm",2
